E, cm-1	Sigma_00, cm2	
9.351908e+04	4.305670e-15
9.352939e+04	4.268990e-15
9.353995e+04	4.232315e-15
9.355075e+04	4.195648e-15
9.356180e+04	4.159041e-15
9.357311e+04	4.122426e-15
9.358469e+04	4.085838e-15
9.359653e+04	4.049269e-15
9.360865e+04	4.012724e-15
9.362105e+04	3.976207e-15
9.363374e+04	3.939713e-15
9.364673e+04	3.903237e-15
9.366001e+04	3.866802e-15
9.367361e+04	3.830439e-15
9.368753e+04	3.794066e-15
9.370176e+04	3.757771e-15
9.371633e+04	3.721505e-15
9.373124e+04	3.685274e-15
9.374650e+04	3.649095e-15
9.376211e+04	3.613042e-15
9.377809e+04	3.577002e-15
9.379444e+04	3.541013e-15
9.381116e+04	3.505101e-15
9.382828e+04	3.469295e-15
9.384580e+04	3.433565e-15
9.386373e+04	3.397919e-15
9.388207e+04	3.362401e-15
9.390084e+04	3.326962e-15
9.392005e+04	3.291642e-15
9.393970e+04	3.256514e-15
9.395981e+04	3.221434e-15
9.398039e+04	3.186573e-15
9.400145e+04	3.151830e-15
9.402300e+04	3.117268e-15
9.404506e+04	3.082888e-15
9.406762e+04	3.048707e-15
9.409072e+04	3.014717e-15
9.411434e+04	2.980978e-15
9.413853e+04	2.947437e-15
9.416327e+04	2.914136e-15
9.418859e+04	2.881094e-15
9.421450e+04	2.848309e-15
9.424101e+04	2.815805e-15
9.426814e+04	2.783569e-15
9.429591e+04	2.751656e-15
9.432431e+04	2.720018e-15
9.435339e+04	2.688711e-15
9.438313e+04	2.657730e-15
9.441358e+04	2.627083e-15
9.444473e+04	2.596779e-15
9.447660e+04	2.566803e-15
9.450922e+04	2.537212e-15
9.454260e+04	2.507988e-15
9.457675e+04	2.479127e-15
9.461171e+04	2.450649e-15
9.464747e+04	2.422547e-15
9.468407e+04	2.394848e-15
9.472152e+04	2.367509e-15
9.475984e+04	2.340592e-15
9.479906e+04	2.314045e-15
9.483919e+04	2.287910e-15
9.488025e+04	2.262172e-15
9.492227e+04	2.236834e-15
9.496527e+04	2.211895e-15
9.500927e+04	2.187342e-15
9.505430e+04	2.163191e-15
9.510037e+04	2.139441e-15
9.514752e+04	2.116067e-15
9.519577e+04	2.093102e-15
9.524514e+04	2.070508e-15
9.529566e+04	2.048296e-15
9.534735e+04	2.026469e-15
9.540026e+04	2.005020e-15
9.545439e+04	1.983939e-15
9.550978e+04	1.963217e-15
9.556647e+04	1.942862e-15
9.562447e+04	1.922864e-15
9.568383e+04	1.903204e-15
9.574456e+04	1.883901e-15
9.580672e+04	1.864919e-15
9.587032e+04	1.846288e-15
