E, cm-1	Sigma_00, cm2	
9.351908e+04	2.735317e-14
9.352939e+04	2.759107e-14
9.353995e+04	2.754740e-14
9.355075e+04	2.723161e-14
9.356180e+04	2.745815e-14
9.357311e+04	2.740607e-14
9.358469e+04	2.735168e-14
9.359653e+04	2.729709e-14
9.360865e+04	2.723787e-14
9.362105e+04	2.717307e-14
9.363374e+04	2.710783e-14
9.364673e+04	2.704193e-14
9.366001e+04	2.697132e-14
9.367361e+04	2.714040e-14
9.368753e+04	2.682906e-14
9.370176e+04	2.698825e-14
9.371633e+04	2.690808e-14
9.373124e+04	2.682990e-14
9.374650e+04	2.675047e-14
9.376211e+04	2.688231e-14
9.377809e+04	2.679722e-14
9.379444e+04	2.671136e-14
9.381116e+04	2.662202e-14
9.382828e+04	2.673558e-14
9.384580e+04	2.664374e-14
9.386373e+04	2.654789e-14
9.388207e+04	2.664853e-14
9.390084e+04	2.654898e-14
9.392005e+04	2.644501e-14
9.393970e+04	2.653484e-14
9.395981e+04	2.642546e-14
9.398039e+04	2.650563e-14
9.400145e+04	2.639286e-14
9.402300e+04	2.627496e-14
9.404506e+04	2.634641e-14
9.406762e+04	2.622427e-14
9.409072e+04	2.628639e-14
9.411434e+04	2.634140e-14
9.413853e+04	2.603923e-14
9.416327e+04	2.609040e-14
9.418859e+04	2.613505e-14
9.421450e+04	2.600937e-14
9.424101e+04	2.604630e-14
9.426814e+04	2.591797e-14
9.429591e+04	2.594861e-14
9.432431e+04	2.597662e-14
9.435339e+04	2.599793e-14
9.438313e+04	2.601586e-14
9.441358e+04	2.587779e-14
9.444473e+04	2.589111e-14
9.447660e+04	2.574734e-14
9.450922e+04	2.575443e-14
9.454260e+04	2.575676e-14
9.457675e+04	2.575671e-14
9.461171e+04	2.575251e-14
9.464747e+04	2.560385e-14
9.468407e+04	2.573432e-14
9.472152e+04	2.558421e-14
9.475984e+04	2.570428e-14
9.479906e+04	2.555305e-14
9.483919e+04	2.553303e-14
9.488025e+04	2.550996e-14
9.492227e+04	2.548372e-14
9.496527e+04	2.545482e-14
9.500927e+04	2.554822e-14
9.505430e+04	2.538663e-14
9.510037e+04	2.547456e-14
9.514752e+04	2.530788e-14
9.519577e+04	2.538841e-14
9.524514e+04	2.534226e-14
9.529566e+04	2.529380e-14
9.534735e+04	2.524379e-14
9.540026e+04	2.519241e-14
9.545439e+04	2.525235e-14
9.550978e+04	2.519514e-14
9.556647e+04	2.524691e-14
9.562447e+04	2.518488e-14
9.568383e+04	2.511908e-14
9.574456e+04	2.516084e-14
9.580672e+04	2.508961e-14
9.587032e+04	2.512435e-14
9.593540e+04	2.504814e-14
9.600200e+04	2.497167e-14
9.607015e+04	2.509899e-14
9.613989e+04	2.501756e-14
9.621125e+04	2.493671e-14
9.628427e+04	2.495158e-14
9.635899e+04	2.496280e-14
