E, cm-1	Sigma_00, cm2	
9.3079142258e+04	5.3143326543e-14
9.3079175749e+04	5.2237151198e-14
9.3079209628e+04	5.1335122992e-14
9.3079243899e+04	5.0438190212e-14
9.3079278566e+04	4.9547221553e-14
9.3079313636e+04	4.8663011554e-14
9.3079349111e+04	4.7786285898e-14
9.3079384997e+04	4.6917706510e-14
9.3079421298e+04	4.6057876373e-14
9.3079458020e+04	4.5207344033e-14
9.3079495167e+04	4.4366607778e-14
9.3079532745e+04	4.3536119471e-14
9.3079570757e+04	4.2716288044e-14
9.3079609210e+04	4.1907482667e-14
9.3079648107e+04	4.1110035598e-14
9.3079687456e+04	4.0324244747e-14
9.3079727259e+04	5.5954906952e-14
9.3079767524e+04	5.5203885067e-14
9.3079808255e+04	5.4443078226e-14
9.3079849458e+04	5.3674147668e-14
9.3079891138e+04	5.2898705149e-14
9.3079933300e+04	5.2118300583e-14
9.3079975951e+04	5.1334412975e-14
9.3080019095e+04	5.0548444177e-14
9.3080062739e+04	4.9761715017e-14
9.3080106889e+04	4.8975463378e-14
9.3080151549e+04	4.8190843837e-14
9.3080196727e+04	4.7408928520e-14
9.3080242428e+04	4.6630708868e-14
9.3080288658e+04	4.5857098081e-14
9.3080335424e+04	4.5088934011e-14
9.3080382731e+04	4.4326982344e-14
9.3080430585e+04	4.3571939941e-14
9.3080478994e+04	4.2824438229e-14
9.3080527964e+04	4.2085046562e-14
9.3080577500e+04	4.1354275510e-14
9.3080627610e+04	4.0632580026e-14
9.3080678301e+04	3.9920362474e-14
9.3080729578e+04	3.9217975520e-14
9.3080781449e+04	3.8525724857e-14
9.3080833921e+04	3.7843871806e-14
9.3080887000e+04	3.7172635782e-14
9.3080940694e+04	3.6512196644e-14
9.3080995010e+04	3.5862696960e-14
9.3081049954e+04	3.5224244193e-14
9.3081105535e+04	3.4596912837e-14
9.3081161760e+04	3.3980746525e-14
9.3081218635e+04	3.3375760117e-14
9.3081276169e+04	3.2781941808e-14
9.3081334369e+04	4.4495688646e-14
9.3081393244e+04	4.3819418241e-14
9.3081452800e+04	4.3147178933e-14
9.3081513045e+04	4.2479699603e-14
9.3081573988e+04	4.1817637295e-14
9.3081635637e+04	4.1161579333e-14
9.3081698000e+04	4.0512045694e-14
9.3081761085e+04	3.9869491578e-14
9.3081824900e+04	3.9234310111e-14
9.3081889454e+04	3.8606835147e-14
9.3081954756e+04	3.7987344138e-14
9.3082020814e+04	3.7376061067e-14
9.3082087637e+04	3.6773159445e-14
9.3082155234e+04	3.6178765366e-14
9.3082223613e+04	3.5592960643e-14
9.3082292784e+04	4.5113527473e-14
9.3082362756e+04	4.4510901784e-14
9.3082433539e+04	4.3908339530e-14
9.3082505141e+04	4.3306732481e-14
9.3082577572e+04	4.2706899450e-14
9.3082650842e+04	4.2109584973e-14
9.3082724960e+04	4.1515458925e-14
9.3082799937e+04	4.0925116940e-14
9.3082875781e+04	4.0339081477e-14
9.3082952504e+04	3.9757803432e-14
9.3083030116e+04	3.9181664194e-14
9.3083108626e+04	3.8610978083e-14
9.3083188045e+04	3.8045995124e-14
9.3083268384e+04	4.5651486166e-14
9.3083349653e+04	4.5117960028e-14
9.3083431863e+04	4.4580716246e-14
9.3083515025e+04	4.4040767427e-14
9.3083599150e+04	4.3499069596e-14
9.3083684249e+04	4.2956514919e-14
9.3083770333e+04	4.2413926148e-14
9.3083857415e+04	4.1872052631e-14
9.3083945504e+04	4.1331567704e-14
9.3084034614e+04	4.0793067321e-14
9.3084124756e+04	4.0257069740e-14
9.3084215941e+04	3.9724016146e-14
9.3084308182e+04	4.5740181727e-14
9.3084401492e+04	4.5266837950e-14
9.3084495882e+04	4.4786970969e-14
9.3084591364e+04	4.4301627049e-14
9.3084687953e+04	4.3811826554e-14
9.3084785660e+04	4.3318550432e-14
9.3084884498e+04	4.2822728638e-14
9.3084984481e+04	4.2325230466e-14
9.3085085621e+04	4.1826856752e-14
9.3085187933e+04	4.1328333865e-14
9.3085291429e+04	4.0830309430e-14
9.3085396124e+04	4.0333349656e-14
9.3085502031e+04	3.9837938158e-14
9.3085609165e+04	3.9344476112e-14
9.3085717539e+04	3.8853283572e-14
9.3085827168e+04	3.8364601753e-14
9.3085938066e+04	3.7878596117e-14
9.3086050249e+04	3.7395360107e-14
9.3086163730e+04	3.6914919442e-14
9.3086278526e+04	3.6437236963e-14
9.3086394651e+04	3.5962218113e-14
9.3086512120e+04	3.5489717182e-14
9.3086630950e+04	3.5019544531e-14
9.3086751156e+04	4.0168488693e-14
9.3086872753e+04	3.9706352777e-14
9.3086995759e+04	3.9245577013e-14
9.3087120189e+04	3.8786515912e-14
9.3087246060e+04	3.8329434718e-14
9.3087373388e+04	3.7874512240e-14
9.3087502191e+04	3.7421844797e-14
9.3087632485e+04	3.6971451015e-14
9.3087764288e+04	3.6523277264e-14
