E, cm-1	Sigma_00, cm2	
9.351908e+04	1.773357e-14
9.352939e+04	1.770846e-14
9.353995e+04	1.768140e-14
9.355075e+04	1.765261e-14
9.356180e+04	1.762725e-14
9.357311e+04	1.760031e-14
9.358469e+04	1.757344e-14
9.359653e+04	1.754658e-14
9.360865e+04	1.751966e-14
9.362105e+04	1.749259e-14
9.363374e+04	1.746516e-14
9.364673e+04	1.743730e-14
9.366001e+04	1.740945e-14
9.367361e+04	1.738296e-14
9.368753e+04	1.735385e-14
9.370176e+04	1.732700e-14
9.371633e+04	1.729897e-14
9.373124e+04	1.727055e-14
9.374650e+04	1.724199e-14
9.376211e+04	1.721540e-14
9.377809e+04	1.718716e-14
9.379444e+04	1.715840e-14
9.381116e+04	1.712963e-14
9.382828e+04	1.710190e-14
9.384580e+04	1.707322e-14
9.386373e+04	1.704401e-14
9.388207e+04	1.701624e-14
9.390084e+04	1.698708e-14
9.392005e+04	1.695757e-14
9.393970e+04	1.692978e-14
9.395981e+04	1.689952e-14
9.398039e+04	1.687153e-14
9.400145e+04	1.684147e-14
9.402300e+04	1.681215e-14
9.404506e+04	1.678293e-14
9.406762e+04	1.675343e-14
9.409072e+04	1.672363e-14
9.411434e+04	1.669474e-14
9.413853e+04	1.666469e-14
9.416327e+04	1.663484e-14
9.418859e+04	1.660456e-14
9.421450e+04	1.657498e-14
9.424101e+04	1.654477e-14
9.426814e+04	1.651457e-14
9.429591e+04	1.648464e-14
9.432431e+04	1.645386e-14
9.435339e+04	1.642297e-14
9.438313e+04	1.639226e-14
9.441358e+04	1.636218e-14
9.444473e+04	1.633096e-14
9.447660e+04	1.629962e-14
9.450922e+04	1.626843e-14
9.454260e+04	1.623758e-14
9.457675e+04	1.620642e-14
9.461171e+04	1.617511e-14
9.464747e+04	1.614363e-14
9.468407e+04	1.611217e-14
9.472152e+04	1.608035e-14
9.475984e+04	1.604884e-14
9.479906e+04	1.601699e-14
9.483919e+04	1.598531e-14
9.488025e+04	1.595343e-14
9.492227e+04	1.592158e-14
9.496527e+04	1.588960e-14
9.500927e+04	1.585614e-14
9.505430e+04	1.582443e-14
9.510037e+04	1.579185e-14
9.514752e+04	1.575937e-14
9.519577e+04	1.572728e-14
9.524514e+04	1.569422e-14
9.529566e+04	1.566141e-14
9.534735e+04	1.562901e-14
9.540026e+04	1.559669e-14
9.545439e+04	1.556341e-14
9.550978e+04	1.553066e-14
9.556647e+04	1.549700e-14
9.562447e+04	1.546457e-14
9.568383e+04	1.543093e-14
9.574456e+04	1.539781e-14
9.580672e+04	1.536343e-14
9.587032e+04	1.533056e-14
9.593540e+04	1.529663e-14
9.600200e+04	1.526332e-14
9.607015e+04	1.522859e-14
9.613989e+04	1.519516e-14
9.621125e+04	1.516055e-14
9.628427e+04	1.512680e-14
9.635899e+04	1.509257e-14
9.643546e+04	1.505807e-14
9.651371e+04	1.502356e-14
9.659377e+04	1.498881e-14
9.667571e+04	1.495336e-14
9.675955e+04	1.491885e-14
9.684535e+04	1.488404e-14
9.693314e+04	1.484918e-14
9.702298e+04	1.481422e-14
