R	Re<0|V|1>	Re<0|V|2>	Re<0|V|3>	Re<1|V|2>	Re<1|V|3>	Re<2|V|3>
1.97000000000000	0.03234700000000	0.210093	-0.18072600000000	-0.09379600000000	0.09869500000000	0.11698000000000
1.98000000000000	0.03316100000000	0.215381	-0.18527400000000	-0.09615600000000	0.10117900000000	0.11992400000000
1.99000000000000	0.03397400000000	0.220662	-0.18981700000000	-0.09851400000000	0.10366000000000	0.12286400000000
2.00000000000000	0.03478400000000	0.225923	-0.19434300000000	-0.10086300000000	0.10613200000000	0.12579400000000
2.01000000000000	0.03558900000000	0.231151	-0.19884000000000	-0.10319700000000	0.10858800000000	0.12870400000000
2.02000000000000	0.03638600000000	0.236331	-0.20329600000000	-0.10550900000000	0.11102100000000	0.13158900000000
2.03000000000000	0.03717400000000	0.241448	-0.20769700000000	-0.10779400000000	0.11342500000000	0.13443800000000
2.04000000000000	0.03795000000000	0.246487	-0.21203200000000	-0.11004300000000	0.11579200000000	0.13724300000000
2.05000000000000	0.03871100000000	0.251431	-0.21628500000000	-0.11225100000000	0.11811500000000	0.13999700000000
2.06000000000000	0.03945600000000	0.256266	-0.22044500000000	-0.11441000000000	0.12038600000000	0.14268900000000
2.07000000000000	0.04018100000000	0.260975	-0.22449500000000	-0.11651200000000	0.12259800000000	0.14531100000000
2.08000000000000	0.04088400000000	0.265542	-0.22842400000000	-0.11855100000000	0.12474300000000	0.14785300000000
2.09000000000000	0.04156300000000	0.269951	-0.23221600000000	-0.12051900000000	0.12681500000000	0.15030800000000
2.10000000000000	0.04221500000000	0.274185	-0.23585900000000	-0.12241000000000	0.12880400000000	0.15266600000000
2.15000000000000	0.04499100000000	0.292216	-0.25136900000000	-0.13045900000000	0.13727400000000	0.16270500000000
2.20000000000000	0.04678100000000	0.303841	-0.26136900000000	-0.13564900000000	0.14273500000000	0.16917800000000
2.25000000000000	0.04743000000000	0.308062	-0.26500000000000	-0.13753400000000	0.14471800000000	0.17152800000000
2.30000000000000	0.04693400000000	0.304838	-0.26222700000000	-0.13609400000000	0.14320300000000	0.16973300000000
2.35000000000000	0.04543800000000	0.295123	-0.25387000000000	-0.13175700000000	0.13864000000000	0.16432400000000
2.40000000000000	0.04320700000000	0.280632	-0.24140400000000	-0.12528800000000	0.13183200000000	0.15625500000000
2.45000000000000	0.04056100000000	0.263446	-0.22662100000000	-0.11761500000000	0.12375900000000	0.14668600000000
2.50000000000000	0.03781500000000	0.245612	-0.21127900000000	-0.10965300000000	0.11538100000000	0.13675600000000
2.55000000000000	0.03523300000000	0.228841	-0.19685300000000	-0.10216600000000	0.10750200000000	0.12741800000000
2.60000000000000	0.03300600000000	0.214372	-0.18440600000000	-0.09570600000000	0.10070500000000	0.11936200000000
2.65000000000000	0.03124900000000	0.202961	-0.17459000000000	-0.09061200000000	0.09534500000000	0.11300800000000
2.70000000000000	0.03001600000000	0.194954	-0.16770200000000	-0.08703700000000	0.09158300000000	0.10855000000000
2.75000000000000	0.02931300000000	0.190388	-0.16377500000000	-0.08499800000000	0.08943800000000	0.10600800000000
2.80000000000000	0.02911400000000	0.189097	-0.16266400000000	-0.08442200000000	0.08883200000000	0.10528900000000
2.85000000000000	0.02937500000000	0.190789	-0.16412000000000	-0.08517800000000	0.08962700000000	0.10623100000000
2.90000000000000	0.03004000000000	0.195111	-0.16783800000000	-0.08710700000000	0.09165700000000	0.10863800000000
3.00000000000000	0.03235100000000	0.210119	-0.18074700000000	-0.09380700000000	0.09870700000000	0.11699400000000
3.10000000000000	0.03557500000000	0.231062	-0.19876400000000	-0.10315700000000	0.10854600000000	0.12865500000000
3.20000000000000	0.03924900000000	0.254926	-0.21929200000000	-0.11381100000000	0.11975600000000	0.14194200000000
3.30000000000000	0.04290500000000	0.278666	-0.23971300000000	-0.12441000000000	0.13090900000000	0.15516100000000
3.40000000000000	0.04606700000000	0.299208	-0.25738400000000	-0.13358100000000	0.14055900000000	0.16659800000000
3.50000000000000	0.04829900000000	0.313703	-0.26985300000000	-0.14005200000000	0.14736800000000	0.17466900000000
3.60000000000000	0.04927200000000	0.32002	-0.27528600000000	-0.14287200000000	0.15033500000000	0.17818700000000
3.70000000000000	0.04884500000000	0.317252	-0.27290600000000	-0.14163700000000	0.14903500000000	0.17664600000000
3.80000000000000	0.04710300000000	0.305936	-0.26317100000000	-0.13658400000000	0.14371900000000	0.17034400000000
3.90000000000000	0.04431000000000	0.287796	-0.24756700000000	-0.12848600000000	0.13519800000000	0.16024400000000
4.00000000000000	0.04082600000000	0.265168	-0.22810200000000	-0.11838400000000	0.12456800000000	0.14764500000000
4.10000000000000	0.03700900000000	0.240372	-0.20677200000000	-0.10731400000000	0.11291900000000	0.13383900000000
4.20000000000000	0.03314800000000	0.215299	-0.18520400000000	-0.09612000000000	0.10114100000000	0.11987800000000
4.30000000000000	0.02944700000000	0.191258	-0.16452300000000	-0.08538700000000	0.08984700000000	0.10649200000000
4.40000000000000	0.02602200000000	0.169012	-0.14538700000000	-0.07545500000000	0.07939700000000	0.09410600000000
4.50000000000000	0.02292700000000	0.148912	-0.12809700000000	-0.06648200000000	0.06995400000000	0.08291400000000
4.60000000000000	0.02017400000000	0.13103	-0.11271400000000	-0.05849800000000	0.06155400000000	0.07295700000000
4.70000000000000	0.01774800000000	0.115275	-0.09916100000000	-0.05146400000000	0.05415200000000	0.06418500000000
4.80000000000000	0.01562300000000	0.101475	-0.08729000000000	-0.04530300000000	0.04767000000000	0.05650100000000
