R	Re<0|V|1>	Re<0|V|2>	Re<0|V|3>	Re<1|V|2>	Re<1|V|3>	Re<2|V|3>
1.97000000000000	1029.68000000000006	366.36000000000001	667.57000000000005	311.75999999999999	-169.81000000000000	-917.48000000000002
1.98000000000000	980.63999999999999	345.51999999999998	632.70000000000005	295.32999999999998	-180.47000000000000	-891.51999999999998
1.99000000000000	933.70000000000005	325.56999999999999	599.28999999999996	279.64999999999998	-190.53999999999999	-866.51999999999998
2.00000000000000	888.79999999999995	306.50000000000000	567.30999999999995	264.69000000000000	-199.99000000000001	-842.45000000000005
2.01000000000000	845.94000000000005	288.30000000000001	536.79999999999995	250.50999999999999	-208.75999999999999	-819.25000000000000
2.02000000000000	805.15999999999997	270.98000000000002	507.70999999999998	237.11000000000001	-216.83000000000001	-796.87000000000000
2.03000000000000	766.47000000000003	254.56000000000000	480.10000000000002	224.50999999999999	-224.12000000000000	-775.26999999999998
2.04000000000000	729.88999999999999	239.03000000000000	453.94000000000000	212.77000000000001	-230.59000000000000	-754.37000000000000
2.05000000000000	695.46000000000004	224.40000000000001	429.26999999999998	201.91000000000000	-236.13999999999999	-734.12000000000000
2.06000000000000	663.22000000000003	210.72999999999999	406.13000000000000	191.94999999999999	-240.72999999999999	-714.48000000000002
2.07000000000000	633.16999999999996	197.94000000000000	384.50000000000000	182.91999999999999	-244.28999999999999	-695.39999999999998
2.08000000000000	605.32000000000005	186.11000000000001	364.38999999999999	174.86000000000001	-246.81999999999999	-676.84000000000003
2.09000000000000	579.63999999999999	175.19000000000000	345.75000000000000	167.75000000000000	-248.25999999999999	-658.76999999999998
2.10000000000000	556.05999999999995	165.13000000000000	328.57999999999998	161.53999999999999	-248.68000000000001	-641.16999999999996
2.15000000000000	465.05000000000001	126.23999999999999	261.19999999999999	142.43000000000001	-237.97999999999999	-560.40999999999997
2.20000000000000	404.75000000000000	100.12000000000000	215.06999999999999	138.84000000000000	-213.03000000000000	-495.19999999999999
2.25000000000000	361.73000000000002	81.18000000000001	181.09999999999999	143.88000000000000	-182.96000000000001	-445.23000000000002
2.30000000000000	329.50000000000000	66.65000000000001	154.83000000000001	155.21000000000001	-150.52000000000001	-409.56000000000000
2.35000000000000	304.60000000000002	55.10000000000000	133.88000000000000	170.53000000000000	-117.65000000000001	-385.47000000000003
2.40000000000000	285.08999999999997	45.82000000000000	116.98000000000000	187.72999999999999	-85.89000000000000	-369.75000000000000
2.45000000000000	269.69999999999999	38.32000000000000	103.28000000000000	204.90000000000001	-56.63000000000000	-359.63999999999999
2.50000000000000	257.38999999999999	32.26000000000000	92.13000000000000	220.83000000000001	-30.57000000000000	-352.98000000000002
2.55000000000000	247.09999999999999	27.18000000000000	82.72000000000000	234.97000000000000	-7.84000000000000	-348.23000000000002
2.60000000000000	238.22000000000000	22.85000000000000	74.63000000000000	246.99000000000001	11.65000000000000	-344.32999999999998
2.65000000000000	230.22999999999999	19.02000000000000	67.43000000000001	256.82999999999998	28.07000000000000	-340.62000000000000
2.70000000000000	222.88999999999999	15.62000000000000	60.95000000000000	264.63000000000000	41.85000000000000	-336.57999999999998
2.75000000000000	215.91000000000000	12.49000000000000	54.90000000000000	270.48000000000002	53.26000000000000	-331.94000000000000
2.80000000000000	209.06000000000000	9.53000000000000	49.14000000000000	274.54000000000002	62.60000000000000	-326.50999999999999
2.85000000000000	202.21000000000001	6.68000000000000	43.52000000000000	277.00000000000000	70.17000000000000	-320.19000000000000
2.90000000000000	195.22999999999999	3.87000000000000	37.94000000000000	277.98000000000002	76.19000000000000	-312.91000000000003
3.00000000000000	180.72999999999999	-1.72000000000000	26.67000000000000	276.19999999999999	84.55000000000000	-295.48000000000002
3.10000000000000	165.30000000000001	-7.36000000000000	15.10000000000000	270.31000000000000	89.13000000000000	-274.50999999999999
3.20000000000000	149.08000000000001	-13.07000000000000	3.15000000000000	261.35000000000002	91.09000000000000	-250.58000000000001
3.30000000000000	132.25000000000000	-18.77000000000000	-9.03000000000000	250.15000000000001	91.23000000000000	-224.50999999999999
3.40000000000000	115.19000000000000	-24.35000000000000	-21.23000000000000	237.40000000000001	90.17000000000000	-197.05000000000001
3.50000000000000	98.25000000000000	-29.68000000000000	-33.20000000000000	223.69999999999999	88.40000000000001	-169.02000000000001
3.60000000000000	81.88000000000000	-34.57000000000000	-44.63000000000000	209.55000000000001	86.29000000000001	-141.16000000000000
3.70000000000000	66.20999999999999	-38.98000000000000	-55.40000000000000	195.25999999999999	83.95000000000000	-114.17000000000000
3.80000000000000	51.61000000000000	-42.80000000000000	-65.25000000000000	181.16000000000000	81.55000000000000	-88.58000000000000
3.90000000000000	38.22000000000000	-45.93000000000000	-74.04000000000001	167.43000000000001	79.15000000000001	-64.79000000000001
4.00000000000000	26.12000000000000	-48.39000000000000	-81.66000000000000	154.13999999999999	76.68000000000001	-43.11000000000000
4.10000000000000	15.54000000000000	-50.07000000000000	-87.95999999999999	141.56999999999999	74.38000000000000	-23.80000000000000
4.20000000000000	6.43000000000000	-51.05000000000000	-92.94000000000000	129.68000000000001	72.06999999999999	-6.91000000000000
4.30000000000000	-1.19000000000000	-51.30000000000000	-96.54000000000001	118.54000000000001	69.83000000000000	7.52000000000000
4.40000000000000	-7.51000000000000	-50.95000000000000	-98.90000000000001	108.08000000000000	67.45999999999999	19.51000000000000
4.50000000000000	-12.54000000000000	-50.05000000000000	-100.03000000000000	98.30000000000000	65.00000000000000	29.20000000000000
4.60000000000000	-16.40000000000000	-48.65000000000000	-99.98999999999999	89.23000000000000	62.47000000000000	36.75000000000000
