R	H01	H02	H03	H04	H05	H06	H07	H08	H09	H010	H011	H012	H013	H014	H015	H016	H017	H018	H019	H020	H021	H022	H023	H024	H025
11	-529.5330839	-529.4844669	-529.4773266	-529.4772504	-529.5331176	-529.4774324	-529.4733634	-529.5331176	-529.4774324	-529.4733635	-529.4773289	-529.4732549	-529.9533088	-529.527238	-529.4758192	-529.4757722	-529.4656938	-529.5269674	-529.475663	-529.4735733	-529.5269674	-529.475663	-529.4735733	-529.4755467	-529.4734556
10.8	-529.533084	-529.4844671	-529.4773265	-529.4772506	-529.5331178	-529.4774325	-529.4733633	-529.5331178	-529.4774325	-529.4733633	-529.4773291	-529.473255	-529.9533089	-529.5272381	-529.4758191	-529.4757723	-529.4656936	-529.5269676	-529.4756629	-529.4735732	-529.5269676	-529.4756629	-529.4735732	-529.4755468	-529.4734557
10.6	-529.5330841	-529.4844673	-529.4773264	-529.4772507	-529.5331168	-529.4774324	-529.4733632	-529.5331167	-529.4774324	-529.4733632	-529.4773309	-529.4732581	-529.9533089	-529.5272383	-529.4758188	-529.4757725	-529.4656933	-529.5269678	-529.4756628	-529.473573	-529.5269678	-529.4756628	-529.473573	-529.475547	-529.4734559
10.4	-529.5330843	-529.4844675	-529.4773262	-529.4772509	-529.5331171	-529.4774323	-529.4733629	-529.5331171	-529.4774323	-529.4733629	-529.4773305	-529.4732582	-529.953309	-529.5272385	-529.4758192	-529.4757719	-529.4656926	-529.526968	-529.4756626	-529.4735728	-529.526968	-529.4756626	-529.4735728	-529.4755471	-529.473456
10.2	-529.5330845	-529.4844677	-529.4773258	-529.4772511	-529.5331175	-529.4774323	-529.4733626	-529.5331174	-529.4774322	-529.4733626	-529.477329	-529.4732554	-529.9533091	-529.5272387	-529.4758187	-529.4757721	-529.4656921	-529.5269682	-529.4756624	-529.4735725	-529.5269682	-529.4756624	-529.4735725	-529.4755473	-529.4734562
10	-529.5330847	-529.4844679	-529.4773254	-529.4772514	-529.5331178	-529.477432	-529.4733622	-529.5331177	-529.477432	-529.4733621	-529.4773313	-529.4732582	-529.9533091	-529.5272389	-529.4758181	-529.4757723	-529.4656914	-529.5269684	-529.475662	-529.473572	-529.5269684	-529.475662	-529.473572	-529.4755474	-529.4734563
9.9	-529.5330848	-529.484468	-529.4773251	-529.4772515	-529.533118	-529.4774319	-529.4733619	-529.5331179	-529.4774318	-529.4733618	-529.4773314	-529.4732583	-529.9533092	-529.527239	-529.4758177	-529.4757725	-529.4656909	-529.5269686	-529.4756617	-529.4735717	-529.5269685	-529.4756617	-529.4735717	-529.4755475	-529.4734564
9.8	-529.5330849	-529.4844681	-529.4773247	-529.4772516	-529.5331181	-529.4774317	-529.4733615	-529.533118	-529.4774316	-529.4733615	-529.4773315	-529.4732584	-529.9533092	-529.5272391	-529.4758172	-529.4757726	-529.4656904	-529.5269687	-529.4756615	-529.4735714	-529.5269687	-529.4756614	-529.4735714	-529.4755476	-529.4734564
9.7	-529.533085	-529.4844681	-529.4773243	-529.4772518	-529.5331183	-529.4774314	-529.4733611	-529.5331182	-529.4774314	-529.473361	-529.4773316	-529.4732585	-529.9533092	-529.5272392	-529.4758166	-529.4757728	-529.4656898	-529.5269688	-529.4756611	-529.473571	-529.5269688	-529.4756611	-529.473571	-529.4755477	-529.4734565
9.6	-529.5330851	-529.4844682	-529.4773238	-529.4772519	-529.5331185	-529.4774311	-529.4733606	-529.5331184	-529.4774311	-529.4733606	-529.4773317	-529.4732585	-529.9533092	-529.5272393	-529.475816	-529.4757729	-529.4656892	-529.5269689	-529.4756607	-529.4735706	-529.5269689	-529.4756607	-529.4735706	-529.4755477	-529.4734566
9.5	-529.5330849	-529.4844683	-529.4773233	-529.4772521	-529.5331187	-529.4774308	-529.4733601	-529.5331185	-529.4774307	-529.47336	-529.4773318	-529.4732586	-529.9533093	-529.5272394	-529.4758153	-529.4757731	-529.4656884	-529.5269691	-529.4756603	-529.47357	-529.5269691	-529.4756603	-529.47357	-529.4755478	-529.4734567
