R	H01	H02	H03	H04	H05	H06	H07	H08	H09	H010	H011	H012	H013	H014	H015	H016	H017	H018	H019	H020	H021	H022	H023	H024	H025
11	-529.5544636	-529.5060957	-529.4991074	-529.4990145	-529.554525	-529.4992121	-529.4951252	-529.554525	-529.4992121	-529.4951252	-529.499095	-529.4949998	-529.9793547	-529.5487854	-529.4976853	-529.4976357	-529.4875012	-529.548508	-529.4975092	-529.4953885	-529.548508	-529.4975092	-529.4953885	-529.4973799	-529.4952534
10.8	-529.5544637	-529.5060958	-529.4991073	-529.4990146	-529.5545252	-529.4992121	-529.4951251	-529.5545252	-529.4992121	-529.4951251	-529.4990951	-529.4949999	-529.9793547	-529.5487855	-529.4976851	-529.4976357	-529.487501	-529.5485082	-529.4975091	-529.4953884	-529.5485082	-529.4975091	-529.4953884	-529.49738	-529.4952534
10.6	-529.5544638	-529.5060959	-529.4991072	-529.4990147	-529.5545254	-529.499212	-529.495125	-529.5545254	-529.499212	-529.495125	-529.4990952	-529.4949999	-529.9793547	-529.5487856	-529.497685	-529.4976359	-529.4875006	-529.5485083	-529.497509	-529.4953883	-529.5485083	-529.497509	-529.4953883	-529.4973801	-529.4952535
10.4	-529.5544639	-529.5060961	-529.499107	-529.4990149	-529.5545256	-529.499212	-529.4951247	-529.5545256	-529.4992119	-529.4951247	-529.4990954	-529.495	-529.9793548	-529.5487858	-529.4976855	-529.4976349	-529.4874999	-529.5485085	-529.4975088	-529.4953881	-529.5485085	-529.4975088	-529.4953881	-529.4973803	-529.4952537
10.2	-529.5544641	-529.5060963	-529.4991067	-529.499015	-529.5545258	-529.4992118	-529.4951244	-529.5545258	-529.4992118	-529.4951244	-529.4990973	-529.4950029	-529.9793548	-529.548786	-529.4976851	-529.497635	-529.4874993	-529.5485087	-529.4975086	-529.4953878	-529.5485087	-529.4975086	-529.4953878	-529.4973804	-529.4952538
10	-529.5544642	-529.5060965	-529.4991063	-529.4990152	-529.554526	-529.4992116	-529.495124	-529.554526	-529.4992116	-529.495124	-529.4990974	-529.495003	-529.9793549	-529.5487861	-529.4976845	-529.4976352	-529.4874986	-529.5485088	-529.4975082	-529.4953874	-529.5485088	-529.4975082	-529.4953874	-529.4973805	-529.4952539
9.9	-529.5544643	-529.5060966	-529.4991061	-529.4990153	-529.5545262	-529.4992115	-529.4951237	-529.5545262	-529.4992115	-529.4951237	-529.4990975	-529.495003	-529.9793549	-529.5487862	-529.4976841	-529.4976354	-529.4874982	-529.5485089	-529.497508	-529.4953871	-529.5485089	-529.497508	-529.4953871	-529.4973806	-529.4952539
9.8	-529.5544644	-529.5060966	-529.4991057	-529.4990155	-529.5545263	-529.4992113	-529.4951234	-529.5545263	-529.4992113	-529.4951234	-529.4990976	-529.4950031	-529.9793549	-529.5487863	-529.4976837	-529.4976355	-529.4874977	-529.5485081	-529.4975078	-529.4953868	-529.5485081	-529.4975078	-529.4953868	-529.4973806	-529.495254
9.7	-529.5544645	-529.5060967	-529.4991054	-529.4990156	-529.5545264	-529.4992111	-529.495123	-529.5545264	-529.4992111	-529.495123	-529.4990976	-529.4950032	-529.9793549	-529.5487864	-529.4976832	-529.4976356	-529.4874971	-529.5485082	-529.4975075	-529.4953865	-529.5485082	-529.4975075	-529.4953865	-529.4973807	-529.495254
9.6	-529.5544646	-529.5060968	-529.499105	-529.4990157	-529.5545265	-529.4992108	-529.4951226	-529.5545265	-529.4992108	-529.4951226	-529.4990977	-529.4950032	-529.9793549	-529.5487864	-529.4976826	-529.4976358	-529.4874965	-529.5485083	-529.4975071	-529.4953861	-529.5485083	-529.4975071	-529.4953861	-529.4973807	-529.4952541
9.5	-529.5544647	-529.5060969	-529.4991045	-529.4990159	-529.5545267	-529.4992105	-529.4951221	-529.5545267	-529.4992105	-529.4951221	-529.4990978	-529.4950033	-529.979355	-529.5487865	-529.497682	-529.497636	-529.4874958	-529.5485084	-529.4975067	-529.4953856	-529.5485084	-529.4975067	-529.4953856	-529.4973808	-529.4952541
9.4	-529.5544647	-529.5060969	-529.4991039	-529.4990161	-529.5545268	-529.4992102	-529.4951215	-529.5545268	-529.4992102	-529.4951215	-529.4990979	-529.4950034	-529.979355	-529.5487866	-529.4976812	-529.4976362	-529.487495	-529.5485085	-529.4975062	-529.4953851	-529.5485085	-529.4975062	-529.495385	-529.4973809	-529.4952542
9.3	-529.5544649	-529.506097	-529.4991032	-529.4990162	-529.5545269	-529.4992098	-529.4951208	-529.5545269	-529.4992098	-529.4951208	-529.499098	-529.4950035	-529.979355	-529.5487867	-529.4976803	-529.4976364	-529.487494	-529.5485087	-529.4975056	-529.4953844	-529.5485087	-529.4975056	-529.4953844	-529.497381	-529.4952543
