E	J	a
250	160	0.39239001835122556
250	165	1.4647825454305186
250	170	1.5516930887222753
250	175	0.9661794955429089
250	180	0.5047725438939203
250	185	0.3777177137961861
250	190	0.6480546969639607
250	195	1.8004588933503134
260	0	0.026204449912886705
260	5	0.12118629096910481
260	10	0.37517637623453476
260	15	0.01011614968522875
260	20	0.35674318686936246
260	25	0.3711152220393614
260	30	0.38102959471356024
260	35	0.3936953318272027
260	40	0.02957974536312681
260	45	0.40729156020913765
260	50	7.078152305146626e-05
260	55	0.2976320859015518
260	60	0.5164155649004954
260	65	0.44295901007960126
260	70	0.2654417478876569
260	75	0.09642397203031265
260	80	0.002964739425674802
260	85	0.0627960603829793
260	90	0.3244656181671241
260	95	0.6494021922942403
260	100	0.6455737957731004
260	105	0.18112981142042914
260	110	0.07664533782734456
260	115	0.7655977282451035
260	120	0.5088645387386092
260	125	0.08581130998731457
260	130	1.0102035859447205
260	135	0.025865545299183296
260	140	1.1083877504742095
260	145	0.01612247502928364
260	150	1.3135702234236737
260	155	0.27582932420123846
260	160	0.5407775485455684
260	165	1.715800555609628
260	170	0.9321197702598295
260	175	0.033048705087460536
260	180	0.2997757492651507
260	185	1.0877319540310477
260	190	1.7435878082612566
260	195	1.9971281106325371
270	0	3.8693743499427127
270	5	0.5816359020898535
270	10	6.143331788669966
270	15	11.238758902705351
270	20	10.716510112130951
270	25	2.0743004639545863
270	30	1.466396564649448
270	35	8.141165374901687
270	40	17.3197575744377
270	45	0.003718221093650107
270	50	17.710460724344046
270	55	12.222434066192468
270	60	0.9280797620734749
270	65	1.742504332543065
270	70	8.794481570393712
270	75	16.789374088523576
270	80	23.13237963299056
270	85	25.28450712519942
270	90	20.34601365582528
270	95	8.697513095669084
270	100	0.049531456264512365
270	105	9.854893590655884
270	110	30.43690094825857
270	115	22.152318834849694
270	120	1.2556004757987228e-07
270	125	28.580325095794258
270	130	24.162668014701598
270	135	6.010605839942735
270	140	41.99751900971162
270	145	1.6826168192768662
270	150	46.74736342884055
270	155	12.019092949409089
270	160	26.580010274506684
270	165	59.65921134144752
270	170	7.991524088060694
270	175	15.840608583459774
270	180	69.80933594384256
270	185	93.53212091716432
270	190	84.72526551301428
270	195	72.96327881665958
280	0	0.2386736438006768
280	5	0.1489904713005765
280	10	0.0021188462026735474
280	15	0.30134341436285744
280	20	0.02748182987935197
280	25	0.03706517871218968
280	30	0.06700558623194507
280	35	0.0018734775083581428
280	40	0.1833506964766656
280	45	0.24363913926069164
280	50	0.19420928961556655
280	55	0.016270545146876775
280	60	0.2646161335901518
280	65	0.4175717327549038
280	70	0.4016116613660681
280	75	0.30267313116002753
280	80	0.17358889352445173
280	85	0.0524257463093114
280	90	0.0004146742026977752
280	95	0.10185128773447194
280	100	0.3701284075198235
280	105	0.5843265867092892
280	110	0.39960523087520333
280	115	0.019471029613668825
280	120	0.2774427199507994
280	125	0.6994963202864376
280	130	0.1063477792123811
280	135	0.4117615263623556
280	140	0.6078071126478852
280	145	0.13043195979948824
280	150	0.8183199598155334
280	155	0.1937689217770626
280	160	0.6607917231547983
280	165	0.833872620668128
280	170	0.012061967561396445
280	175	1.041466520275877
280	180	1.3414693471487145
