1.742631e+01	2.206563e-14	1.742631e+01	2.169228e-14	1.742631e+01	2.167129e-14	1.742631e+01	2.179216e-14	1.742631e+01	2.161905e-14	1.742631e+01	2.174321e-14	1.742631e+01	2.258621e-14	1.742631e+01	2.221788e-14
1.824759e+01	2.257008e-14	1.824759e+01	2.209313e-14	1.824759e+01	2.205169e-14	1.824759e+01	2.224375e-14	1.824759e+01	2.193852e-14	1.824759e+01	2.217328e-14	1.824759e+01	2.293303e-14	1.824759e+01	2.237631e-14
1.910757e+01	2.222439e-14	1.910757e+01	2.186636e-14	1.910757e+01	2.185103e-14	1.910757e+01	2.198717e-14	1.910757e+01	2.177828e-14	1.910757e+01	2.191397e-14	1.910757e+01	2.277504e-14	1.910757e+01	2.232009e-14
2.000808e+01	2.186287e-14	2.000808e+01	2.162271e-14	2.000808e+01	2.163470e-14	2.000808e+01	2.171666e-14	2.000808e+01	2.160179e-14	2.000808e+01	2.163783e-14	2.000808e+01	2.260666e-14	2.000808e+01	2.224775e-14
2.095104e+01	2.220376e-14	2.095104e+01	2.191091e-14	2.095104e+01	2.191264e-14	2.095104e+01	2.203967e-14	2.095104e+01	2.183519e-14	2.095104e+01	2.194394e-14	2.095104e+01	2.287453e-14	2.095104e+01	2.235557e-14
2.193843e+01	2.189766e-14	2.193843e+01	2.170584e-14	2.193843e+01	2.173022e-14	2.193843e+01	2.180965e-14	2.193843e+01	2.169100e-14	2.193843e+01	2.171152e-14	2.193843e+01	2.273078e-14	2.193843e+01	2.229363e-14
2.297235e+01	2.157866e-14	2.297235e+01	2.148726e-14	2.297235e+01	2.153443e-14	2.297235e+01	2.156921e-14	2.297235e+01	2.153248e-14	2.297235e+01	2.146559e-14	2.297235e+01	2.257659e-14	2.297235e+01	2.222050e-14
2.405501e+01	2.182698e-14	2.405501e+01	2.170682e-14	2.405501e+01	2.174790e-14	2.405501e+01	2.182303e-14	2.405501e+01	2.170976e-14	2.405501e+01	2.169003e-14	2.405501e+01	2.278489e-14	2.405501e+01	2.230229e-14
2.518869e+01	2.155399e-14	2.518869e+01	2.151959e-14	2.518869e+01	2.158092e-14	2.518869e+01	2.161349e-14	2.518869e+01	2.157630e-14	2.518869e+01	2.148056e-14	2.518869e+01	2.265065e-14	2.518869e+01	2.224369e-14
2.637579e+01	2.127196e-14	2.637579e+01	2.132213e-14	2.637579e+01	2.140321e-14	2.637579e+01	2.139661e-14	2.637579e+01	2.143130e-14	2.637579e+01	2.126061e-14	2.637579e+01	2.250847e-14	2.637579e+01	2.217550e-14
2.761884e+01	2.147261e-14	2.761884e+01	2.150058e-14	2.761884e+01	2.157395e-14	2.761884e+01	2.160382e-14	2.761884e+01	2.157642e-14	2.761884e+01	2.143966e-14	2.761884e+01	2.267965e-14	2.761884e+01	2.224737e-14
2.892048e+01	2.122814e-14	2.892048e+01	2.132921e-14	2.892048e+01	2.142155e-14	2.892048e+01	2.141317e-14	2.892048e+01	2.145397e-14	2.892048e+01	2.125028e-14	2.892048e+01	2.255165e-14	2.892048e+01	2.219533e-14
3.028346e+01	2.136465e-14	3.028346e+01	2.144938e-14	3.028346e+01	2.153555e-14	3.028346e+01	2.156121e-14	3.028346e+01	2.155443e-14	3.028346e+01	2.137025e-14	3.028346e+01	2.267016e-14	3.028346e+01	2.224910e-14
