R	H01	H02	H03	H04	H05	H06	H07	H08	H09	H010	H011	H012	H013	H014	H015	H016	H017	H018	H019	H020	H021	H022	H023	H024	H025
5.2	-529.5603443	-529.5117745	-529.5051308	-529.504066	-529.5604409	-529.5046994	-529.5002221	-529.5604409	-529.5046994	-529.5002221	-529.5052115	-529.5011051	-529.9866529	-529.5546849	-529.5037685	-529.5027322	-529.4927802	-529.5544251	-529.5030933	-529.5003769	-529.5544252	-529.5030933	-529.5003769	-529.5035102	-529.5013633
5.15	-529.5603297	-529.5117569	-529.5051353	-529.5039996	-529.5604293	-529.5046764	-529.5001654	-529.5604293	-529.5046764	-529.5001654	-529.505216	-529.5011098	-529.9866539	-529.554669	-529.5037731	-529.5026808	-529.492743	-529.5544108	-529.5030807	-529.5003085	-529.5544108	-529.5030807	-529.5003085	-529.5035149	-529.5013681
5.1	-529.5603138	-529.5117387	-529.5051401	-529.5039294	-529.5604166	-529.5046531	-529.5001053	-529.5604166	-529.5046531	-529.5001053	-529.5052208	-529.5011149	-529.9866549	-529.5546518	-529.5037788	-529.5026266	-529.4927041	-529.5543953	-529.5030685	-529.500236	-529.5543953	-529.5030685	-529.500236	-529.5035199	-529.5013733
5.05	-529.5602966	-529.5117199	-529.5051452	-529.5038552	-529.5604028	-529.5046295	-529.5000417	-529.5604028	-529.5046295	-529.5000417	-529.5052258	-529.5011202	-529.9866561	-529.5546331	-529.5037834	-529.5025718	-529.4926635	-529.5543785	-529.5030568	-529.5001593	-529.5543785	-529.5030568	-529.5001593	-529.5035252	-529.5013787
5	-529.5602778	-529.5117005	-529.5051506	-529.5037769	-529.5603877	-529.5046058	-529.4999745	-529.5603877	-529.5046058	-529.4999745	-529.5052312	-529.5011259	-529.9866573	-529.5546131	-529.5037889	-529.5025142	-529.4926212	-529.5543603	-529.5030456	-529.5000781	-529.5543603	-529.5030457	-529.5000781	-529.5035308	-529.5013844
4.95	-529.5602573	-529.5116807	-529.5051563	-529.5036942	-529.5603713	-529.5045819	-529.4999033	-529.5603713	-529.5045819	-529.4999033	-529.5052369	-529.5011319	-529.9866586	-529.5545914	-529.5037948	-529.5024547	-529.4925769	-529.5543406	-529.5030351	-529.4999923	-529.5543407	-529.5030351	-529.4999923	-529.5035386	-529.5013918
4.9	-529.5602351	-529.5116603	-529.5051624	-529.5036071	-529.5603535	-529.504558	-529.4998281	-529.5603535	-529.504558	-529.4998281	-529.505243	-529.5011383	-529.98666	-529.5545682	-529.5038013	-529.5023931	-529.4925308	-529.5543194	-529.5030252	-529.4999017	-529.5543195	-529.5030252	-529.4999017	-529.5035473	-529.5013993
4.85	-529.560211	-529.5116395	-529.5051689	-529.5035151	-529.5603344	-529.5045344	-529.4997488	-529.5603344	-529.5045344	-529.4997488	-529.5052494	-529.501145	-529.9866615	-529.554543	-529.5038082	-529.5023296	-529.4924829	-529.5542966	-529.503016	-529.4998062	-529.5542966	-529.503016	-529.4998062	-529.503554	-529.5014062
4.8	-529.5601849	-529.5116183	-529.5051758	-529.5034183	-529.5603135	-529.5045107	-529.4996651	-529.5603135	-529.5045107	-529.4996651	-529.5052563	-529.5011522	-529.9866631	-529.5545159	-529.5038153	-529.5022639	-529.4924329	-529.5542719	-529.5030076	-529.4997057	-529.5542719	-529.5030076	-529.4997057	-529.5035611	-529.5014135
4.75	-529.5601567	-529.5115967	-529.505183	-529.5033163	-529.5602908	-529.5044873	-529.4995767	-529.5602908	-529.5044873	-529.4995767	-529.5052636	-529.5011598	-529.9866649	-529.5544866	-529.5038228	-529.5021961	-529.4923809	-529.5542454	-529.503	-529.4996001	-529.5542454	-529.503	-529.4996001	-529.5035686	-529.5014212
4.7	-529.5601261	-529.5115748	-529.5051908	-529.503209	-529.5602662	-529.5044642	-529.4994836	-529.5602662	-529.5044642	-529.4994836	-529.5052713	-529.5011679	-529.9866668	-529.5544552	-529.5038307	-529.5021249	-529.4923268	-529.5542168	-529.5029934	-529.4994891	-529.5542168	-529.5029934	-529.4994891	-529.5035766	-529.5014295
4.65	-529.5600934	-529.5115523	-529.5051991	-529.5030969	-529.5602396	-529.5044414	-529.4993855	-529.5602396	-529.5044415	-529.4993855	-529.5052787	-529.5011747	-529.9866689	-529.5544228	-529.5038389	-529.5020533	-529.4922709	-529.5541865	-529.5029878	-529.4993728	-529.5541865	-529.5029878	-529.4993728	-529.5035851	-529.5014382
4.6	-529.5600577	-529.51153	-529.5052078	-529.5029784	-529.5602108	-529.5044193	-529.4992824	-529.5602108	-529.5044194	-529.4992824	-529.5052874	-529.5011837	-529.986671	-529.5543864	-529.5038478	-529.5019796	-529.4922128	-529.5541535	-529.502983	-529.499251	-529.5541535	-529.502983	-529.499251	-529.5035941	-529.5014475
4.55	-529.5600187	-529.5115075	-529.5052167	-529.5028527	-529.5601798	-529.5043979	-529.4991742	-529.5601798	-529.5043979	-529.4991742	-529.505298	-529.5011966	-529.9866733	-529.5543477	-529.5038575	-529.5019044	-529.4921523	-529.5541182	-529.5029794	-529.4991236	-529.5541182	-529.5029794	-529.4991237	-529.5036037	-529.5014573
4.5	-529.5599775	-529.5114863	-529.505227	-529.5027229	-529.5601463	-529.5043773	-529.4990608	-529.5601463	-529.5043773	-529.4990608	-529.5053079	-529.5012069	-529.9866757	-529.5543061	-529.5038677	-529.5018274	-529.4920898	-529.5540803	-529.5029768	-529.4989907	-529.5540813	-529.5029769	-529.4989907	-529.5036139	-529.5014677
4.45	-529.559933	-529.511464	-529.5052375	-529.5025864	-529.5601101	-529.5043575	-529.498942	-529.5601101	-529.5043575	-529.498942	-529.5053184	-529.5012179	-529.9866784	-529.5542614	-529.5038784	-529.5017489	-529.4920251	-529.5540407	-529.5029754	-529.4988522	-529.5540407	-529.5029755	-529.4988522	-529.5036247	-529.5014788
4.4	-529.5598852	-529.511442	-529.5052488	-529.5024437	-529.5600712	-529.5043387	-529.4988177	-529.5600712	-529.5043388	-529.4988177	-529.5053296	-529.5012295	-529.9866812	-529.5542124	-529.5038898	-529.5016689	-529.4919578	-529.5539973	-529.5029752	-529.498708	-529.5539973	-529.5029753	-529.498708	-529.5036361	-529.5014905
4.35	-529.5598338	-529.5114203	-529.5052609	-529.5022944	-529.5600294	-529.5043211	-529.498688	-529.5600294	-529.5043211	-529.498688	-529.5053415	-529.5012418	-529.9866842	-529.5541617	-529.5039022	-529.5015875	-529.4918891	-529.5539508	-529.5029763	-529.4985583	-529.5539508	-529.5029763	-529.4985583	-529.5036483	-529.501503
4.3	-529.5597787	-529.511399	-529.5052736	-529.5021388	-529.5599844	-529.5043047	-529.4985529	-529.5599844	-529.5043047	-529.4985529	-529.5053542	-529.5012549	-529.9866874	-529.5541076	-529.5039151	-529.5015049	-529.4918184	-529.5539013	-529.5029787	-529.498403	-529.5539013	-529.5029787	-529.498403	-529.5036613	-529.5015163
4.25	-529.5597196	-529.5113782	-529.5052871	-529.5019767	-529.5599361	-529.5042897	-529.4984123	-529.5599361	-529.5042897	-529.4984123	-529.5053677	-529.5012689	-529.9866908	-529.5540499	-529.5039289	-529.5014214	-529.4917458	-529.5538483	-529.5029825	-529.4982423	-529.5538483	-529.5029825	-529.4982423	-529.5036751	-529.5015304
4.2	-529.5596572	-529.511358	-529.5053019	-529.5018094	-529.5598842	-529.5042761	-529.4982663	-529.5598842	-529.5042762	-529.4982663	-529.5053821	-529.5012837	-529.9866945	-529.5539884	-529.5039436	-529.501337	-529.4916716	-529.553792	-529.5029878	-529.4980764	-529.553792	-529.5029878	-529.4980764	-529.5036897	-529.5015453
4.15	-529.5595898	-529.5113386	-529.5053171	-529.5016344	-529.5598295	-529.5042642	-529.4981151	-529.5598295	-529.5042642	-529.4981151	-529.5053974	-529.5012994	-529.9866984	-529.5539232	-529.5039591	-529.5012518	-529.491596	-529.5537319	-529.5029945	-529.4979053	-529.5537319	-529.5029946	-529.4979053	-529.5037053	-529.5015612
4.1	-529.5595181	-529.5113202	-529.5053335	-529.5014538	-529.55977	-529.504254	-529.4979588	-529.55977	-529.5042541	-529.4979588	-529.5054137	-529.5013161	-529.9867024	-529.553854	-529.5039756	-529.5011663	-529.4915188	-529.5536681	-529.5030029	-529.4977294	-529.5536681	-529.5030029	-529.4977294	-529.5037219	-529.5015781
