 Non-adiabatic couplings for ArHe

       R       NACME12           NACME13           NACME23           NACME14           NACME24           NACME34
     5.30   -0.00365388    2.28499021E-10    8.45761644E-11   -8.54820871E-03    1.06629319E-01   -2.71653804E-10
     5.40   -0.00503622    3.31356076E-10    8.46954832E-11   -1.01291194E-02    9.86876799E-02    5.11155879E-09
     5.50   -0.00630687    1.55794817E-10    1.14359869E-10   -1.15306379E-02    9.09989951E-02    1.50379895E-10
     5.60   -0.00746887    7.44372490E-12    1.00057367E-09   -1.27697172E-02    8.36241667E-02   -4.30375910E-09
     5.70    0.00852655   -1.38625905E-02   -7.66074041E-02    1.16943592E-10   -9.61252664E-11    7.02005986E-09
     5.80    0.00948518   -1.48245330E-02   -6.99784510E-02    2.86990553E-13    4.72171080E-11   -5.16387591E-09
     5.90    0.01035069   -1.56697239E-02   -6.37548077E-02    1.14181553E-10   -4.34431207E-10   -1.19588286E-09
     6.00    0.01112939   -1.64111905E-02   -5.79438194E-02   -1.01590342E-10    5.33192977E-10    4.12064462E-10
     6.20    0.01245231   -1.76291929E-02   -4.75500586E-02    7.37521760E-11    1.89880335E-10   -2.53725984E-09
     6.40    0.01350493   -1.85598331E-02   -3.87216342E-02   -2.46857732E-11    1.86005504E-11   -1.52892941E-09
     6.60    0.01433463   -1.92679823E-02   -3.13225078E-02    4.91271923E-11   -2.82904234E-11    9.01478997E-09
     6.80    0.01498322   -1.98046365E-02   -2.51884318E-02    3.46114839E-11    2.35423295E-12    2.98134714E-10
     7.00    0.01548645   -2.02095805E-02   -2.01486564E-02    7.35177591E-14    2.24985517E-11    1.73156539E-08
     7.20    0.01587422   -2.05137377E-02   -1.60393848E-02   -5.68075842E-11    1.68839038E-11    3.76867684E-11
     7.40    0.01617112   -2.07411075E-02   -1.27110838E-02   -1.37535900E-11    9.09470365E-12    3.76591908E-11
     7.60    0.01639713   -2.09102869E-02   -1.00315601E-02   -8.53898806E-12    1.78786040E-11   -4.98584278E-10
     7.80    0.01656834   -2.10356290E-02   -7.88646736E-03   -4.59323467E-11   -3.10523018E-10    3.14030653E-09
     8.00    0.01669749   -2.11281502E-02   -6.17831108E-03   -9.92334983E-12    5.19996997E-11   -5.21677704E-10
     8.20    0.01679460   -2.11962445E-02   -4.82485294E-03   -2.47797559E-12    3.86173214E-11   -3.05214087E-11
     8.40    0.01686745   -2.12462485E-02   -3.75733639E-03   -7.24111216E-12    8.70710623E-12    3.15926261E-11
     8.60    0.01692201   -2.12829062E-02   -2.91878585E-03    4.21900328E-13   -4.45966220E-11   -5.86698084E-09
     8.80    0.01696282   -2.13097373E-02   -2.26238399E-03    1.29507440E-12    5.47704780E-11   -2.43507063E-09
     9.00    0.01699332   -2.13293421E-02   -1.75003006E-03    1.12667586E-11   -3.33212838E-11    4.85282707E-10
     9.20    0.01701606   -2.13436259E-02   -1.35102357E-03   -3.42688875E-11   -5.58382426E-11    8.14920776E-10
     9.40    0.01703300   -2.13539918E-02   -1.04085764E-03   -3.75007093E-11    6.64254110E-11   -4.97096051E-10
     9.60    0.01704556   -2.13614706E-02   -8.00122764E-04   -1.15451539E-11   -6.56666474E-11    5.68289856E-10
     9.80    0.01705485   -2.13668229E-02   -6.13578389E-04    3.18970437E-10   -5.09998860E-11    1.37530677E-10
    10.00    0.01706168   -2.13706178E-02   -4.69276617E-04    1.83678124E-10   -7.17115264E-10   -4.09158788E-10
    10.50    0.01707000   -2.13800000E-02   -2.48171000E-04   -2.22103000E-11   -5.92889000E-10   -3.47598000E-11
    11.00    0.01707609   -2.13777025E-02   -1.17955311E-04    5.92665391E-11    1.82314919E-11    2.04662085E-10
