E	J	d1	d2
5	0	1.3893700300259244	-1.170872935577381
5	1	1.3592784928075923	-1.1755792606393256
5	2	1.2992693782603197	-1.1849934038469447
5	3	1.2097521648776715	-1.1991196983056134
5	4	1.0914332833512055	-1.2179676273697557
5	5	0.9452409671295662	-1.2415537884762713
5	6	0.7719486456434344	-1.2699022498627255
5	7	0.5715058546070283	-1.3030416129600966
5	8	0.34258195955252474	-1.3409997518566423
5	9	0.08339724705600535	-1.3834717834069536
5	10	-0.20550053902095858	-1.429551736668238
5	11	-0.5186970582766339	-1.4812533620798949
5	12	-0.8488294611544906	-1.5377640119006122
5	13	-1.1944607904997584	1.5423900648200346
5	14	-1.5611617223082084	1.476057904887187
5	15	1.1926799742511685	1.4067428532412825
5	16	0.7978198673352552	1.3315799704821267
5	17	0.4064012977350763	1.251386618458852
5	18	0.013034364526241873	1.1671357551662338
5	19	-0.3811188353234958	1.0784351792834725
5	20	-0.7574204886778513	0.9843936916564454
5	21	-1.1083403539422179	0.8855732435601065
5	22	-1.4384982946283225	0.7833963819589875
5	23	1.4040855216269814	0.6753399323198912
5	24	1.149991850629398	0.5635624898060714
5	25	0.9411193867519779	0.44662245643461496
5	26	0.7814625077526602	0.3242944245310544
5	27	0.6807285935832438	0.19921521531753444
5	28	0.6430244746839747	0.06799922341733425
5	29	0.6751335824195137	-0.06663800518457988
5	30	0.7862625330357118	-0.20683291597172773
10	0	-0.22546732117743185	0.44130780518669854
10	1	-0.2527624295346251	0.4364464519054874
10	2	-0.30751095108195536	0.42672271684334534
10	3	-0.39002883745781414	0.41212650875516743
10	4	-0.5007444294531078	0.39294349956196656
10	5	-0.640035927150845	0.3697590667821632
10	6	-0.8078043393985824	0.34094910753402735
10	7	-1.0030188352841238	0.3072728260326404
10	8	-1.2234949559687545	0.2687502142159475
10	9	-1.4666869352768066	0.22532415060084168
10	10	1.4099320276288028	0.17693947084949083
10	11	1.1206150401536994	0.12355980707056238
10	12	0.8017018154581903	0.06687561454570122
10	13	0.4505587980571576	0.004416475795283136
10	14	0.07352603977578287	-0.06298701285779947
10	15	-0.317860999492896	-0.1354963901217547
10	16	-0.7218713247133148	-0.21172226622546708
10	17	-1.1504798631649207	-0.29320094144333597
10	18	1.5323345715151975	-0.37980650745567845
10	19	1.0609719703230691	-0.47168860603257534
10	20	0.5904771474656165	-0.5664281699071126
10	21	0.10568192032727261	-0.6672530028882863
10	22	-0.40085711367452603	-0.7734354488625292
10	23	-0.902811629622872	-0.8823718315782181
10	24	-1.3932747697942975	-0.9975910268628433
10	25	1.247468646601968	-1.116616352953669
10	26	0.7495727089459825	-1.2409454540695535
10	27	0.2792693531365158	-1.3708023338694946
10	28	-0.18189811401347067	-1.5033028989942718
10	29	-0.6363044265982679	1.499220058202286
10	30	-1.0549521413320904	1.3571283868511608
15	0	-0.44100999487860937	-0.9753147041051955
15	1	-0.4667166875365022	-0.980253996711572
15	2	-0.5179499934179502	-0.9901378656012015
15	3	-0.5943662467188224	-1.0049729173617281
15	4	-0.6955247424542932	-1.0247701357605612
15	5	-0.8210536044608536	-1.0495507216377746
15	6	-0.9709457865388482	-1.0793305728164764
15	7	-1.1459191710700394	-1.1141347208165888
15	8	-1.3475892120300232	-1.1531880330675615
15	9	1.563513397994248	-1.1969632695718553
15	10	1.3030764377224349	-1.2462031163062761
15	11	1.0147598613985798	-1.3004542703060462
15	12	0.7043552308056262	-1.3598226924959407
15	13	0.3775454566464687	-1.424339734893698
15	14	0.03359333472299448	-1.4921821618075957
15	15	-0.33602324797775784	-1.5659501492730852
15	16	-0.7397017634302093	1.4967123527366164
15	17	-1.1716384079587332	1.4124815160985718
15	18	1.5269085402641736	1.325167976962494
15	19	1.0766840232954893	1.2317666774566987
15	20	0.601101576786599	1.1329697616646812
15	21	0.09208068219717394	1.0308459843296385
15	22	-0.42588427274441615	0.9228503792632687
15	23	-0.9398292445324312	0.8093189786117161
15	24	-1.4748671211062507	0.6928921834688457
15	25	1.1061403205831901	0.5701193588008865
15	26	0.5553724816978656	0.4434701987908411
15	27	0.00993360048365975	0.31134598017159193
15	28	-0.5586506982601246	0.17435459637316236
15	29	-1.122015422576928	0.03321938383553394
15	30	1.4801798317758763	-0.11409100263193167
20	0	0.043175229004140975	0.8686884177726067
20	1	0.01887641447514374	0.863634371909063
20	2	-0.029557280558516287	0.8535247399940401
20	3	-0.10181886359647058	0.8383566726264055
20	4	-0.19754061658878072	0.8181159106715546
20	5	-0.31644381571551417	0.7928085493663924
20	6	-0.45862073956677085	0.7623938858142263
20	7	-0.6248232733534417	0.7268573494232847
20	8	-0.8166213585787295	0.6861708029068014
20	9	-1.0360239281022008	0.6403321049547525
20	10	-1.2845139285240976	0.5909376768717067
20	11	-1.5606670181817917	0.5354365918305399
20	12	1.282096630445882	0.47482362317348675
20	13	0.9668034970425007	0.408971249235014
20	14	0.636722554914507	0.3378377731594672
20	15	0.2855081319209642	0.2631941792306361
20	16	-0.0973177486543352	0.18256553675261472
20	17	-0.5142243261138482	0.09667095954651797
20	18	-0.9511600426642819	0.005324222687774683
20	19	-1.3938496979553583	-0.08915515200742673
20	20	1.2923187849302844	-0.1899091775065863
20	21	0.802951596044238	-0.2961826351131268
20	22	0.28206925134325234	-0.40573851051626364
20	23	-0.2406104918388966	-0.5214676099075805
20	24	-0.7640881980785332	-0.6422444726372968
20	25	-1.3190259824793402	-0.7669751313115246
20	26	1.2419893146706302	-0.8979084791042033
20	27	0.673345294273353	-1.0323941342772764
20	28	0.10092415015195594	-1.1728854375377258
20	29	-0.5042454909263411	-1.3174999553963633
20	30	-1.1043254689635098	-1.4676592390852055
25	0	0.9648344196986316	-0.3003337039249511
25	1	0.9418268696307489	-0.3055436644257509
25	2	0.8956846221101469	-0.3159594240759608
25	3	0.8261176742807337	-0.3315990192652161
25	4	0.7326139519721868	-0.3527866626872207
25	5	0.6146357462034637	-0.37880060889583217
25	6	0.47139053135663844	-0.4099211106058252
25	7	0.3023704806099717	-0.44595820306111733
25	8	0.10770524847510897	-0.48668749004595313
25	9	-0.10996461258039926	-0.5333229566327561
25	10	-0.34802941305868035	-0.5852096973382891
25	11	-0.6033770080581022	-0.6422780698337418
25	12	-0.8758001707919425	-0.7049208247582285
25	13	-1.1691444819804242	-0.7723743704196188
25	14	-1.4905218744795021	-0.8439524312343688
25	15	1.2964813151871604	-0.9217021011286765
25	16	0.9134340439876932	-1.004340500579845
25	17	0.5153255293400247	-1.0924802808098626
25	18	0.11022198790191114	-1.1861053421367804
25	19	-0.3115415807251925	-1.2831583137921045
25	20	-0.7680583511401026	-1.3865306783570424
25	21	-1.2584958693552943	-1.495684761443552
25	22	1.3833964859338423	1.533526480297647
25	23	0.8853749283569996	1.414830030894121
25	24	0.36240990839997766	1.2905191392630844
25	25	-0.200196247879265	1.1628694577161511
25	26	-0.7684282780432194	1.0287681275163607
25	27	-1.3273683348165788	0.890534118648832
25	28	1.2274253505198804	0.7465964407039011
25	29	0.6095557647708282	0.5979704294770768
25	30	0.007699495929307597	0.4441592978094536
30	0	-1.0135910577973901	-1.3292572251830361
30	1	-1.036398065637831	-1.334589789997018
30	2	-1.0818474365681734	-1.3452542170725077
30	3	-1.1495865446097753	-1.361250437971384
30	4	-1.2391394893513958	-1.38257699738862
30	5	-1.3500141243307822	-1.4092316117966481
30	6	-1.4818339490543022	-1.4412150552854701
30	7	1.5068817219210362	-1.4785346289005448
30	8	1.3319907076105286	-1.5212271232530215
30	9	1.1332284858295076	-1.5692237763072747
30	10	0.9080027909447935	1.5190090959216573
30	11	0.6545573851929838	1.4601675215215808
30	12	0.374075422342082	1.3959782964556995
30	13	0.07088110919616412	1.3274204789260398
30	14	-0.24698669837487705	1.2532089409845804
30	15	-0.5761778583624126	1.1734470625846536
30	16	-0.9223877606956051	1.0882550384546819
30	17	-1.2973256745536166	0.9976355407324579
30	18	1.433745119998795	0.9017326557875842
30	19	0.9961095021070819	0.8017946040191622
30	20	0.5524945275430222	0.695636139212821
30	21	0.10466230697658511	0.5840422456953334
30	22	-0.3689514625051827	0.4672928174082521
30	23	-0.8837527277237913	0.34616364337213484
30	24	-1.4167816451579986	0.2189956404242455
30	25	1.1991083017167394	0.08608506479357968
30	26	0.6596832755749791	-0.05028983196647404
30	27	0.07718576543743157	-0.19307403809899137
30	28	-0.5200946750273476	-0.34052892574423826
30	29	-1.1011513250294795	-0.49345412138925726
30	30	1.438528118404233	-0.6520683729951915
35	0	0.39643034141032385	0.9342067789978634
35	1	0.37349892490087017	0.928763104198006
35	2	0.32765483466056017	0.9178612955154797
35	3	0.25896954855320786	0.9014423252568396
35	4	0.16775442982174393	0.87925019718371
35	5	0.05420888227697203	0.8519651123451725
35	6	-0.08044930146489561	0.8188612829185717
35	7	-0.23522428815947954	0.7802423034705541
35	8	-0.40925222017176927	0.7365844135854298
35	9	-0.6013345357581367	0.6875039512904582
35	10	-0.8122929254048346	0.632879146639028
35	11	-1.0450843260429743	0.5725907145802425
35	12	-1.304039750113962	0.5068393663405443
35	13	1.5490842067272743	0.43563048570715296
35	14	1.231522729682731	0.358927005205556
35	15	0.892476783202403	0.27674015958337417
35	16	0.5418969438077794	0.18908031414978355
35	17	0.18260586764390668	0.09579206885013118
35	18	-0.19419539185572463	-0.0024129730245940235
35	19	-0.6036427323277718	-0.10572026113929725
35	20	-1.0499924445375257	-0.21490424306944164
35	21	-1.5143219699725965	-0.3295553855227368
35	22	1.163965965868584	-0.44983289225128537
35	23	0.6911603740704896	-0.5747839554223998
35	24	0.18102437858331935	-0.7053506119356135
35	25	-0.36557548071926366	-0.8414420412894986
35	26	-0.9115050937031892	-0.9831485806112162
35	27	-1.4524603385905115	-1.129364590191174
35	28	1.1138125228211426	-1.2813598820553738
35	29	0.5011658056869052	-1.4390031089294462
35	30	-0.10037218850358946	1.5404425152463048
40	0	-1.1812099341540818	0.2224412311904516
40	1	-1.2034412488915274	0.21675926655982417
40	2	-1.2478278903623803	0.2054349568136514
40	3	-1.3146167460212959	0.1884440975016461
40	4	-1.4039388915662783	0.16578309035366415
40	5	-1.515674629148559	0.13744930223368002
