 Non-adiabatic couplings for ArHe

       R       NACME12           NACME13           NACME14           NACME15           NACME23           NACME24       NACME25           NACME34           NACME35           NACME45
     3.30   -0.02514845   -7.18742271E-14   -1.10516896E-02   -1.38085115E-02    7.98337029E-13   -4.02166956E-02   -0.01037246   -8.52611007E-12    2.88978847E-11   -9.81505955E-02
     3.40   -0.02687737   -4.35880983E-13   -1.01155076E-02   -1.24923762E-02   -2.07092974E-12   -3.94063285E-02   -0.01186891    1.20234746E-10   -7.13602548E-10   -1.16860669E-01
     3.50   -0.02841602   -2.18372791E-13   -9.17560869E-03   -1.11428750E-02    5.72664860E-13   -3.81398092E-02   -0.01258075    8.49268275E-13    4.06376783E-10   -1.30088958E-01
     3.60   -0.02977885   -1.60256989E-13   -8.23735235E-03   -9.80201915E-03   -9.20954746E-11   -3.64858009E-02   -0.01263375    3.63461932E-11   -3.12516897E-11   -1.39043382E-01
     3.70   -0.03097937    2.29516208E-13   -7.30986400E-03   -8.50383275E-03    3.17660256E-10   -3.45050559E-02   -0.01214702   -1.74468281E-11    2.42584646E-11   -1.44597539E-01
     3.80   -0.03203054   -2.58718760E-13   -6.40412758E-03   -7.27444851E-03   -9.27717114E-11   -3.22544307E-02   -0.01123162    9.52133043E-11   -8.83838103E-11   -1.47409212E-01
     3.90   -0.03294499   -4.60829532E-13   -5.53137968E-03   -6.13248151E-03    1.45744719E-13   -2.97884790E-02   -0.00998893    1.56179073E-10   -4.16318538E-11   -1.47993851E-01
     4.00   -0.03373505   -1.45209424E-13   -4.70190025E-03   -5.08972604E-03   -2.11548573E-12   -2.71595404E-02   -0.00850898    2.07998637E-10   -6.46943065E-11   -1.46770978E-01
     4.10   -0.03441278    2.70274678E-13   -3.92424764E-03   -4.15211439E-03    9.43424777E-11   -2.44170899E-02   -0.00686935    4.85568395E-11    1.80470318E-11   -1.44092834E-01
     4.20   -0.03498978   -2.19410446E-13   -3.20489258E-03   -3.32082376E-03   -9.39823268E-11   -2.16069019E-02   -0.00513494    4.40102757E-11    5.73954709E-10   -1.40261089E-01
     4.30   -0.03547717   -4.33660290E-14   -2.54815342E-03   -2.59339430E-03    1.14389272E-10   -1.87704125E-02   -0.00335862    1.70643438E-10   -2.12031466E-11   -1.35536107E-01
     4.40   -0.03588544   -2.52230686E-13   -1.95631704E-03   -1.96474429E-03   -2.71804424E-10   -1.59443582E-02   -0.00158247   -1.87345010E-10    2.19148617E-11   -1.30142010E-01
     4.50   -0.03622442   -8.94507133E-14   -1.42984897E-03   -1.42802673E-03   -8.86270381E-11   -1.31606613E-02    0.00016072    8.93644123E-11   -6.20144442E-12   -1.24270143E-01
     4.60   -0.03650324   -1.50021553E-13   -9.67644276E-04   -9.75316725E-04    6.49641642E-11   -1.04464464E-02    0.00184594    6.33068734E-11   -5.83601629E-10   -1.18082150E-01
     4.70   -0.03673027   -3.03605847E-14   -5.67292202E-04   -5.98153902E-04   -6.61707820E-12   -7.82413595E-03    0.00345476    2.86125404E-11   -1.09323207E-11   -1.11713091E-01
     4.80   -0.03691314    6.80206455E-14   -2.25354635E-04   -2.87964517E-04   -9.56042042E-11   -5.31160978E-03    0.00497429   -2.80360445E-10    2.23171422E-10   -1.05274599E-01
     4.90   -0.03705869   -3.19929634E-13    6.23716029E-05   -3.63737060E-05   -1.06173508E-10   -2.92242636E-03    0.00639624   -3.66252035E-11   -5.84634295E-11   -9.88579418E-02
