E, K	sigma(1s5_2), cm2	sigma(1s5_1), cm2	sigma(1s5_0), cm2	sigma(1s4_1), cm2	sigma(1s4_0), cm2	sigma(1s3_0), cm2	sigma(1s2_1), cm2	sigma(1s2_0), cm2
4,583587E+01	2,062567E-14	2,100664E-14	2,116106E-14	2,107783E-14	2,125088E-14	2,085432E-14	2,243511E-14	2,213597E-14
4,799605E+01	2,046728E-14	2,089121E-14	2,105670E-14	2,094853E-14	2,115916E-14	2,072840E-14	2,234904E-14	2,207726E-14
5,025803E+01	2,048125E-14	2,090628E-14	2,107300E-14	2,096431E-14	2,116811E-14	2,073769E-14	2,237675E-14	2,207077E-14
5,262662E+01	2,033585E-14	2,079706E-14	2,097417E-14	2,084300E-14	2,108117E-14	2,062013E-14	2,228974E-14	2,201225E-14
5,510684E+01	2,034135E-14	2,080474E-14	2,098391E-14	2,085506E-14	2,108565E-14	2,062402E-14	2,230485E-14	2,200564E-14
5,770394E+01	2,020676E-14	2,070247E-14	2,089086E-14	2,074095E-14	2,100306E-14	2,051393E-14	2,221857E-14	2,195284E-14
6,042345E+01	2,020411E-14	2,070402E-14	2,089519E-14	2,075007E-14	2,100526E-14	2,051785E-14	2,222295E-14	2,194752E-14
6,327112E+01	2,007587E-14	2,060627E-14	2,080535E-14	2,064101E-14	2,092476E-14	2,041173E-14	2,213831E-14	2,189753E-14
6,625299E+01	2,006734E-14	2,060261E-14	2,080470E-14	2,064223E-14	2,092317E-14	2,041216E-14	2,213698E-14	2,188816E-14
6,937540E+01	2,004833E-14	2,058922E-14	2,079131E-14	2,062872E-14	2,090913E-14	2,039577E-14	2,212866E-14	2,187116E-14
7,264496E+01	1,993182E-14	2,049841E-14	2,070745E-14	2,052927E-14	2,083231E-14	2,029961E-14	2,205082E-14	2,181412E-14
7,606861E+01	1,991220E-14	2,048243E-14	2,068950E-14	2,051137E-14	2,081355E-14	2,027959E-14	2,203944E-14	2,178765E-14
7,965362E+01	1,988273E-14	2,045714E-14	2,066582E-14	2,048611E-14	2,078777E-14	2,025259E-14	2,201924E-14	2,175420E-14
8,340758E+01	1,977943E-14	2,037423E-14	2,058683E-14	2,039530E-14	2,071614E-14	2,016355E-14	2,194524E-14	2,169672E-14
8,733845E+01	1,974969E-14	2,034891E-14	2,056501E-14	2,037259E-14	2,069208E-14	2,013730E-14	2,192196E-14	2,166692E-14
9,145459E+01	1,971580E-14	2,032079E-14	2,053758E-14	2,034524E-14	2,066538E-14	2,010707E-14	2,189428E-14	2,163857E-14
9,576471E+01	1,961927E-14	2,024329E-14	2,046516E-14	2,025949E-14	2,059843E-14	2,002473E-14	2,182031E-14	2,158793E-14
1,002780E+02	1,958504E-14	2,021436E-14	2,043633E-14	2,022761E-14	2,057087E-14	1,999567E-14	2,179104E-14	2,155907E-14
1,050039E+02	1,954889E-14	2,018187E-14	2,040496E-14	2,019136E-14	2,053790E-14	1,996016E-14	2,175766E-14	2,152407E-14
1,099526E+02	1,950946E-14	2,014473E-14	2,037011E-14	2,015303E-14	2,050146E-14	1,992350E-14	2,172158E-14	2,148506E-14
1,151345E+02	1,942643E-14	2,007247E-14	2,030061E-14	2,007402E-14	2,043613E-14	1,984834E-14	2,165119E-14	2,142784E-14
1,205606E+02	1,939173E-14	2,003705E-14	2,026743E-14	2,003925E-14	2,040030E-14	1,981315E-14	2,161395E-14	2,138640E-14
1,262425E+02	1,935571E-14	2,000057E-14	2,023108E-14	2,000291E-14	2,036342E-14	1,977724E-14	2,157655E-14	2,134646E-14
1,321921E+02	1,931881E-14	1,996335E-14	2,019329E-14	1,996388E-14	2,032552E-14	1,973852E-14	2,153613E-14	2,130468E-14
1,384221E+02	1,927947E-14	1,992391E-14	2,015417E-14	1,992412E-14	2,028567E-14	1,969935E-14	2,149304E-14	2,126085E-14
1,449458E+02	1,924013E-14	1,988389E-14	2,011422E-14	1,988351E-14	2,024454E-14	1,965923E-14	2,144746E-14	2,121521E-14
1,517768E+02	1,917193E-14	1,982117E-14	2,005172E-14	1,981555E-14	2,018523E-14	1,959444E-14	2,137889E-14	2,115916E-14
1,589299E+02	1,913497E-14	1,978263E-14	2,001258E-14	1,977716E-14	2,014631E-14	1,955774E-14	2,133157E-14	2,111295E-14
1,664200E+02	1,909729E-14	1,974354E-14	1,997325E-14	1,973830E-14	2,010632E-14	1,951960E-14	2,128400E-14	2,106694E-14
1,742631E+02	1,905820E-14	1,970325E-14	1,993259E-14	1,969838E-14	2,006527E-14	1,948039E-14	2,123644E-14	2,102028E-14
1,824759E+02	1,901864E-14	1,966220E-14	1,989065E-14	1,965815E-14	2,002337E-14	1,944077E-14	2,118971E-14	2,097240E-14
1,910757E+02	1,897932E-14	1,962164E-14	1,984784E-14	1,961769E-14	1,998114E-14	1,940072E-14	2,114221E-14	2,092357E-14
2,000808E+02	1,893848E-14	1,958020E-14	1,980479E-14	1,957682E-14	1,993867E-14	1,936010E-14	2,109339E-14	2,087467E-14
2,095104E+02	1,889514E-14	1,953740E-14	1,976107E-14	1,953484E-14	1,989504E-14	1,931828E-14	2,104274E-14	2,082512E-14
2,193843E+02	1,884967E-14	1,949320E-14	1,971565E-14	1,949101E-14	1,984984E-14	1,927513E-14	2,099097E-14	2,077366E-14
2,297235E+02	1,881813E-14	1,946039E-14	1,968143E-14	1,946013E-14	1,981310E-14	1,924368E-14	2,095018E-14	2,072660E-14
2,405501E+02	1,876855E-14	1,941420E-14	1,963449E-14	1,941313E-14	1,976654E-14	1,919727E-14	2,089741E-14	2,067405E-14
2,518869E+02	1,871723E-14	1,936710E-14	1,958695E-14	1,936445E-14	1,971937E-14	1,914926E-14	2,084539E-14	2,062220E-14
2,637579E+02	1,866459E-14	1,931824E-14	1,953851E-14	1,931418E-14	1,967064E-14	1,909974E-14	2,079271E-14	2,056900E-14
2,761884E+02	1,861137E-14	1,926792E-14	1,948909E-14	1,926284E-14	1,962051E-14	1,904926E-14	2,073849E-14	2,051447E-14
2,892048E+02	1,856915E-14	1,922602E-14	1,944625E-14	1,922014E-14	1,957679E-14	1,900737E-14	2,069059E-14	2,046271E-14
3,028346E+02	1,851521E-14	1,917428E-14	1,939434E-14	1,916566E-14	1,952476E-14	1,895508E-14	2,063373E-14	2,040732E-14
3,171068E+02	1,846255E-14	1,912196E-14	1,934235E-14	1,911067E-14	1,947168E-14	1,890229E-14	2,057613E-14	2,035079E-14
3,320515E+02	1,841160E-14	1,906959E-14	1,929054E-14	1,905720E-14	1,941817E-14	1,885021E-14	2,051757E-14	2,029406E-14
3,477006E+02	1,837036E-14	1,902375E-14	1,924499E-14	1,901265E-14	1,937055E-14	1,880671E-14	2,046388E-14	2,023923E-14
3,640873E+02	1,832217E-14	1,897236E-14	1,919199E-14	1,895998E-14	1,931734E-14	1,875598E-14	2,040452E-14	2,018094E-14
3,812462E+02	1,828050E-14	1,892631E-14	1,914523E-14	1,891485E-14	1,926841E-14	1,871180E-14	2,034929E-14	2,012446E-14
3,992138E+02	1,823090E-14	1,887502E-14	1,909255E-14	1,886317E-14	1,921572E-14	1,866172E-14	2,028961E-14	2,006448E-14
