E, cm-1	Sigma_00, cm2	
1.0524551226e+05	3.9881497157e-14
1.0524554575e+05	3.9846067386e-14
1.0524557963e+05	3.9811071570e-14
1.0524561390e+05	3.9776440683e-14
1.0524564857e+05	3.9742094368e-14
1.0524568364e+05	3.9707940204e-14
1.0524571911e+05	3.9673872981e-14
1.0524575500e+05	3.9639774019e-14
1.0524579130e+05	3.9605510501e-14
1.0524582802e+05	3.9570934869e-14
1.0524586517e+05	3.9535884249e-14
1.0524590274e+05	3.9500179944e-14
1.0524594076e+05	3.9463626986e-14
1.0524597921e+05	3.9426013753e-14
1.0524601811e+05	3.9387111670e-14
1.0524605746e+05	3.9346674992e-14
1.0524609726e+05	3.9331761219e-14
1.0524613752e+05	3.9300086419e-14
1.0524617826e+05	3.9269175423e-14
1.0524621946e+05	3.9239054418e-14
1.0524626114e+05	3.9209744142e-14
1.0524630330e+05	3.9181258690e-14
1.0524634595e+05	3.9153604277e-14
1.0524638910e+05	3.9126777959e-14
1.0524643274e+05	3.9100766342e-14
1.0524647689e+05	3.9075544270e-14
1.0524652155e+05	3.9051073520e-14
1.0524656673e+05	3.9027301506e-14
1.0524661243e+05	3.9004160008e-14
1.0524665866e+05	3.8981563944e-14
1.0524670542e+05	3.8959410185e-14
1.0524675273e+05	3.8937576441e-14
1.0524680059e+05	3.8915920219e-14
1.0524684899e+05	3.8894277872e-14
1.0524689796e+05	3.8872463753e-14
1.0524694750e+05	3.8850269479e-14
1.0524699761e+05	3.8827463326e-14
1.0524704830e+05	3.8803789758e-14
1.0524709958e+05	3.8778969114e-14
1.0524715145e+05	3.8752697451e-14
1.0524720392e+05	3.8724646557e-14
1.0524725700e+05	3.8694464153e-14
1.0524731069e+05	3.8661774274e-14
1.0524736501e+05	3.8626177860e-14
1.0524741995e+05	3.8587253546e-14
1.0524747554e+05	3.8544558658e-14
1.0524753176e+05	3.8497630434e-14
1.0524758864e+05	3.8445987459e-14
1.0524764617e+05	3.8389131315e-14
1.0524770437e+05	3.8538736050e-14
1.0524776324e+05	3.8523336386e-14
1.0524782280e+05	3.8508825240e-14
1.0524788305e+05	3.8495074835e-14
1.0524794399e+05	3.8481929312e-14
1.0524800564e+05	3.8469203559e-14
1.0524806800e+05	3.8456682251e-14
1.0524813108e+05	3.8444119083e-14
1.0524819490e+05	3.8431236240e-14
1.0524825945e+05	3.8417724109e-14
1.0524832476e+05	3.8403241243e-14
1.0524839081e+05	3.8387414593e-14
1.0524845764e+05	3.8369840015e-14
1.0524852523e+05	3.8350083063e-14
1.0524859361e+05	3.8327680079e-14
1.0524866278e+05	3.8311998633e-14
1.0524873276e+05	3.8295254967e-14
1.0524880354e+05	3.8280066046e-14
1.0524887514e+05	3.8266408194e-14
1.0524894757e+05	3.8254227325e-14
1.0524902084e+05	3.8243436849e-14
1.0524909496e+05	3.8233915805e-14
1.0524916994e+05	3.8225507275e-14
1.0524924578e+05	3.8218017073e-14
1.0524932250e+05	3.8211212753e-14
1.0524940012e+05	3.8204822948e-14
1.0524947863e+05	3.8198537047e-14
1.0524955804e+05	3.8192005244e-14
1.0524963838e+05	3.8227972769e-14
1.0524971965e+05	3.8203745422e-14
1.0524980186e+05	3.8181158868e-14
1.0524988502e+05	3.8160314112e-14
1.0524996915e+05	3.8141284246e-14
1.0525005425e+05	3.8124111107e-14
1.0525014033e+05	3.8108802201e-14
1.0525022741e+05	3.8095327922e-14
1.0525031550e+05	3.8083619122e-14
1.0525040461e+05	3.8073565052e-14
1.0525049476e+05	3.8065011706e-14
1.0525058594e+05	3.8057760597e-14
1.0525067818e+05	3.8239526144e-14
1.0525077149e+05	3.8204739783e-14
1.0525086588e+05	3.8171098021e-14
1.0525096136e+05	3.8138814379e-14
1.0525105795e+05	3.8108081251e-14
1.0525115566e+05	3.8079065176e-14
1.0525125450e+05	3.8051902360e-14
1.0525135448e+05	3.8026694523e-14
1.0525145562e+05	3.8003505119e-14
1.0525155793e+05	3.7982355999e-14
