E, cm-1	Sigma_00, cm2	
1.056855e+05	3.209461e-14
1.056958e+05	3.201947e-14
1.057063e+05	3.194354e-14
1.057171e+05	3.186657e-14
1.057282e+05	3.179151e-14
1.057395e+05	3.171490e-14
1.057511e+05	3.163786e-14
1.057629e+05	3.156056e-14
1.057750e+05	3.148332e-14
1.057874e+05	3.140684e-14
1.058001e+05	3.133080e-14
1.058131e+05	3.125503e-14
1.058264e+05	3.117913e-14
1.058400e+05	3.110410e-14
1.058539e+05	3.102675e-14
1.058681e+05	3.095042e-14
1.058827e+05	3.087396e-14
1.058976e+05	3.079813e-14
1.059129e+05	3.072233e-14
1.059285e+05	3.064682e-14
1.059445e+05	3.057000e-14
1.059608e+05	3.049398e-14
1.059775e+05	3.041802e-14
1.059947e+05	3.034148e-14
1.060122e+05	3.026606e-14
1.060301e+05	3.019033e-14
1.060484e+05	3.011355e-14
1.060672e+05	3.003818e-14
1.060864e+05	2.996232e-14
1.061061e+05	2.988583e-14
1.061262e+05	2.981035e-14
1.061468e+05	2.973368e-14
1.061678e+05	2.965831e-14
1.061894e+05	2.958252e-14
1.062114e+05	2.950670e-14
1.062340e+05	2.943153e-14
1.062571e+05	2.935414e-14
1.062807e+05	2.927801e-14
1.063049e+05	2.920420e-14
1.063296e+05	2.912893e-14
1.063550e+05	2.904966e-14
1.063809e+05	2.897111e-14
1.064074e+05	2.890042e-14
1.064345e+05	2.882948e-14
1.064623e+05	2.875283e-14
1.064907e+05	2.867084e-14
1.065198e+05	2.858861e-14
1.065495e+05	2.851259e-14
1.065799e+05	2.844345e-14
1.066111e+05	2.837776e-14
1.066430e+05	2.830920e-14
1.066756e+05	2.823053e-14
1.067090e+05	2.814428e-14
1.067431e+05	2.805574e-14
1.067781e+05	2.797228e-14
1.068138e+05	2.789713e-14
1.068504e+05	2.783331e-14
1.068879e+05	2.777262e-14
1.069262e+05	2.771190e-14
1.069654e+05	2.764272e-14
1.070056e+05	2.756386e-14
1.070466e+05	2.747550e-14
1.070886e+05	2.738154e-14
1.071316e+05	2.728737e-14
1.071756e+05	2.719649e-14
1.072207e+05	2.711846e-14
1.072667e+05	2.704943e-14
1.073139e+05	2.699028e-14
1.073621e+05	2.693853e-14
1.074115e+05	2.688588e-14
1.074620e+05	2.683073e-14
1.075137e+05	2.676723e-14
1.075666e+05	2.669267e-14
1.076208e+05	2.660617e-14
1.076762e+05	2.651039e-14
1.077328e+05	2.640748e-14
1.077908e+05	2.630317e-14
1.078502e+05	2.619980e-14
1.079109e+05	2.610520e-14
1.079731e+05	2.601886e-14
1.080367e+05	2.594411e-14
1.081018e+05	2.588252e-14
1.081684e+05	2.583091e-14
1.082365e+05	2.578516e-14
1.083063e+05	2.574572e-14
1.083776e+05	2.570447e-14
1.084506e+05	2.566114e-14
1.085254e+05	2.560988e-14
1.086018e+05	2.554772e-14
1.086801e+05	2.547372e-14
1.087601e+05	2.538851e-14
1.088421e+05	2.529292e-14
1.089259e+05	2.518462e-14
1.090117e+05	2.507011e-14
1.090995e+05	2.495293e-14
