R E0 E1 E2 E3 E4 E5 E6 E7 E8 E9 E10
5.30 93103.50 93661.22 95179.03 104093.31 105320.81 105467.79 106009.57 106014.06 106861.43 107010.98 107196.83
5.40 93099.27 93656.87 95174.41 104084.53 105312.25 105460.75 105987.84 106006.54 106853.27 107006.17 107188.54
5.50 93095.76 93653.24 95170.50 104076.56 105304.40 105454.16 105968.30 105999.80 106846.11 107001.41 107181.24
5.60 93092.86 93650.23 95167.22 104069.36 105297.21 105448.04 105950.75 105993.77 106839.83 106996.72 107174.78
5.70 93090.46 93647.72 95164.49 104062.90 105290.69 105442.38 105935.03 105988.37 106834.29 106992.11 107169.03
5.80 93088.50 93645.66 95162.21 104057.12 105284.75 105437.18 105921.02 105983.57 106829.38 106987.59 107163.92
5.90 93086.88 93643.96 95160.30 104051.97 105279.41 105432.44 105908.55 105979.28 106825.06 106983.20 107159.38
6.00 93085.58 93642.58 95158.73 104047.42 105274.59 105428.16 105897.47 105975.48 106821.21 106978.95 107155.33
6.20 93083.69 93640.55 95156.42 104039.85 105266.41 105420.83 105878.92 105969.11 106814.74 106971.01 107148.48
6.40 93082.84 93639.52 95154.93 104034.02 105259.92 105414.93 105864.38 105964.10 106809.60 106963.91 107143.02
6.60 93082.15 93638.74 95153.91 104029.56 105254.77 105410.27 105853.01 105960.18 106805.51 106957.66 107138.61
6.80 93081.74 93638.27 95153.28 104026.23 105250.71 105406.60 105844.16 105957.17 106802.28 106952.36 107135.19
7.00 93081.54 93638.01 95152.89 104023.75 105247.53 105403.72 105837.23 105954.80 106799.71 106947.86 107132.41
7.20 93081.47 93637.90 95152.69 104021.94 105245.07 105401.48 105831.83 105952.97 106797.69 106944.14 107130.20
7.40 93081.49 93637.89 95152.61 104020.62 105243.15 105399.76 105827.62 105951.57 106796.11 106941.08 107128.47
7.60 93081.56 93637.93 95152.59 104019.67 105241.26 105398.07 105824.50 105950.42 106795.04 106938.47 107127.10
7.80 93081.64 93637.99 95152.62 104019.00 105240.23 105397.12 105821.95 105949.63 106794.04 106936.51 107126.03
8.00 93081.76 93638.10 95152.70 104018.55 105239.46 105396.43 105819.95 105949.01 106793.30 106934.95 107125.20
8.20 93081.86 93638.20 95152.80 104018.26 105238.87 105395.90 105818.42 105948.55 106792.72 106933.73 107124.57
8.40 93081.96 93638.28 95152.85 104018.11 105238.41 105395.48 105817.23 105948.21 106792.30 106932.75 107124.07
8.60 93082.04 93638.36 95152.92 104017.99 105238.10 105395.20 105816.33 105947.95 106791.95 106932.00 107123.70
8.80 93082.12 93638.44 95152.99 104017.91 105237.86 105394.98 105815.62 105947.76 106791.73 106931.43 107123.40
9.00 93082.19 93638.51 95153.06 104017.89 105237.68 105394.81 105815.10 105947.63 106791.56 106930.99 107123.19
9.20 93082.26 93638.58 95153.14 104017.88 105237.56 105394.72 105814.71 105947.57 106791.44 106930.66 107123.07
9.40 93082.32 93638.64 95153.20 104017.91 105237.48 105394.64 105814.40 105947.50 106791.36 106930.41 107122.96
9.60 93082.37 93638.69 95153.25 104017.95 105237.42 105394.58 105814.18 105947.47 106791.30 106930.21 107122.87
9.80 93082.43 93638.75 95153.31 104017.98 105237.39 105394.55 105814.01 105947.44 106791.26 106930.06 107122.81
10.00 93082.47 93638.79 95153.36 104018.01 105237.36 105394.55 105813.88 105947.41 106791.23 106929.95 107122.75
10.50 93082.56 93638.83 95153.29 104018.13 105237.35 105394.52 105813.69 105947.40 106791.22 106929.79 107122.70
11.00 93082.66 93638.93 95153.37 104018.24 105237.36 105394.53 105813.56 105947.41 106791.18 106929.73 107122.65
