State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	State5	Sigma5	State6	Sigma6	
9.409933e+04	1.750644e-14	9.541881e+04	1.712023e-14	1.050327e+05	2.547825e-14	1.062596e+05	2.355401e-14	1.068365e+05	1.386728e-14	1.078155e+05	3.604009e-14	1.081362e+05	3.185026e-14
9.414714e+04	1.744421e-14	9.546662e+04	1.705961e-14	1.050805e+05	2.552060e-14	1.063074e+05	2.370763e-14	1.068843e+05	1.348109e-14	1.078633e+05	3.650745e-14	1.081840e+05	3.168819e-14
9.419720e+04	1.738167e-14	9.551668e+04	1.699835e-14	1.051306e+05	2.551579e-14	1.063574e+05	2.404334e-14	1.069344e+05	1.310871e-14	1.079133e+05	3.672816e-14	1.082341e+05	3.152485e-14
9.424962e+04	1.731877e-14	9.556910e+04	1.693655e-14	1.051830e+05	2.543752e-14	1.064099e+05	2.450280e-14	1.069868e+05	1.275085e-14	1.079658e+05	3.669164e-14	1.082865e+05	3.136078e-14
9.430452e+04	1.725527e-14	9.562400e+04	1.687527e-14	1.052379e+05	2.528152e-14	1.064647e+05	2.502215e-14	1.070417e+05	1.240687e-14	1.080206e+05	3.640461e-14	1.083414e+05	3.119573e-14
9.436200e+04	1.719033e-14	9.568148e+04	1.681356e-14	1.052954e+05	2.505496e-14	1.065222e+05	2.553980e-14	1.070992e+05	1.207174e-14	1.080781e+05	3.588658e-14	1.083989e+05	3.102960e-14
9.442219e+04	1.712711e-14	9.574167e+04	1.675008e-14	1.053556e+05	2.477695e-14	1.065824e+05	2.600169e-14	1.071594e+05	1.175221e-14	1.081383e+05	3.517327e-14	1.084591e+05	3.086513e-14
9.448521e+04	1.706257e-14	9.580469e+04	1.668832e-14	1.054186e+05	2.448029e-14	1.066454e+05	2.636274e-14	1.072224e+05	1.144219e-14	1.082013e+05	3.430196e-14	1.085221e+05	3.069961e-14
9.455121e+04	1.699800e-14	9.587069e+04	1.662474e-14	1.054846e+05	2.418995e-14	1.067114e+05	2.659190e-14	1.072884e+05	1.114938e-14	1.082673e+05	3.332420e-14	1.085881e+05	3.053759e-14
9.462032e+04	1.693249e-14	9.593980e+04	1.656178e-14	1.055537e+05	2.393491e-14	1.067805e+05	2.667219e-14	1.073575e+05	1.086259e-14	1.083364e+05	3.227443e-14	1.086572e+05	3.037078e-14
9.469268e+04	1.686711e-14	9.601216e+04	1.649796e-14	1.056261e+05	2.373582e-14	1.068529e+05	2.659472e-14	1.074299e+05	1.059007e-14	1.084088e+05	3.120499e-14	1.087295e+05	3.020631e-14
9.476845e+04	1.680173e-14	9.608793e+04	1.643306e-14	1.057019e+05	2.360500e-14	1.069287e+05	2.636638e-14	1.075056e+05	1.032277e-14	1.084846e+05	3.014844e-14	1.088053e+05	3.004087e-14
9.484780e+04	1.673538e-14	9.616728e+04	1.636863e-14	1.057812e+05	2.354304e-14	1.070080e+05	2.599975e-14	1.075850e+05	1.006996e-14	1.085639e+05	2.914908e-14	1.088847e+05	2.987790e-14
9.493088e+04	1.666891e-14	9.625036e+04	1.630393e-14	1.058643e+05	2.354619e-14	1.070911e+05	2.551522e-14	1.076681e+05	9.829714e-15	1.086470e+05	2.823177e-14	1.089678e+05	2.971353e-14
9.501788e+04	1.660214e-14	9.633736e+04	1.623835e-14	1.059513e+05	2.360138e-14	1.071781e+05	2.493973e-14	1.077551e+05	9.593152e-15	1.087340e+05	2.741856e-14	1.090548e+05	2.954554e-14
9.510898e+04	1.653548e-14	9.642846e+04	1.617274e-14	1.060424e+05	2.369268e-14	1.072692e+05	2.429616e-14	1.078462e+05	9.366238e-15	1.088251e+05	2.672854e-14	1.091459e+05	2.937790e-14
9.520438e+04	1.646793e-14	9.652386e+04	1.610541e-14	1.061378e+05	2.379982e-14	1.073646e+05	2.361858e-14	1.079416e+05	9.148457e-15	1.089205e+05	2.617723e-14	1.092412e+05	2.921236e-14
9.530427e+04	1.639939e-14	9.662375e+04	1.603961e-14	1.062377e+05	2.390355e-14	1.074645e+05	2.292815e-14	1.080414e+05	8.942200e-15	1.090204e+05	2.576268e-14	1.093411e+05	2.904917e-14
9.540887e+04	1.633045e-14	9.672835e+04	1.597245e-14	1.063423e+05	2.398541e-14	1.075691e+05	2.225339e-14	1.081460e+05	8.745401e-15	1.091250e+05	2.549283e-14	1.094457e+05	2.888923e-14
9.551839e+04	1.626270e-14	9.683787e+04	1.590501e-14	1.064518e+05	2.403199e-14	1.076786e+05	2.161200e-14	1.082556e+05	8.550464e-15	1.092345e+05	2.535744e-14	1.095553e+05	2.872640e-14
9.563308e+04	1.619358e-14	9.695256e+04	1.583850e-14	1.065665e+05	2.402867e-14	1.077933e+05	2.102860e-14	1.083703e+05	8.365924e-15	1.093492e+05	2.535021e-14	1.096700e+05	2.855691e-14
9.575317e+04	1.612424e-14	9.707265e+04	1.577040e-14	1.066866e+05	2.397039e-14	1.079134e+05	2.051006e-14	1.084904e+05	8.190334e-15	1.094693e+05	2.546415e-14	1.097900e+05	2.838429e-14
9.587893e+04	1.605445e-14	9.719841e+04	1.570128e-14	1.068123e+05	2.385307e-14	1.080392e+05	2.007051e-14	1.086161e+05	8.020510e-15	1.095951e+05	2.568380e-14	1.099158e+05	2.821094e-14
9.601061e+04	1.598451e-14	9.733009e+04	1.563327e-14	1.069440e+05	2.367753e-14	1.081708e+05	1.971645e-14	1.087478e+05	7.855887e-15	1.097267e+05	2.599299e-14	1.100475e+05	2.804124e-14
9.614850e+04	1.591427e-14	9.746798e+04	1.556431e-14	1.070819e+05	2.344899e-14	1.083087e+05	1.945060e-14	1.088857e+05	7.699192e-15	1.098646e+05	2.638064e-14	1.101854e+05	2.787798e-14
9.629288e+04	1.584268e-14	9.761236e+04	1.549528e-14	1.072263e+05	2.317119e-14	1.084531e+05	1.927231e-14	1.090301e+05	7.549857e-15	1.100090e+05	2.682912e-14	1.103298e+05	2.772306e-14
9.644407e+04	1.577234e-14	9.776355e+04	1.542509e-14	1.073775e+05	2.285715e-14	1.086043e+05	1.918213e-14	1.091812e+05	7.405276e-15	1.101602e+05	2.732333e-14	1.104809e+05	2.756770e-14
9.660238e+04	1.569972e-14	9.792186e+04	1.535508e-14	1.075358e+05	2.251609e-14	1.087626e+05	1.917126e-14	1.093396e+05	7.267000e-15	1.103185e+05	2.784775e-14	1.106393e+05	2.741007e-14
9.676816e+04	1.562827e-14	9.808764e+04	1.528427e-14	1.077016e+05	2.215713e-14	1.089284e+05	1.923407e-14	1.095053e+05	7.134307e-15	1.104843e+05	2.839118e-14	1.108050e+05	2.724292e-14
9.694175e+04	1.555601e-14	9.826123e+04	1.521374e-14	1.078752e+05	2.179490e-14	1.091020e+05	1.936390e-14	1.096789e+05	7.006507e-15	1.106579e+05	2.893557e-14	1.109786e+05	2.706466e-14
9.712352e+04	1.548372e-14	9.844300e+04	1.514243e-14	1.080569e+05	2.143911e-14	1.092837e+05	1.955031e-14	1.098607e+05	6.882897e-15	1.108396e+05	2.947070e-14	1.111604e+05	2.687796e-14
9.731385e+04	1.541031e-14	9.863333e+04	1.507086e-14	1.082473e+05	2.109955e-14	1.094741e+05	1.978518e-14	1.100510e+05	6.763197e-15	1.110300e+05	2.998756e-14	1.113507e+05	2.668948e-14
9.751316e+04	1.533639e-14	9.883264e+04	1.499760e-14	1.084466e+05	2.078234e-14	1.096734e+05	2.005706e-14	1.102503e+05	6.650806e-15	1.112293e+05	3.047483e-14	1.115500e+05	2.650459e-14
9.772186e+04	1.526213e-14	9.904134e+04	1.492575e-14	1.086553e+05	2.049874e-14	1.098821e+05	2.035775e-14	1.104590e+05	6.542996e-15	1.114380e+05	3.092540e-14	1.117587e+05	2.632734e-14
9.794040e+04	1.518792e-14	9.925988e+04	1.485262e-14	1.088738e+05	2.025154e-14	1.101006e+05	2.067653e-14	1.106776e+05	6.437876e-15	1.116565e+05	3.133114e-14	1.119773e+05	2.616330e-14
9.816923e+04	1.511373e-14	9.948871e+04	1.478027e-14	1.091026e+05	2.004460e-14	1.103295e+05	2.100483e-14	1.109064e+05	6.336564e-15	1.118854e+05	3.168652e-14	1.122061e+05	2.601319e-14
9.840885e+04	1.503909e-14	9.972833e+04	1.470563e-14	1.093423e+05	1.988071e-14	1.105691e+05	2.133476e-14	1.111460e+05	6.242117e-15	1.121250e+05	3.198884e-14	1.124457e+05	2.586995e-14
9.865976e+04	1.496460e-14	9.997924e+04	1.463203e-14	1.095932e+05	1.976110e-14	1.108200e+05	2.165778e-14	1.113969e+05	6.148470e-15	1.123759e+05	3.223256e-14	1.126966e+05	2.573153e-14
9.892250e+04	1.488817e-14	1.002420e+05	1.455845e-14	1.098559e+05	1.968354e-14	1.110827e+05	2.196738e-14	1.116597e+05	6.058801e-15	1.126386e+05	3.241747e-14	1.129594e+05	2.559030e-14
9.919762e+04	1.481312e-14	1.005171e+05	1.448332e-14	1.101310e+05	1.964773e-14	1.113578e+05	2.225772e-14	1.119348e+05	5.974144e-15	1.129137e+05	3.254205e-14	1.132345e+05	2.543998e-14
9.948570e+04	1.473673e-14	1.008052e+05	1.440787e-14	1.104191e+05	1.965179e-14	1.116459e+05	2.252326e-14	1.122229e+05	5.892850e-15	1.132018e+05	3.260474e-14	1.135226e+05	2.527446e-14
9.978736e+04	1.465970e-14	1.011068e+05	1.433250e-14	1.107208e+05	1.968947e-14	1.119476e+05	2.275943e-14	1.125245e+05	5.814077e-15	1.135035e+05	3.260659e-14	1.138242e+05	2.509205e-14
1.001032e+05	1.458308e-14	1.014227e+05	1.425666e-14	1.110367e+05	1.975773e-14	1.122635e+05	2.296295e-14	1.128404e+05	5.737737e-15	1.138194e+05	3.254897e-14	1.141401e+05	2.489399e-14
1.004340e+05	1.450616e-14	1.017535e+05	1.418065e-14	1.113674e+05	1.985143e-14	1.125942e+05	2.313101e-14	1.131712e+05	5.664184e-15	1.141501e+05	3.243391e-14	1.144709e+05	2.468298e-14
1.007804e+05	1.442743e-14	1.020998e+05	1.410286e-14	1.117138e+05	1.996574e-14	1.129406e+05	2.326079e-14	1.135175e+05	5.593856e-15	1.144965e+05	3.226186e-14	1.148172e+05	2.446329e-14
1.011430e+05	1.434941e-14	1.024625e+05	1.402556e-14	1.120765e+05	2.009544e-14	1.133033e+05	2.335152e-14	1.138802e+05	5.526359e-15	1.148592e+05	3.203736e-14	1.151799e+05	2.424197e-14
1.015228e+05	1.427116e-14	1.028423e+05	1.394850e-14	1.124562e+05	2.023552e-14	1.136830e+05	2.340284e-14	1.142600e+05	5.462044e-15	1.152389e+05	3.176267e-14	1.155597e+05	2.402615e-14
1.019205e+05	1.419220e-14	1.032400e+05	1.387027e-14	1.128539e+05	2.038094e-14	1.140807e+05	2.341365e-14	1.146577e+05	5.400024e-15	1.156366e+05	3.143934e-14	1.159574e+05	2.382228e-14
1.023369e+05	1.411200e-14	1.036564e+05	1.379153e-14	1.132703e+05	2.052681e-14	1.144971e+05	2.338589e-14	1.150741e+05	5.341934e-15	1.160530e+05	3.107167e-14	1.163738e+05	2.363473e-14
1.027729e+05	1.403323e-14	1.040924e+05	1.371339e-14	1.137063e+05	2.066685e-14	1.149332e+05	2.331765e-14	1.155101e+05	5.283218e-15	1.164891e+05	3.066444e-14	1.168098e+05	2.346301e-14
1.032295e+05	1.395253e-14	1.045490e+05	1.363375e-14	1.141629e+05	2.079960e-14	1.153897e+05	2.321176e-14	1.159667e+05	5.229227e-15	1.169456e+05	3.021848e-14	1.172664e+05	2.331347e-14
1.037076e+05	1.387197e-14	1.050271e+05	1.355374e-14	1.146410e+05	2.091968e-14	1.158678e+05	2.306876e-14	1.164448e+05	5.175946e-15	1.174237e+05	2.973826e-14	1.177445e+05	2.318057e-14
1.042082e+05	1.379138e-14	1.055277e+05	1.347358e-14	1.151417e+05	2.102392e-14	1.163685e+05	2.288973e-14	1.169454e+05	5.124544e-15	1.179244e+05	2.922693e-14	1.182451e+05	2.306125e-14
1.047325e+05	1.370964e-14	1.060520e+05	1.339200e-14	1.156659e+05	2.111172e-14	1.168927e+05	2.267744e-14	1.174697e+05	5.074988e-15	1.184486e+05	2.868529e-14	1.187693e+05	2.295430e-14
1.052814e+05	1.362862e-14	1.066009e+05	1.331107e-14	1.162148e+05	2.117824e-14	1.174416e+05	2.243223e-14	1.180186e+05	5.028462e-15	1.189975e+05	2.812218e-14	1.193183e+05	2.285051e-14
1.058562e+05	1.354645e-14	1.071757e+05	1.322925e-14	1.167896e+05	2.122214e-14	1.180164e+05	2.215877e-14	1.185934e+05	4.984002e-15	1.195723e+05	2.753787e-14	1.198931e+05	2.274551e-14
1.064581e+05	1.346334e-14	1.077776e+05	1.314592e-14	1.173915e+05	2.124192e-14	1.186183e+05	2.185793e-14	1.191953e+05	4.940092e-15	1.201742e+05	2.693607e-14	1.204950e+05	2.263418e-14
1.070884e+05	1.338002e-14	1.084079e+05	1.306383e-14	1.180218e+05	2.123517e-14	1.192486e+05	2.153436e-14	1.198256e+05	4.899908e-15	1.208045e+05	2.632056e-14	1.211252e+05	2.251100e-14
1.077483e+05	1.329587e-14	1.090678e+05	1.297939e-14	1.186818e+05	2.119983e-14	1.199086e+05	2.118321e-14	1.204855e+05	4.859443e-15	1.214645e+05	2.568983e-14	1.217852e+05	2.236994e-14
1.084394e+05	1.321078e-14	1.097589e+05	1.289577e-14	1.193728e+05	2.113547e-14	1.205996e+05	2.081342e-14	1.211766e+05	4.822024e-15	1.221555e+05	2.504862e-14	1.224763e+05	2.220944e-14
1.091630e+05	1.312547e-14	1.104825e+05	1.281188e-14	1.200965e+05	2.104262e-14	1.213233e+05	2.042435e-14	1.219002e+05	4.785239e-15	1.228792e+05	2.440476e-14	1.231999e+05	2.202609e-14
1.099208e+05	1.303852e-14	1.112403e+05	1.272602e-14	1.208542e+05	2.092381e-14	1.220810e+05	2.001794e-14	1.226580e+05	4.749047e-15	1.236369e+05	2.374962e-14	1.239577e+05	2.182350e-14
1.107142e+05	1.295069e-14	1.120337e+05	1.264026e-14	1.216477e+05	2.077750e-14	1.228745e+05	1.959702e-14	1.234514e+05	4.715263e-15	1.244304e+05	2.309358e-14	1.247511e+05	2.159766e-14
1.115451e+05	1.286226e-14	1.128646e+05	1.255453e-14	1.224785e+05	2.060676e-14	1.237053e+05	1.916458e-14	1.242823e+05	4.683470e-15	1.252612e+05	2.243976e-14	1.255820e+05	2.135466e-14
0.000000e+00	0.000000e+00	1.137346e+05	1.246922e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.251523e+05	4.652824e-15	1.261312e+05	2.178385e-14	1.264520e+05	2.109259e-14
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.273630e+05	2.082328e-14
0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.283169e+05	2.054266e-14
