State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	State5	Sigma5	State6	Sigma6	
9.310170e+04	2.174907e-14	9.442118e+04	2.168995e-14	1.040351e+05	3.217006e-14	1.052619e+05	3.480552e-14	1.058389e+05	3.351811e-14	1.068178e+05	4.585061e-14	1.071386e+05	4.476815e-14
9.310249e+04	2.158221e-14	9.442197e+04	2.148050e-14	1.040359e+05	3.212483e-14	1.052627e+05	3.471765e-14	1.058397e+05	3.195705e-14	1.068186e+05	4.528127e-14	1.071394e+05	4.430443e-14
9.310332e+04	2.140437e-14	9.442280e+04	2.126056e-14	1.040367e+05	3.208862e-14	1.052636e+05	3.461837e-14	1.058405e+05	2.905999e-14	1.068195e+05	4.455002e-14	1.071402e+05	4.370609e-14
9.310419e+04	2.157401e-14	9.442367e+04	2.143913e-14	1.040376e+05	3.206728e-14	1.052644e+05	3.456366e-14	1.058414e+05	3.142350e-14	1.068203e+05	4.540856e-14	1.071411e+05	4.434896e-14
9.310510e+04	2.142220e-14	9.442458e+04	2.124983e-14	1.040385e+05	3.202533e-14	1.052653e+05	3.447588e-14	1.058423e+05	2.938339e-14	1.068212e+05	4.480901e-14	1.071420e+05	4.385602e-14
9.310606e+04	2.153517e-14	9.442554e+04	2.137124e-14	1.040395e+05	3.200989e-14	1.052663e+05	3.441270e-14	1.058432e+05	3.127401e-14	1.068222e+05	4.539576e-14	1.071429e+05	4.428331e-14
9.310705e+04	2.140462e-14	9.442653e+04	2.120526e-14	1.040405e+05	3.196447e-14	1.052673e+05	3.431981e-14	1.058442e+05	3.023507e-14	1.068232e+05	4.488440e-14	1.071439e+05	4.386257e-14
9.310810e+04	2.126563e-14	9.442758e+04	2.103188e-14	1.040415e+05	3.192696e-14	1.052683e+05	3.422075e-14	1.058453e+05	2.887001e-14	1.068242e+05	4.421841e-14	1.071450e+05	4.331613e-14
9.310920e+04	2.136574e-14	9.442868e+04	2.114450e-14	1.040426e+05	3.190189e-14	1.052694e+05	3.415549e-14	1.058464e+05	3.067698e-14	1.068253e+05	4.484385e-14	1.071461e+05	4.377120e-14
9.311034e+04	2.124201e-14	9.442982e+04	2.098823e-14	1.040438e+05	3.186098e-14	1.052706e+05	3.406439e-14	1.058475e+05	3.000394e-14	1.068265e+05	4.425458e-14	1.071472e+05	4.328346e-14
9.311154e+04	2.131095e-14	9.443102e+04	2.106309e-14	1.040450e+05	3.183497e-14	1.052718e+05	3.398410e-14	1.058487e+05	3.156533e-14	1.068277e+05	4.471844e-14	1.071484e+05	4.360498e-14
9.311280e+04	2.119681e-14	9.443228e+04	2.092022e-14	1.040462e+05	3.178781e-14	1.052730e+05	3.389586e-14	1.058500e+05	3.131930e-14	1.068289e+05	4.417757e-14	1.071497e+05	4.315594e-14
9.311412e+04	2.124199e-14	9.443360e+04	2.096450e-14	1.040475e+05	3.175552e-14	1.052743e+05	3.382430e-14	1.058513e+05	3.274355e-14	1.068302e+05	4.453708e-14	1.071510e+05	4.339100e-14
9.311550e+04	2.113345e-14	9.443498e+04	2.083079e-14	1.040489e+05	3.170370e-14	1.052757e+05	3.373558e-14	1.058527e+05	3.281885e-14	1.068316e+05	4.402524e-14	1.071524e+05	4.296427e-14
9.311694e+04	2.116146e-14	9.443642e+04	2.085214e-14	1.040504e+05	3.166461e-14	1.052772e+05	3.367039e-14	1.058541e+05	3.422280e-14	1.068331e+05	4.429931e-14	1.071538e+05	4.313475e-14
9.311845e+04	2.105701e-14	9.443793e+04	2.072635e-14	1.040519e+05	3.160725e-14	1.052787e+05	3.358289e-14	1.058556e+05	3.451923e-14	1.068346e+05	4.380126e-14	1.071553e+05	4.271769e-14
9.312004e+04	2.107407e-14	9.443952e+04	2.073613e-14	1.040534e+05	3.156354e-14	1.052803e+05	3.349701e-14	1.058572e+05	3.591795e-14	1.068362e+05	4.402300e-14	1.071569e+05	4.284463e-14
9.312169e+04	2.097521e-14	9.444117e+04	2.061842e-14	1.040551e+05	3.150236e-14	1.052819e+05	3.340270e-14	1.058589e+05	3.636714e-14	1.068378e+05	4.352623e-14	1.071586e+05	4.243241e-14
9.312343e+04	2.098400e-14	9.444291e+04	2.062502e-14	1.040568e+05	3.145312e-14	1.052837e+05	3.331722e-14	1.058606e+05	3.772697e-14	1.068396e+05	4.371397e-14	1.071603e+05	4.253599e-14
