R Re<0|V|2> Re<0|V|3> Re<0|V|4> Re<0|V|5> Re<0|V|6> Re<1|V|2> Re<1|V|3> Re<1|V|4> Re<1|V|5> Re<1|V|6> Re<2|V|3> Re<2|V|4> Re<2|V|5> Re<2|V|6> Re<3|V|4> Re<3|V|5> Re<3|V|6> Re<4|V|5> Re<4|V|6> Re<5|V|6>
2.750000 0.015871 -0.007197 -0.007031 0.010748 0.001074 0.009639 -0.011795 -0.003657 -0.001601 -0.007638 0.033608 -0.027026 0.028290 0.001681 -0.079149 -0.072880 -0.160147 0.125229 0.132738 -0.131159
2.800000 0.017951 0.006777 0.001322 0.004166 0.002096 0.010363 -0.003348 0.001745 -0.009240 -0.010612 0.033380 -0.026842 0.028098 0.001669 -0.078612 -0.072386 -0.159061 0.124380 0.131838 -0.130270
2.850000 0.019707 0.018730 0.008397 -0.001383 0.002990 0.010961 0.003766 0.006395 -0.015822 -0.013170 0.033679 -0.027083 0.028349 0.001684 -0.079316 -0.073034 -0.160485 0.125493 0.133018 -0.131436
2.900000 0.021180 0.029119 0.014480 -0.006166 0.003752 0.011456 0.009872 0.010482 -0.021552 -0.015348 0.034442 -0.027696 0.028991 0.001722 -0.081113 -0.074688 -0.164120 0.128336 0.136031 -0.134413
3.000000 0.023409 0.046439 0.024441 -0.014143 0.004871 0.012204 0.019921 0.017473 -0.031026 -0.018682 0.037091 -0.029826 0.031221 0.001855 -0.087352 -0.080433 -0.176744 0.138207 0.146494 -0.144752
3.100000 0.024844 0.060462 0.032287 -0.020740 0.005466 0.012713 0.028008 0.023410 -0.038478 -0.020813 0.040788 -0.032799 0.034333 0.002040 -0.096058 -0.088450 -0.194361 0.151983 0.161096 -0.159180
3.200000 0.025628 0.072146 0.038639 -0.026481 0.005575 0.013043 0.034799 0.028654 -0.044383 -0.021907 0.045001 -0.036187 0.037879 0.002250 -0.105979 -0.097585 -0.214434 0.167679 0.177734 -0.175620
3.300000 0.025867 0.082033 0.043872 -0.031649 0.005259 0.013229 0.040680 0.033374 -0.049031 -0.022119 0.049191 -0.039557 0.041407 0.002460 -0.115849 -0.106672 -0.234403 0.183294 0.194285 -0.191974
3.400000 0.025643 0.090420 0.048227 -0.036388 0.004594 0.013285 0.045880 0.037628 -0.052611 -0.021602 0.052817 -0.042472 0.044459 0.002641 -0.124388 -0.114536 -0.251682 0.196806 0.208607 -0.206126
3.500000 0.025029 0.097468 0.051868 -0.040761 0.003672 0.013217 0.050533 0.041406 -0.055250 -0.020515 0.055376 -0.044530 0.046613 0.002769 -0.130415 -0.120085 -0.263875 0.206341 0.218713 -0.216112
3.600000 0.024090 0.103256 0.054910 -0.044776 0.002589 0.013022 0.054715 0.044659 -0.057045 -0.019019 0.056491 -0.045427 0.047551 0.002825 -0.133040 -0.122503 -0.269189 0.210495 0.223117 -0.220463
3.700000 0.022886 0.107820 0.057429 -0.048411 0.001442 0.012697 0.058454 0.047329 -0.058077 -0.017267 0.056003 -0.045034 0.047140 0.002800 -0.131890 -0.121443 -0.266861 0.208675 0.221188 -0.218557
3.800000 0.021473 0.111180 0.059470 -0.051624 0.000315 0.012240 0.061748 0.049369 -0.058421 -0.015395 0.054005 -0.043427 0.045459 0.002701 -0.127185 -0.117111 -0.257341 0.201231 0.213298 -0.210760
3.900000 0.019900 0.113359 0.061053 -0.054365 -0.000727 0.011656 0.064569 0.050751 -0.058144 -0.013508 0.050803 -0.040853 0.042763 0.002540 -0.119644 -0.110167 -0.242083 0.189300 0.200651 -0.198264
4.000000 0.018209 0.114386 0.062179 -0.056591 -0.001644 0.010953 0.066878 0.051476 -0.057312 -0.011678 0.046809 -0.037641 0.039401 0.002341 -0.110237 -0.101505 -0.223049 0.174416 0.184875 -0.182675
4.100000 0.016436 0.114306 0.062842 -0.058267 -0.002414 0.010146 0.068638 0.051570 -0.055985 -0.009950 0.042432 -0.034121 0.035717 0.002122 -0.099929 -0.092014 -0.202192 0.158107 0.167587 -0.165594
