R	<0|d/dR|1>	<0|d/dR|2>	<0|d/dR|3>	<4|d/dR|5>	<4|d/dR|6>	<4|d/dR|7>	<8|d/dR|9>	<8|d/dR|10>	<8|d/dR|11>
1.97	0.23670376	-0.0166365577	1.91511731	0.23670376	-0.0166365577	1.91511731	0.23670376	-0.0166365577	1.91511731
1.98	0.22881486	-0.020143244	2.09391926	0.22881486	-0.020143244	2.09391926	0.22881486	-0.020143244	2.09391926
1.99	0.22102195	-0.0238445576	2.2890786	0.22102195	-0.0238445576	2.2890786	0.22102195	-0.0238445576	2.2890786
2	0.21330045	-0.0277379263	2.50019787	0.21330045	-0.0277379263	2.50019787	0.21330045	-0.0277379263	2.50019787
2.01	0.20562377	-0.0318145736	2.72578765	0.20562377	-0.0318145736	2.72578765	0.20562377	-0.0318145736	2.72578765
2.02	0.19796407	-0.0360572339	2.96284766	0.19796407	-0.0360572339	2.96284766	0.19796407	-0.0360572339	2.96284766
2.03	0.19029351	-0.0404376575	3.20643378	0.19029351	-0.0404376575	3.20643378	0.19029351	-0.0404376575	3.20643378
2.04	0.18258645	-0.0449142192	3.44931033	0.18258645	-0.0449142192	3.44931033	0.18258645	-0.0449142192	3.44931033
2.05	0.17482232	-0.0494301963	3.68184322	0.17482232	-0.0494301963	3.68184322	0.17482232	-0.0494301963	3.68184322
2.06	0.16698934	-0.0539134208	3.8923245	0.16698934	-0.0539134208	3.8923245	0.16698934	-0.0539134208	3.8923245
2.07	0.15908841	-0.0582780878	4.06788862	0.15908841	-0.0582780878	4.06788862	0.15908841	-0.0582780878	4.06788862
2.08	0.15113638	-0.062429162	4.19604332	0.15113638	-0.062429162	4.19604332	0.15113638	-0.062429162	4.19604332
2.09	0.14316754	-0.0662693376	4.2665988	0.14316754	-0.0662693376	4.2665988	0.14316754	-0.0662693376	4.2665988
2.1	0.13523245	-0.0697076391	4.27352718	0.13523245	-0.0697076391	4.27352718	0.13523245	-0.0697076391	4.27352718
2.15	0.09828419	-0.079031139	3.49808253	0.09828419	-0.079031139	3.49808253	0.09828419	-0.079031139	3.49808253
2.2	0.06958845	-0.07305019795	2.490321475	0.06958845	-0.07305019795	2.490321475	0.06958845	-0.07305019795	2.490321475
2.25	0.04892773	-0.0670703959	1.48256042	0.04892773	-0.0670703959	1.48256042	0.04892773	-0.0670703959	1.48256042
2.3	0.03377059	-0.0556716772	0.969317176	0.03377059	-0.0556716772	0.969317176	0.03377059	-0.0556716772	0.969317176
2.35	0.02218709	-0.0439848242	0.65624965	0.02218709	-0.0439848242	0.65624965	0.02218709	-0.0439848242	0.65624965
2.4	0.01302471	-0.0327744334	0.457124811	0.01302471	-0.0327744334	0.457124811	0.01302471	-0.0327744334	0.457124811
2.45	0.0056018	-0.0223229597	0.324223566	0.0056018	-0.0223229597	0.324223566	0.0056018	-0.0223229597	0.324223566
2.5	-5.07E-4	-0.012713489	0.231436527	-5.07E-4	-0.012713489	0.231436527	-5.07E-4	-0.012713489	0.231436527
2.55	-0.00558553	-0.00394625001	0.164013062	-0.00558553	-0.00394625001	0.164013062	-0.00558553	-0.00394625001	0.164013062
2.6	-0.00983513	0.00401170708	0.113268085	-0.00983513	0.00401170708	0.113268085	-0.00983513	0.00401170708	0.113268085
2.65	-0.01340572	0.011204667	0.0738759747	-0.01340572	0.011204667	0.0738759747	-0.01340572	0.011204667	0.0738759747
2.7	-0.01641286	0.0176785528	0.0424484279	-0.01641286	0.0176785528	0.0424484279	-0.01641286	0.0176785528	0.0424484279
2.75	-0.01894764	0.0234768442	0.0167583904	-0.01894764	0.0234768442	0.0167583904	-0.01894764	0.0234768442	0.0167583904
2.8	-0.02108289	0.0286391002	-0.0046999828	-0.02108289	0.0286391002	-0.0046999828	-0.02108289	0.0286391002	-0.0046999828
2.85	-0.02287726	0.0332008149	-0.0229700968	-0.02287726	0.0332008149	-0.0229700968	-0.02287726	0.0332008149	-0.0229700968
2.9	-0.02437822	0.0371938407	-0.0387902876	-0.02437822	0.0371938407	-0.0387902876	-0.02437822	0.0371938407	-0.0387902876
3	-0.02664661	0.0435872883	-0.0650651655	-0.02664661	0.0435872883	-0.0650651655	-0.02664661	0.0435872883	-0.0650651655
3.1	-0.0281176	0.0480285377	-0.0863007874	-0.0281176	0.0480285377	-0.0863007874	-0.0281176	0.0480285377	-0.0863007874
3.2	-0.02894514	0.0507117723	-0.104036212	-0.02894514	0.0507117723	-0.104036212	-0.02894514	0.0507117723	-0.104036212
3.3	-0.02923596	0.0518302513	-0.119145338	-0.02923596	0.0518302513	-0.119145338	-0.02923596	0.0518302513	-0.119145338
3.4	-0.02906829	0.0515833186	-0.13212492	-0.02906829	0.0515833186	-0.13212492	-0.02906829	0.0515833186	-0.13212492
3.5	-0.02850403	0.0501773865	-0.143249615	-0.02850403	0.0501773865	-0.143249615	-0.02850403	0.0501773865	-0.143249615
3.6	-0.02759606	0.0478223957	-0.152660789	-0.02759606	0.0478223957	-0.152660789	-0.02759606	0.0478223957	-0.152660789
3.7	-0.02639246	0.0447253639	-0.160420767	-0.02639246	0.0447253639	-0.160420767	-0.02639246	0.0447253639	-0.160420767
