R	<0|d/dR|1>	<0|d/dR|2>	<0|d/dR|3>	<4|d/dR|5>	<4|d/dR|6>	<4|d/dR|7>	<8|d/dR|9>	<8|d/dR|10>	<8|d/dR|11>
3.8	-0.02493854	0.0410829127	-0.166548737	-0.02493854	0.0410829127	-0.166548737	-0.02493854	0.0410829127	-0.166548737
3.9	-0.02327747	0.0370743675	-0.17104637	-0.02327747	0.0370743675	-0.17104637	-0.02327747	0.0370743675	-0.17104637
4	-0.0214502	0.0328566605	-0.17391713	-0.0214502	0.0328566605	-0.17391713	-0.0214502	0.0328566605	-0.17391713
4.1	-0.01949515	0.0285616702	-0.175180582	-0.01949515	0.0285616702	-0.175180582	-0.01949515	0.0285616702	-0.175180582
4.2	-0.01744809	0.0242959249	-0.174882133	-0.01744809	0.0242959249	-0.174882133	-0.01744809	0.0242959249	-0.174882133
4.3	-0.01534207	0.0201421753	-0.173098469	-0.01534207	0.0201421753	-0.173098469	-0.01534207	0.0201421753	-0.173098469
4.4	-0.01320757	0.0161620218	-0.169938664	-0.01320757	0.0161620218	-0.169938664	-0.01320757	0.0161620218	-0.169938664
4.5	-0.01107253	0.0123989063	-0.165541571	-0.01107253	0.0123989063	-0.165541571	-0.01107253	0.0123989063	-0.165541571
4.6	-0.00896221	0.00888112444	-0.16007005	-0.00896221	0.00888112444	-0.16007005	-0.00896221	0.00888112444	-0.16007005
4.7	-0.00689898	0.00562451464	-0.153702977	-0.00689898	0.00562451464	-0.153702977	-0.00689898	0.00562451464	-0.153702977
4.8	-0.00490199	0.00263491968	-0.146626395	-0.00490199	0.00263491968	-0.146626395	-0.00490199	0.00263491968	-0.146626395
4.9	-0.00298704	-8.96120599E-5	-0.139024748	-0.00298704	-8.96120599E-5	-0.139024748	-0.00298704	-8.96120599E-5	-0.139024748
5	-0.00116649	-0.00255689893	-0.131073351	-0.00116649	-0.00255689893	-0.131073351	-0.00116649	-0.00255689893	-0.131073351
5.1	5.5064E-4	-0.00477894935	-0.122932632	5.5064E-4	-0.00477894935	-0.122932632	5.5064E-4	-0.00477894935	-0.122932632
5.2	0.00215846	-0.00677056418	-0.114744279	0.00215846	-0.00677056418	-0.114744279	0.00215846	-0.00677056418	-0.114744279
5.3	0.00365388	-0.00854820871	-0.106629319	0.00365388	-0.00854820871	-0.106629319	0.00365388	-0.00854820871	-0.106629319
5.4	0.00503622	-0.0101291194	-0.0986876799	0.00503622	-0.0101291194	-0.0986876799	0.00503622	-0.0101291194	-0.0986876799
5.5	0.00630687	-0.0115306379	-0.0909989951	0.00630687	-0.0115306379	-0.0909989951	0.00630687	-0.0115306379	-0.0909989951
5.6	0.00746887	-0.0127697172	-0.0836241667	0.00746887	-0.0127697172	-0.0836241667	0.00746887	-0.0127697172	-0.0836241667
5.7	0.00852655	-0.0138625905	-0.0766074041	0.00852655	-0.0138625905	-0.0766074041	0.00852655	-0.0138625905	-0.0766074041
5.8	0.00948518	-0.014824533	-0.069978451	0.00948518	-0.014824533	-0.069978451	0.00948518	-0.014824533	-0.069978451
5.9	0.01035069	-0.0156697239	-0.0637548077	0.01035069	-0.0156697239	-0.0637548077	0.01035069	-0.0156697239	-0.0637548077
6	0.01112939	-0.0164111905	-0.0579438194	0.01112939	-0.0164111905	-0.0579438194	0.01112939	-0.0164111905	-0.0579438194
6.2	0.01245231	-0.0176291929	-0.0475500586	0.01245231	-0.0176291929	-0.0475500586	0.01245231	-0.0176291929	-0.0475500586
6.4	0.01350493	-0.0185598331	-0.0387216342	0.01350493	-0.0185598331	-0.0387216342	0.01350493	-0.0185598331	-0.0387216342
6.6	0.01433463	-0.0192679823	-0.0313225078	0.01433463	-0.0192679823	-0.0313225078	0.01433463	-0.0192679823	-0.0313225078
6.8	0.01498322	-0.0198046365	-0.0251884318	0.01498322	-0.0198046365	-0.0251884318	0.01498322	-0.0198046365	-0.0251884318
7	0.01548645	-0.0202095805	-0.0201486564	0.01548645	-0.0202095805	-0.0201486564	0.01548645	-0.0202095805	-0.0201486564
7.2	0.01587422	-0.0205137377	-0.0160393848	0.01587422	-0.0205137377	-0.0160393848	0.01587422	-0.0205137377	-0.0160393848
7.4	0.01617112	-0.0207411075	-0.0127110838	0.01617112	-0.0207411075	-0.0127110838	0.01617112	-0.0207411075	-0.0127110838
7.6	0.01639713	-0.0209102869	-0.0100315601	0.01639713	-0.0209102869	-0.0100315601	0.01639713	-0.0209102869	-0.0100315601
7.8	0.01656834	-0.021035629	-0.00788646736	0.01656834	-0.021035629	-0.00788646736	0.01656834	-0.021035629	-0.00788646736
8	0.01669749	-0.0211281502	-0.00617831108	0.01669749	-0.0211281502	-0.00617831108	0.01669749	-0.0211281502	-0.00617831108
8.2	0.0167946	-0.0211962445	-0.00482485294	0.0167946	-0.0211962445	-0.00482485294	0.0167946	-0.0211962445	-0.00482485294
8.4	0.01686745	-0.0212462485	-0.00375733639	0.01686745	-0.0212462485	-0.00375733639	0.01686745	-0.0212462485	-0.00375733639
8.6	0.01692201	-0.0212829062	-0.00291878585	0.01692201	-0.0212829062	-0.00291878585	0.01692201	-0.0212829062	-0.00291878585
8.8	0.01696282	-0.0213097373	-0.00226238399	0.01696282	-0.0213097373	-0.00226238399	0.01696282	-0.0213097373	-0.00226238399
9	0.01699332	-0.0213293421	-0.00175003006	0.01699332	-0.0213293421	-0.00175003006	0.01699332	-0.0213293421	-0.00175003006
9.2	0.01701606	-0.0213436259	-0.00135102357	0.01701606	-0.0213436259	-0.00135102357	0.01701606	-0.0213436259	-0.00135102357
9.4	0.017033	-0.0213539918	-0.00104085764	0.017033	-0.0213539918	-0.00104085764	0.017033	-0.0213539918	-0.00104085764
9.6	0.01704556	-0.0213614706	-8.00122764E-4	0.01704556	-0.0213614706	-8.00122764E-4	0.01704556	-0.0213614706	-8.00122764E-4
9.8	0.01705485	-0.0213668229	-6.13578389E-4	0.01705485	-0.0213668229	-6.13578389E-4	0.01705485	-0.0213668229	-6.13578389E-4
10	0.01706168	-0.0213706178	-4.69276617E-4	0.01706168	-0.0213706178	-4.69276617E-4	0.01706168	-0.0213706178	-4.69276617E-4
10.5	0.01707	-0.02138	-2.48171E-4	0.01707	-0.02138	-2.48171E-4	0.01707	-0.02138	-2.48171E-4
11	0.01707609	-0.0213777025	-1.17955311E-4	0.01707609	-0.0213777025	-1.17955311E-4	0.01707609	-0.0213777025	-1.17955311E-4
