R	<36|d/dR|37>	<36|d/dR|38>	<36|d/dR|40>	<37|d/dR|38>	<37|d/dR|40>	<38|d/dR|40>
7.2	-0.03735501	5.0711402E-4	3.28367284E-4	0.0205747753	0.01866492	-0.0135598388
7.4	-0.0373429	4.34216474E-4	2.79923144E-4	0.0209815783	0.01883259	-0.0110623725
7.6	-0.0373329	3.68631176E-4	2.36769038E-4	0.0212964168	0.01895889	-0.00899186719
7.8	-0.03732475	3.10592429E-4	1.98880843E-4	0.021538995	0.01905351	-0.00728368484
8	-0.0373182	2.59916633E-4	1.6600796E-4	0.0217251998	0.01912407	-0.00588089716
8.2	-0.03731297	2.16160913E-4	1.37768223E-4	0.0218676968	0.01917645	-0.00473380923
8.4	-0.03730884	1.78738173E-4	1.13714903E-4	0.0219764713	0.01921518	-0.00379946312
8.6	-0.03730561	1.46998867E-4	9.33837204E-5	0.0220593243	0.0192437	-0.0030410913
8.8	-0.03730309	1.20283317E-4	7.63178287E-5	0.0221223024	0.01926461	-0.00242753273
9	-0.03730116	9.79550133E-5	6.20866006E-5	0.0221700707	0.01927984	-0.00193261593
9.2	-0.03729968	7.94173682E-5	5.02934924E-5	0.0222062089	0.01929087	-0.00153453681
9.4	-0.03729856	6.41248415E-5	4.05788407E-5	0.0222334668	0.01929878	-0.00121525879
9.6	-0.03729772	5.1584819E-5	3.2623147E-5	0.0222539542	0.01930439	-9.59916226E-4
9.8	-0.0372971	4.13603257E-5	2.61419706E-5	0.0222692911	0.0193083	-7.56326817E-4
10	-0.03729664	3.30662509E-5	2.08888819E-5	0.0222807264	0.019311	-5.94498314E-4
10.5	-0.03729615	1.93094E-5	1.21842E-5	0.0223	0.01931	-3.34803E-4
11	-0.03729566	1.04624209E-5	6.59034963E-6	0.0223059808	0.01931544	-1.73596574E-4
