R	E0	E1	E2	E3	E4	E5	E6	E7
8.4	104018.11	105238.41	105395.48	105817.23	105948.21	106792.3	106932.75	107124.07
8.6	104017.99	105238.1	105395.2	105816.33	105947.95	106791.95	106932	107123.7
8.8	104017.91	105237.86	105394.98	105815.62	105947.76	106791.73	106931.43	107123.4
9	104017.89	105237.68	105394.81	105815.1	105947.63	106791.56	106930.99	107123.19
9.2	104017.88	105237.56	105394.72	105814.71	105947.57	106791.44	106930.66	107123.07
9.4	104017.91	105237.48	105394.64	105814.4	105947.5	106791.36	106930.41	107122.96
9.6	104017.95	105237.42	105394.58	105814.18	105947.47	106791.3	106930.21	107122.87
9.8	104017.98	105237.39	105394.55	105814.01	105947.44	106791.26	106930.06	107122.81
10	104018.01	105237.36	105394.55	105813.88	105947.41	106791.23	106929.95	107122.75
10.5	104018.13	105237.35	105394.52	105813.69	105947.4	106791.22	106929.79	107122.7
11	104018.24	105237.36	105394.53	105813.56	105947.41	106791.18	106929.73	107122.65
