R	Re<0|V|1>	Re<0|V|2>	Re<0|V|3>	Re<0|V|4>	Re<0|V|5>	Re<0|V|6>	Re<0|V|7>	Re<1|V|2>	Re<1|V|3>	Re<1|V|4>	Re<1|V|5>	Re<1|V|6>	Re<1|V|7>	Re<2|V|3>	Re<2|V|4>	Re<2|V|5>	Re<2|V|6>	Re<2|V|7>	Re<3|V|4>	Re<3|V|5>	Re<3|V|6>	Re<3|V|7>	Re<4|V|5>	Re<4|V|6>	Re<4|V|7>	Re<5|V|6>	Re<5|V|7>	Re<6|V|7>
3.3	0.037946	0.028119	-0.018378	0.045813	0.019716	-0.04818	-0.003202	-0.029534	0.116571	0.175122	0.093983	0.160291	-0.179414	-0.259274	-0.04842	-0.23203	-0.04959	-0.116362	0.086833	-0.099372	-0.23133	0.086796	-0.272063	0.09778	-0.190255	-0.088695	-0.094407	0.22003
3.4	0.040518	0.033574	-0.019644	0.052252	0.021105	-0.054685	-0.003525	-0.031878	0.126298	0.187847	0.102093	0.172189	-0.19167	-0.295476	-0.051494	-0.266833	-0.052276	-0.139444	0.108711	-0.107487	-0.263282	0.09238	-0.308124	0.106299	-0.217393	-0.110708	-0.101538	0.248942
3.5	0.042273	0.03833	-0.020514	0.057615	0.022067	-0.060067	-0.003775	-0.033578	0.133465	0.196777	0.108132	0.180606	-0.200058	-0.325599	-0.05353	-0.296133	-0.053911	-0.159618	0.128295	-0.113426	-0.28982	0.096102	-0.337859	0.112661	-0.240056	-0.130388	-0.106617	0.272744
3.6	0.042983	0.041223	-0.020872	0.060694	0.022471	-0.063129	-0.003905	-0.034359	0.136863	0.200624	0.111051	0.184294	-0.203478	-0.342871	-0.054298	-0.313193	-0.054388	-0.171927	0.140584	-0.116206	-0.304998	0.097527	-0.354698	0.115751	-0.253112	-0.142717	-0.108871	0.286194
3.7	0.042576	0.041401	-0.020677	0.060653	0.022266	-0.063051	-0.003885	-0.034088	0.135859	0.198859	0.110277	0.182713	-0.201565	-0.342609	-0.05375	-0.313284	-0.053764	-0.172734	0.141816	-0.115326	-0.304717	0.096555	-0.354162	0.114957	-0.252997	-0.14393	-0.107957	0.285727
3.8	0.041128	0.038859	-0.019967	0.057526	0.021492	-0.059872	-0.003719	-0.032819	0.130656	0.191824	0.105971	0.17617	-0.19468	-0.325008	-0.051989	-0.296537	-0.052152	-0.162006	0.131885	-0.110963	-0.289157	0.093367	-0.33649	0.110444	-0.239844	-0.133925	-0.104052	0.271539
3.9	0.038831	0.034425	-0.018839	0.052188	0.020259	-0.054461	-0.003445	-0.030768	0.122195	0.180566	0.098944	0.165673	-0.183748	-0.294977	-0.049218	-0.26781	-0.04967	-0.143267	0.114319	-0.103886	-0.26263	0.088344	-0.30646	0.10307	-0.217366	-0.116239	-0.097774	0.247447
4	0.035944	0.029219	-0.017423	0.045823	0.018714	-0.047996	-0.00311	-0.028225	0.11175	0.166506	0.090291	0.152587	-0.170018	-0.259156	-0.045714	-0.233676	-0.046482	-0.121284	0.093894	-0.095134	-0.230971	0.081999	-0.270537	0.093998	-0.190586	-0.095664	-0.089959	0.218612
4.1	0.03274	0.02413	-0.015856	0.039405	0.017009	-0.04145	-0.002759	-0.025469	0.10051	0.151064	0.081025	0.138262	-0.154796	-0.223013	-0.041784	-0.19949	-0.042812	-0.099835	0.074328	-0.085687	-0.19899	0.074899	-0.234084	0.084295	-0.163625	-0.075934	-0.081427	0.189324
4.2	0.029457	0.019638	-0.014253	0.033507	0.015273	-0.035401	-0.002421	-0.022715	0.089364	0.135415	0.071883	0.123792	-0.139215	-0.189773	-0.037715	-0.168348	-0.038913	-0.080952	0.057538	-0.076288	-0.169534	0.067562	-0.200321	0.074737	-0.138901	-0.058977	-0.072833	0.162165
4.3	0.02627	0.015898	-0.012702	0.028366	0.013597	-0.030097	-0.002111	-0.020102	0.078867	0.120378	0.063316	0.109931	-0.124113	-0.160766	-0.03373	-0.141455	-0.035011	-0.065278	0.044035	-0.067407	-0.143789	0.06039	-0.170632	0.065792	-0.117394	-0.045314	-0.064621	0.138252
4.4	0.023293	0.012881	-0.011255	0.02401	0.012038	-0.025577	-0.001836	-0.017706	0.069302	0.10644	0.055543	0.097117	-0.110012	-0.136169	-0.029978	-0.118893	-0.031274	-0.05268	0.033571	-0.059294	-0.121922	0.053647	-0.145261	0.057688	-0.099213	-0.034702	-0.057045	0.117791
4.5	0.02058	0.010485	-0.009939	0.020372	0.010623	-0.02178	-0.001596	-0.015557	0.060771	0.093829	0.048636	0.085546	-0.097177	-0.115608	-0.026539	-0.100231	-0.027802	-0.042708	0.025623	-0.052041	-0.103615	0.047475	-0.123895	0.050492	-0.084063	-0.02662	-0.050217	0.100539
4.6	0.018151	0.008591	-0.008762	0.017351	0.00936	-0.01861	-0.001388	-0.013658	0.05326	0.082596	0.042573	0.075258	-0.08569	-0.098517	-0.023445	-0.084872	-0.024646	-0.034856	0.019641	-0.045643	-0.088375	0.041927	-0.106012	0.044183	-0.071507	-0.020518	-0.044155	0.086083
4.7	0.015999	0.007092	-0.007721	0.014843	0.008243	-0.015965	-0.001209	-0.011992	0.0467	0.07269	0.037291	0.066198	-0.07552	-0.084317	-0.020694	-0.072229	-0.021816	-0.028667	0.015147	-0.040046	-0.075696	0.036997	-0.09106	0.03869	-0.061102	-0.01592	-0.038822	0.073984
4.8	0.014107	0.0059	-0.006805	0.012756	0.007263	-0.013755	-0.001056	-0.01054	0.040994	0.064007	0.032707	0.058265	-0.066577	-0.072491	-0.018267	-0.061788	-0.019303	-0.023765	0.011765	-0.035172	-0.065124	0.032651	-0.078537	0.033925	-0.052458	-0.012445	-0.034157	0.06384
4.9	0.012448	0.004946	-0.006004	0.011012	0.006405	-0.0119	-0.000924	-0.009275	0.036041	0.056418	0.028734	0.051338	-0.058743	-0.062601	-0.016134	-0.053124	-0.017083	-0.019856	0.009208	-0.030935	-0.056273	0.028834	-0.06801	0.029798	-0.045245	-0.009808	-0.030087	0.055307
5	0.010997	0.004176	-0.005303	0.009546	0.005656	-0.010336	-0.00081	-0.008176	0.03174	0.049795	0.02529	0.045298	-0.05189	-0.054288	-0.014265	-0.045891	-0.015128	-0.016713	0.007263	-0.027254	-0.048827	0.025489	-0.059121	0.026221	-0.039195	-0.007792	-0.02654	0.048097
5.1	0.009728	0.003549	-0.00469	0.008309	0.005001	-0.009011	-0.000713	-0.007218	0.028003	0.044014	0.022301	0.040028	-0.045898	-0.047264	-0.012627	-0.039818	-0.01341	-0.014165	0.005773	-0.024052	-0.042529	0.02256	-0.051581	0.023118	-0.034092	-0.006241	-0.023447	0.041976
5.2	0.008618	0.003035	-0.004154	0.007258	0.004428	-0.007883	-0.000628	-0.006384	0.02475	0.038963	0.019701	0.035427	-0.040655	-0.041298	-0.011192	-0.034688	-0.0119	-0.012083	0.004624	-0.021264	-0.037175	0.019994	-0.045153	0.020421	-0.029763	-0.005038	-0.020748	0.036756
5.3	0.007645	0.00261	-0.003684	0.006361	0.003927	-0.006918	-0.000555	-0.005655	0.021913	0.034544	0.017436	0.031403	-0.036062	-0.036203	-0.009933	-0.030329	-0.010572	-0.010366	0.003732	-0.018831	-0.032601	0.017743	-0.039646	0.018071	-0.026072	-0.004099	-0.018388	0.032281
5.4	0.006791	0.002256	-0.003272	0.005592	0.003488	-0.006088	-0.000491	-0.005017	0.019433	0.03067	0.015458	0.027877	-0.032032	-0.03183	-0.008827	-0.026605	-0.009403	-0.00894	0.003033	-0.016703	-0.028672	0.015766	-0.034906	0.016019	-0.022909	-0.003358	-0.016321	0.028428
5.5	0.00604	0.001959	-0.00291	0.004929	0.003101	-0.005371	-0.000435	-0.004458	0.01726	0.027267	0.013725	0.02478	-0.028489	-0.02806	-0.007854	-0.023406	-0.008372	-0.007747	0.002482	-0.014838	-0.025282	0.014027	-0.030809	0.014223	-0.020184	-0.002771	-0.014507	0.025096
5.6	0.005378	0.001708	-0.002591	0.004354	0.002761	-0.004749	-0.000386	-0.003966	0.01535	0.024272	0.012204	0.022056	-0.025368	-0.024794	-0.006996	-0.020645	-0.007462	-0.006741	0.002044	-0.013198	-0.022345	0.012494	-0.027252	0.012645	-0.017826	-0.002302	-0.01291	0.022202
