State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	State5	Sigma5	State6	Sigma6	State7	Sigma7	
1.306352e+01	2.215274e-14	9.363430e+04	2.171981e-14	9.511842e+04	2.260648e-14	1.053795e+05	3.604823e-14	1.059513e+05	5.928509e-14	1.067867e+05	4.538249e-14	1.069299e+05	4.575457e-14	1.084608e+05	4.696353e-14
1.372348e+01	2.297273e-14	9.363496e+04	2.204132e-14	9.511908e+04	2.287453e-14	1.053802e+05	3.599744e-14	1.059519e+05	6.054091e-14	1.067873e+05	4.645525e-14	1.069306e+05	4.698546e-14	1.084615e+05	4.880755e-14
1.441455e+01	2.317131e-14	9.363565e+04	2.181143e-14	9.511977e+04	2.273042e-14	1.053809e+05	3.588329e-14	1.059526e+05	5.957760e-14	1.067880e+05	4.585934e-14	1.069313e+05	4.627565e-14	1.084622e+05	4.788355e-14
1.513819e+01	2.302565e-14	9.363638e+04	2.157079e-14	9.512050e+04	2.257611e-14	1.053816e+05	3.580222e-14	1.059533e+05	5.835312e-14	1.067887e+05	4.509620e-14	1.069320e+05	4.540654e-14	1.084629e+05	4.672642e-14
1.589593e+01	2.293545e-14	9.363714e+04	2.182288e-14	9.512126e+04	2.278581e-14	1.053823e+05	3.578570e-14	1.059541e+05	5.896772e-14	1.067895e+05	4.603810e-14	1.069327e+05	4.644631e-14	1.084637e+05	4.838194e-14
1.668938e+01	2.310790e-14	9.363793e+04	2.161349e-14	9.512205e+04	2.265175e-14	1.053831e+05	3.569571e-14	1.059549e+05	5.789189e-14	1.067903e+05	4.543680e-14	1.069335e+05	4.574287e-14	1.084645e+05	4.744215e-14
1.752023e+01	2.353539e-14	9.363876e+04	2.139671e-14	9.512288e+04	2.250948e-14	1.053840e+05	3.558664e-14	1.059557e+05	5.661124e-14	1.067911e+05	4.466829e-14	1.069344e+05	4.488001e-14	1.084653e+05	4.626208e-14
1.839023e+01	2.405889e-14	9.363963e+04	2.160466e-14	9.512375e+04	2.268005e-14	1.053848e+05	3.558364e-14	1.059566e+05	5.684931e-14	1.067920e+05	4.554978e-14	1.069352e+05	4.583448e-14	1.084662e+05	4.782170e-14
1.930124e+01	2.445842e-14	9.364054e+04	2.141374e-14	9.512466e+04	2.255233e-14	1.053858e+05	3.547279e-14	1.059575e+05	5.567954e-14	1.067929e+05	4.490846e-14	1.069362e+05	4.510744e-14	1.084671e+05	4.682905e-14
2.025518e+01	2.463267e-14	9.364150e+04	2.156204e-14	9.512562e+04	2.266880e-14	1.053867e+05	3.539412e-14	1.059585e+05	5.548308e-14	1.067938e+05	4.551298e-14	1.069371e+05	4.577635e-14	1.084680e+05	4.798715e-14
2.125408e+01	2.465028e-14	9.364249e+04	2.139627e-14	9.512661e+04	2.255644e-14	1.053877e+05	3.529915e-14	1.059595e+05	5.436117e-14	1.067948e+05	4.496181e-14	1.069381e+05	4.514819e-14	1.084690e+05	4.713616e-14
2.230005e+01	2.466032e-14	9.364354e+04	2.122345e-14	9.512766e+04	2.243768e-14	1.053888e+05	3.519405e-14	1.059605e+05	5.309924e-14	1.067959e+05	4.426054e-14	1.069392e+05	4.437812e-14	1.084701e+05	4.605398e-14
2.339532e+01	2.475058e-14	9.364464e+04	2.134614e-14	9.512876e+04	2.254065e-14	1.053898e+05	3.516328e-14	1.059616e+05	5.277735e-14	1.067970e+05	4.489332e-14	1.069402e+05	4.506325e-14	1.084712e+05	4.726267e-14
2.454221e+01	2.488043e-14	9.364578e+04	2.119143e-14	9.512990e+04	2.243536e-14	1.053910e+05	3.505956e-14	1.059628e+05	5.156874e-14	1.067981e+05	4.426905e-14	1.069414e+05	4.438276e-14	1.084723e+05	4.629851e-14
2.574315e+01	2.496523e-14	9.364698e+04	2.127472e-14	9.513110e+04	2.251571e-14	1.053922e+05	3.500314e-14	1.059640e+05	5.105473e-14	1.067993e+05	4.474000e-14	1.069426e+05	4.490409e-14	1.084735e+05	4.726576e-14
2.700069e+01	2.495435e-14	9.364824e+04	2.113195e-14	9.513236e+04	2.242037e-14	1.053935e+05	3.490939e-14	1.059652e+05	4.986910e-14	1.068006e+05	4.416887e-14	1.069439e+05	4.428704e-14	1.084748e+05	4.638393e-14
2.831749e+01	2.488262e-14	9.364956e+04	2.118216e-14	9.513368e+04	2.248170e-14	1.053948e+05	3.484008e-14	1.059665e+05	4.922055e-14	1.068019e+05	4.452921e-14	1.069452e+05	4.468973e-14	1.084761e+05	4.717673e-14
2.969636e+01	2.479810e-14	9.365094e+04	2.104665e-14	9.513506e+04	2.239300e-14	1.053961e+05	3.474527e-14	1.059679e+05	4.805415e-14	1.068033e+05	4.399232e-14	1.069465e+05	4.411723e-14	1.084775e+05	4.634678e-14
3.114020e+01	2.471376e-14	9.365238e+04	2.107623e-14	9.513650e+04	2.243506e-14	1.053976e+05	3.468698e-14	1.059694e+05	4.733770e-14	1.068047e+05	4.427636e-14	1.069480e+05	4.443464e-14	1.084789e+05	4.701337e-14
3.265210e+01	2.460901e-14	9.365389e+04	2.094675e-14	9.513801e+04	2.234914e-14	1.053991e+05	3.459128e-14	1.059709e+05	4.618790e-14	1.068062e+05	4.375898e-14	1.069495e+05	4.388968e-14	1.084804e+05	4.620820e-14
3.423524e+01	2.446440e-14	9.365548e+04	2.096506e-14	9.513960e+04	2.237664e-14	1.054007e+05	3.450753e-14	1.059724e+05	4.541240e-14	1.068078e+05	4.398707e-14	1.069511e+05	4.415145e-14	1.084820e+05	4.678053e-14
3.589300e+01	2.428214e-14	9.365713e+04	2.084305e-14	9.514125e+04	2.229017e-14	1.054023e+05	3.440569e-14	1.059741e+05	4.428507e-14	1.068095e+05	4.347873e-14	1.069527e+05	4.361900e-14	1.084837e+05	4.597572e-14
3.762889e+01	2.408205e-14	9.365887e+04	2.085702e-14	9.514299e+04	2.230443e-14	1.054041e+05	3.432717e-14	1.059758e+05	4.350433e-14	1.068112e+05	4.367052e-14	1.069545e+05	4.383665e-14	1.084854e+05	4.647711e-14
3.944658e+01	2.386878e-14	9.366069e+04	2.074312e-14	9.514481e+04	2.221797e-14	1.054059e+05	3.421395e-14	1.059777e+05	4.240081e-14	1.068130e+05	4.316224e-14	1.069563e+05	4.330628e-14	1.084872e+05	4.565321e-14
4.134994e+01	2.363525e-14	9.366259e+04	2.075017e-14	9.514671e+04	2.222253e-14	1.054078e+05	3.411181e-14	1.059796e+05	4.160147e-14	1.068149e+05	4.333097e-14	1.069582e+05	4.349186e-14	1.084891e+05	4.610568e-14
4.334301e+01	2.337738e-14	9.366458e+04	2.064155e-14	9.514870e+04	2.213782e-14	1.054098e+05	3.399072e-14	1.059816e+05	4.052789e-14	1.068169e+05	4.281407e-14	1.069602e+05	4.295445e-14	1.084911e+05	4.524747e-14
4.543000e+01	2.310210e-14	9.366667e+04	2.064246e-14	9.515079e+04	2.213710e-14	1.054119e+05	3.389436e-14	1.059836e+05	3.975146e-14	1.068190e+05	4.297142e-14	1.069623e+05	4.312610e-14	1.084932e+05	4.566931e-14
4.761535e+01	2.281622e-14	9.366886e+04	2.062790e-14	9.515298e+04	2.212951e-14	1.054141e+05	3.378843e-14	1.059858e+05	3.893911e-14	1.068212e+05	4.303331e-14	1.069645e+05	4.319961e-14	1.084954e+05	4.592072e-14
4.990369e+01	2.250982e-14	9.367114e+04	2.052877e-14	9.515526e+04	2.205110e-14	1.054164e+05	3.366896e-14	1.059881e+05	3.793837e-14	1.068235e+05	4.258918e-14	1.069668e+05	4.273866e-14	1.084977e+05	4.517592e-14
