R Im<0|V|1> Im<0|V|2> Im<0|V|3> Im<0|V|4> Im<0|V|5> Im<0|V|6> Im<0|V|7> Im<1|V|3> Im<1|V|4> Im<1|V|5> Im<1|V|6> Im<1|V|7> Im<2|V|3> Im<2|V|4> Im<2|V|5> Im<2|V|6> Im<2|V|7> Im<3|V|4> Im<3|V|5> Im<3|V|6> Im<3|V|7> Im<4|V|5> Im<4|V|6> Im<4|V|7> Im<5|V|6> Im<5|V|7> Im<6|V|7>
2.400000 0.001302 0.002218 -0.000715 -0.000176 -0.003917 0.000043 -0.010083 0.001926 -0.009398 -0.007031 -0.013813 -0.002075 -0.001053 0.004971 -0.000928 0.008827 -0.006757 0.068830 0.179000 0.104547 -0.062279 0.120593 0.060409 -0.042465 -0.175690 0.000328 0.069229
2.450000 0.000180 0.000196 -0.000671 -0.000162 -0.004582 0.000033 -0.011813 0.001263 -0.007285 -0.005632 -0.010118 -0.002080 -0.000692 0.003834 -0.001270 0.006703 -0.006056 0.064615 0.168038 0.098144 -0.058465 0.113208 0.056709 -0.039864 -0.164932 0.000307 0.064990
2.500000 -0.000887 -0.001728 -0.000625 -0.000148 -0.005120 0.000025 -0.013216 0.000585 -0.005459 -0.004337 -0.006711 -0.002016 -0.000323 0.002856 -0.001500 0.004719 -0.005301 0.060241 0.156663 0.091500 -0.054507 0.105544 0.052870 -0.037166 -0.153766 0.000286 0.060591
2.550000 -0.001900 -0.003558 -0.000582 -0.000135 -0.005540 0.000017 -0.014311 -0.000095 -0.003886 -0.003150 -0.003576 -0.001910 0.000047 0.002015 -0.001652 0.002878 -0.004538 0.056127 0.145966 0.085253 -0.050785 0.098337 0.049260 -0.034628 -0.143267 0.000266 0.056454
2.600000 -0.002861 -0.005295 -0.000545 -0.000124 -0.005855 0.000011 -0.015136 -0.000764 -0.002535 -0.002072 -0.000703 -0.001781 0.000412 0.001295 -0.001750 0.001181 -0.003796 0.052578 0.136736 0.079862 -0.047574 0.092119 0.046146 -0.032439 -0.134208 0.000249 0.052884
2.650000 -0.003773 -0.006945 -0.000516 -0.000116 -0.006082 0.000006 -0.015727 -0.001414 -0.001379 -0.001099 0.001917 -0.001643 0.000765 0.000680 -0.001811 -0.000373 -0.003092 0.049780 0.129458 0.075611 -0.045042 0.087216 0.043689 -0.030712 -0.127065 0.000235 0.050070
2.700000 -0.004637 -0.008511 -0.000495 -0.000110 -0.006233 0.000003 -0.016121 -0.002038 -0.000395 -0.000227 0.004296 -0.001503 0.001105 0.000158 -0.001845 -0.001788 -0.002437 0.047816 0.124351 0.072628 -0.043265 0.083775 0.041966 -0.029500 -0.122051 0.000226 0.048094
2.750000 -0.005456 -0.009997 -0.000483 -0.000106 -0.006319 0.000001 -0.016347 -0.002630 0.000434 0.000548 0.006444 -0.001365 0.001427 -0.000281 -0.001860 -0.003069 -0.001835 0.046696 0.121438 0.070927 -0.042251 0.081813 0.040983 -0.028809 -0.119193 0.000220 0.046968
2.800000 -0.006232 -0.011407 -0.000480 -0.000105 -0.006351 0.000000 -0.016430 -0.003190 0.001123 0.001231 0.008371 -0.001232 0.001732 -0.000645 -0.001858 -0.004220 -0.001286 0.046379 0.120615 0.070446 -0.041965 0.081258 0.040705 -0.028614 -0.118385 0.000219 0.046650
2.850000 -0.006968 -0.012745 -0.000484 -0.000107 -0.006336 0.000001 -0.016391 -0.003715 0.001683 0.001829 0.010088 -0.001105 0.002018 -0.000939 -0.001844 -0.005247 -0.000791 0.046794 0.121694 0.071077 -0.042341 0.081986 0.041069 -0.028870 -0.119444 0.000221 0.047067
2.900000 -0.007665 -0.014014 -0.000495 -0.000110 -0.006281 0.000002 -0.016248 -0.004207 0.002125 0.002345 0.011607 -0.000984 0.002285 -0.001171 -0.001819 -0.006158 -0.000347 0.047854 0.124451 0.072687 -0.043300 0.083843 0.042000 -0.029524 -0.122150 0.000226 0.048133
3.000000 -0.008951 -0.016360 -0.000534 -0.000121 -0.006073 0.000008 -0.015702 -0.005092 0.002684 0.003151 0.014089 -0.000765 0.002767 -0.001460 -0.001740 -0.007650 0.000394 0.051535 0.134023 0.078278 -0.046630 0.090292 0.045230 -0.031795 -0.131545 0.000244 0.051835
3.100000 -0.010105 -0.018470 -0.000587 -0.000136 -0.005762 0.000016 -0.014889 -0.005850 0.002860 0.003685 0.015891 -0.000571 0.003179 -0.001544 -0.001629 -0.008741 0.000958 0.056672 0.147382 0.086080 -0.051278 0.099292 0.049738 -0.034964 -0.144657 0.000269 0.057002
3.200000 -0.011139 -0.020366 -0.000649 -0.000153 -0.005377 0.000025 -0.013882 -0.006483 0.002711 0.003979 0.017081 -0.000401 0.003524 -0.001454 -0.001491 -0.009471 0.001362 0.062525 0.162604 0.094970 -0.056574 0.109546 0.054875 -0.038575 -0.159597 0.000297 0.062888
3.300000 -0.012063 -0.022067 -0.000709 -0.000171 -0.004942 0.000035 -0.012744 -0.006986 0.002302 0.004066 0.017715 -0.000254 0.003798 -0.001226 -0.001332 -0.009873 0.001628 0.068348 0.177746 0.103814 -0.061842 0.119748 0.059985 -0.042167 -0.174460 0.000325 0.068744
3.400000 -0.012886 -0.023587 -0.000762 -0.000187 -0.004477 0.000043 -0.011529 -0.007349 0.001705 0.003981 0.017847 -0.000128 0.003995 -0.000898 -0.001157 -0.009981 0.001775 0.073386 0.190849 0.111467 -0.066401 0.128575 0.064407 -0.045276 -0.187320 0.000350 0.073811
3.500000 -0.013617 -0.024941 -0.000799 -0.000198 -0.003999 0.000051 -0.010284 -0.007555 0.001003 0.003760 0.017531 -0.000024 0.004107 -0.000515 -0.000977 -0.009825 0.001820 0.076941 0.200095 0.116867 -0.069618 0.134804 0.067528 -0.047469 -0.196395 0.000367 0.077387
3.600000 -0.014263 -0.026141 -0.000816 -0.000204 -0.003523 0.000056 -0.009047 -0.007593 0.000276 0.003440 0.016823 0.000059 0.004127 -0.000120 -0.000799 -0.009442 0.001783 0.078490 0.204124 0.119220 -0.071020 0.137518 0.068887 -0.048425 -0.200350 0.000375 0.078945
3.700000 -0.014831 -0.027199 -0.000809 -0.000204 -0.003061 0.000059 -0.007848 -0.007453 -0.000400 0.003057 0.015788 0.000119 0.004051 0.000247 -0.000634 -0.008867 0.001681 0.077812 0.202358 0.118189 -0.070405 0.136329 0.068291 -0.048006 -0.198617 0.000372 0.078262
3.800000 -0.015328 -0.028125 -0.000780 -0.000198 -0.002623 0.000059 -0.006714 -0.007139 -0.000969 0.002643 0.014492 0.000156 0.003881 0.000554 -0.000488 -0.008141 0.001530 0.075036 0.195140 0.113973 -0.067894 0.131466 0.065855 -0.046293 -0.191532 0.000359 0.075470
3.900000 -0.015759 -0.028932 -0.000734 -0.000187 -0.002215 0.000058 -0.005660 -0.006665 -0.001395 0.002223 0.013005 0.000172 0.003623 0.000782 -0.000368 -0.007303 0.001343 0.070587 0.183570 0.107216 -0.063868 0.123671 0.061951 -0.043549 -0.180176 0.000338 0.070995
4.000000 -0.016131 -0.029628 -0.000676 -0.000173 -0.001841 0.000055 -0.004698 -0.006055 -0.001666 0.001815 0.011389 0.000167 0.003291 0.000925 -0.000274 -0.006389 0.001134 0.065037 0.169137 0.098786 -0.058847 0.113948 0.057080 -0.040125 -0.166009 0.000311 0.065413
4.100000 -0.016450 -0.030226 -0.000613 -0.000158 -0.001505 0.000051 -0.003832 -0.005338 -0.001786 0.001429 0.009702 0.000146 0.002901 0.000987 -0.000206 -0.005432 0.000910 0.058955 0.153321 0.089548 -0.053344 0.103292 0.051742 -0.036372 -0.150486 0.000282 0.059296
4.200000 -0.016721 -0.030736 -0.000549 -0.000142 -0.001207 0.000047 -0.003065 -0.004542 -0.001773 0.001072 0.007989 0.000111 0.002469 0.000975 -0.000163 -0.004460 0.000681 0.052806 0.137328 0.080208 -0.047780 0.092518 0.046345 -0.032579 -0.134789 0.000253 0.053111
4.300000 -0.016950 -0.031166 -0.000488 -0.000126 -0.000945 0.000043 -0.002394 -0.003698 -0.001650 0.000746 0.006290 0.000065 0.002010 0.000904 -0.000139 -0.003493 0.000452 0.046909 0.121993 0.071251 -0.042444 0.082187 0.041170 -0.028941 -0.119737 0.000225 0.047180
4.400000 -0.017142 -0.031526 -0.000431 -0.000112 -0.000719 0.000038 -0.001813 -0.002829 -0.001440 0.000451 0.004630 0.000011 0.001537 0.000786 -0.000132 -0.002548 0.000227 0.041453 0.107804 0.062964 -0.037508 0.072628 0.036381 -0.025574 -0.105811 0.000199 0.041693
4.500000 -0.017301 -0.031826 -0.000380 -0.000099 -0.000526 0.000035 -0.001318 -0.001956 -0.001167 0.000185 0.003031 -0.000048 0.001063 0.000633 -0.000138 -0.001637 0.000009 0.036523 0.094983 0.055476 -0.033047 0.063990 0.032055 -0.022533 -0.093227 0.000175 0.036734
4.600000 -0.017432 -0.032072 -0.000335 -0.000088 -0.000363 0.000031 -0.000900 -0.001096 -0.000849 -0.000053 0.001507 -0.000109 0.000595 0.000456 -0.000154 -0.000769 -0.000199 0.032137 0.083577 0.048814 -0.029079 0.056306 0.028205 -0.019827 -0.082032 0.000154 0.032323
4.700000 -0.017538 -0.032272 -0.000294 -0.000077 -0.000227 0.000028 -0.000552 -0.000260 -0.000502 -0.000267 0.000068 -0.000171 0.000141 0.000263 -0.000177 0.000052 -0.000396 0.028273 0.073528 0.042944 -0.025582 0.049536 0.024814 -0.017443 -0.072168 0.000136 0.028436
4.800000 -0.017624 -0.032434 -0.000259 -0.000068 -0.000115 0.000026 -0.000266 0.000540 -0.000142 -0.000457 -0.001281 -0.000233 -0.000294 0.000064 -0.000205 0.000822 -0.000580 0.024888 0.064725 0.037803 -0.022520 0.043606 0.021843 -0.015355 -0.063529 0.000119 0.025032
4.900000 -0.017692 -0.032563 -0.000228 -0.000061 -0.000024 0.000023 -0.000034 0.001299 0.000221 -0.000627 -0.002536 -0.000293 -0.000707 -0.000137 -0.000236 0.001538 -0.000751 0.021932 0.057038 0.033314 -0.019845 0.038426 0.019249 -0.013531 -0.055983 0.000105 0.022059
5.000000 -0.017745 -0.032664 -0.000202 -0.000054 0.000049 0.000021 0.000152 0.002012 0.000581 -0.000778 -0.003697 -0.000350 -0.001095 -0.000336 -0.000268 0.002201 -0.000909 0.019354 0.050332 0.029397 -0.017512 0.033908 0.016986 -0.011940 -0.049401 0.000093 0.019465
5.100000 -0.017786 -0.032742 -0.000178 -0.000048 0.000106 0.000019 0.000297 0.002678 0.000930 -0.000913 -0.004766 -0.000404 -0.001456 -0.000529 -0.000300 0.002811 -0.001054 0.017104 0.044480 0.025979 -0.015476 0.029966 0.015011 -0.010552 -0.043658 0.000082 0.017202
5.200000 -0.017817 -0.032801 -0.000158 -0.000042 0.000150 0.000017 0.000409 0.003295 0.001263 -0.001031 -0.005745 -0.000454 -0.001792 -0.000713 -0.000332 0.003370 -0.001187 0.015139 0.039370 0.022994 -0.013698 0.026524 0.013287 -0.009340 -0.038642 0.000073 0.015226
5.300000 -0.017840 -0.032845 -0.000140 -0.000038 0.000183 0.000016 0.000492 0.003863 0.001579 -0.001137 -0.006637 -0.000501 -0.002100 -0.000887 -0.000362 0.003879 -0.001307 0.013420 0.034900 0.020384 -0.012143 0.023512 0.011778 -0.008279 -0.034255 0.000065 0.013497
5.400000 -0.017856 -0.032877 -0.000124 -0.000034 0.000206 0.000014 0.000551 0.004383 0.001875 -0.001230 -0.007447 -0.000544 -0.002383 -0.001050 -0.000391 0.004341 -0.001415 0.011914 0.030983 0.018096 -0.010780 0.020873 0.010456 -0.007350 -0.030410 0.000057 0.011982
5.500000 -0.017867 -0.032899 -0.000110 -0.000030 0.000222 0.000013 0.000591 0.004858 0.002151 -0.001312 -0.008181 -0.000583 -0.002641 -0.001202 -0.000419 0.004760 -0.001513 0.010591 0.027543 0.016087 -0.009583 0.018556 0.009295 -0.006534 -0.027034 0.000051 0.010652
5.600000 -0.017873 -0.032912 -0.000098 -0.000027 0.000232 0.000012 0.000615 0.005289 0.002405 -0.001384 -0.008842 -0.000619 -0.002876 -0.001342 -0.000444 0.005137 -0.001601 0.009427 0.024515 0.014318 -0.008530 0.016516 0.008273 -0.005816 -0.024062 0.000045 0.009481
5.700000 -0.017877 -0.032920 -0.000088 -0.000024 0.000237 0.000011 0.000626 0.005679 0.002639 -0.001447 -0.009437 -0.000651 -0.003088 -0.001471 -0.000467 0.005477 -0.001680 0.008400 0.021845 0.012759 -0.007601 0.014717 0.007372 -0.005182 -0.021441 0.000040 0.008448
5.800000 -0.017878 -0.032922 -0.000078 -0.000022 0.000238 0.000010 0.000627 0.006030 0.002853 -0.001503 -0.009970 -0.000681 -0.003279 -0.001588 -0.000489 0.005781 -0.001750 0.007493 0.019486 0.011381 -0.006780 0.013128 0.006576 -0.004623 -0.019125 0.000036 0.007536
5.900000 -0.017877 -0.032921 -0.000070 -0.000019 0.000236 0.000009 0.000620 0.006346 0.003047 -0.001552 -0.010447 -0.000707 -0.003451 -0.001695 -0.000509 0.006053 -0.001813 0.006689 0.017396 0.010160 -0.006053 0.011720 0.005871 -0.004127 -0.017074 0.000032 0.006728
6.000000 -0.017874 -0.032917 -0.000062 -0.000017 0.000231 0.000008 0.000607 0.006630 0.003223 -0.001595 -0.010873 -0.000731 -0.003605 -0.001792 -0.000527 0.006296 -0.001868 0.005976 0.015542 0.009078 -0.005407 0.010471 0.005245 -0.003687 -0.015255 0.000029 0.006011
6.200000 -0.017867 -0.032905 -0.000050 -0.000014 0.000216 0.000007 0.000566 0.007110 0.003525 -0.001666 -0.011589 -0.000771 -0.003866 -0.001958 -0.000558 0.006705 -0.001961 0.004779 0.012428 0.007259 -0.004324 0.008373 0.004194 -0.002948 -0.012198 0.000023 0.004806
6.400000 -0.017857 -0.032888 -0.000040 -0.000011 0.000197 0.000006 0.000516 0.007490 0.003768 -0.001720 -0.012153 -0.000803 -0.004072 -0.002092 -0.000582 0.007026 -0.002034 0.003827 0.009954 0.005814 -0.003463 0.006706 0.003359 -0.002361 -0.009770 0.000019 0.003849
6.600000 -0.017848 -0.032871 -0.000032 -0.000009 0.000176 0.000005 0.000461 0.007790 0.003963 -0.001761 -0.012594 -0.000828 -0.004235 -0.002199 -0.000602 0.007278 -0.002091 0.003068 0.007978 0.004660 -0.002776 0.005375 0.002693 -0.001893 -0.007831 0.000015 0.003085
6.800000 -0.017839 -0.032855 -0.000026 -0.000007 0.000155 0.000004 0.000405 0.008024 0.004117 -0.001792 -0.012937 -0.000847 -0.004362 -0.002284 -0.000618 0.007473 -0.002134 0.002459 0.006396 0.003735 -0.002225 0.004309 0.002158 -0.001517 -0.006277 0.000012 0.002473
7.000000 -0.017831 -0.032841 -0.000021 -0.000006 0.000135 0.000003 0.000352 0.008206 0.004238 -0.001815 -0.013201 -0.000862 -0.004461 -0.002350 -0.000631 0.007624 -0.002168 0.001970 0.005124 0.002993 -0.001783 0.003452 0.001729 -0.001216 -0.005029 0.000010 0.001982
7.200000 -0.017824 -0.032828 -0.000016 -0.000005 0.000116 0.000003 0.000303 0.008346 0.004332 -0.001832 -0.013404 -0.000874 -0.004538 -0.002402 -0.000640 0.007739 -0.002193 0.001577 0.004101 0.002395 -0.001427 0.002763 0.001384 -0.000973 -0.004026 0.000008 0.001586
7.400000 -0.017818 -0.032817 -0.000013 -0.000004 0.000099 0.000002 0.000258 0.008454 0.004405 -0.001845 -0.013559 -0.000883 -0.004596 -0.002442 -0.000648 0.007828 -0.002212 0.001261 0.003278 0.001915 -0.001141 0.002209 0.001106 -0.000778 -0.003218 0.000006 0.001268
7.600000 -0.017813 -0.032809 -0.000011 -0.000003 0.000084 0.000002 0.000219 0.008536 0.004462 -0.001855 -0.013677 -0.000890 -0.004641 -0.002473 -0.000653 0.007895 -0.002227 0.001006 0.002616 0.001528 -0.000910 0.001762 0.000883 -0.000621 -0.002568 0.000005 0.001012
7.800000 -0.017809 -0.032802 -0.000008 -0.000002 0.000070 0.000001 0.000184 0.008599 0.004506 -0.001862 -0.013767 -0.000895 -0.004675 -0.002497 -0.000658 0.007946 -0.002237 0.000801 0.002084 0.001217 -0.000725 0.001404 0.000703 -0.000494 -0.002045 0.000004 0.000806
8.000000 -0.017806 -0.032796 -0.000007 -0.000002 0.000059 0.000001 0.000153 0.008647 0.004539 -0.001867 -0.013834 -0.000898 -0.004701 -0.002516 -0.000661 0.007984 -0.002245 0.000637 0.001657 0.000968 -0.000576 0.001116 0.000559 -0.000393 -0.001626 0.000003 0.000641
8.200000 -0.017803 -0.032791 -0.000005 -0.000002 0.000049 0.000001 0.000127 0.008683 0.004565 -0.001870 -0.013884 -0.000901 -0.004721 -0.002530 -0.000664 0.008013 -0.002251 0.000506 0.001315 0.000768 -0.000457 0.000886 0.000444 -0.000312 -0.001290 0.000002 0.000508
