R Re<0|V|1> Re<0|V|2> Re<0|V|3> Re<0|V|4> Re<0|V|5> Re<0|V|6> Re<0|V|7> Re<1|V|3> Re<1|V|4> Re<1|V|5> Re<1|V|6> Re<1|V|7> Re<2|V|3> Re<2|V|4> Re<2|V|5> Re<2|V|6> Re<2|V|7> Re<3|V|4> Re<3|V|5> Re<3|V|6> Re<3|V|7> Re<4|V|5> Re<4|V|6> Re<4|V|7> Re<5|V|6> Re<5|V|7> Re<6|V|7>
2.400000 -0.000000 -0.000001 0.000416 0.000301 -0.000835 -0.000331 -0.001372 0.003315 -0.005494 0.032943 -0.001796 0.015220 -0.001812 0.002907 0.004348 0.001149 0.049531 0.121497 -0.197388 0.080413 0.079948 -0.039800 0.142994 0.017633 0.014250 0.004379 0.000425
2.450000 -0.000000 -0.000000 0.000390 0.000277 -0.000977 -0.000257 -0.001607 0.002173 -0.004259 0.026387 -0.001316 0.015259 -0.001191 0.002242 0.005947 0.000872 0.044390 0.114057 -0.185300 0.075489 0.075053 -0.037363 0.134237 0.016553 0.013378 0.004103 0.000399
2.500000 0.000000 0.000001 0.000363 0.000253 -0.001091 -0.000189 -0.001798 0.001007 -0.003192 0.020320 -0.000873 0.014788 -0.000556 0.001670 0.007024 0.000614 0.038860 0.106336 -0.172756 0.070378 0.069972 -0.034833 0.125150 0.015432 0.012472 0.003818 0.000372
2.550000 0.000000 0.000001 0.000338 0.000231 -0.001181 -0.000131 -0.001947 -0.000163 -0.002272 0.014760 -0.000465 0.014010 0.000081 0.001178 0.007736 0.000375 0.033265 0.099075 -0.160960 0.065573 0.065194 -0.032455 0.116604 0.014379 0.011621 0.003551 0.000347
2.600000 0.000001 0.000002 0.000317 0.000213 -0.001248 -0.000083 -0.002059 -0.001316 -0.001482 0.009707 -0.000091 0.013067 0.000709 0.000757 0.008197 0.000154 0.027824 0.092811 -0.150783 0.061427 0.061072 -0.030403 0.109232 0.013470 0.010886 0.003321 0.000325
2.650000 0.000001 0.000002 0.000300 0.000198 -0.001296 -0.000047 -0.002140 -0.002434 -0.000806 0.005149 0.000249 0.012053 0.001318 0.000397 0.008482 -0.000049 0.022667 0.087870 -0.142757 0.058157 0.057821 -0.028784 0.103417 0.012753 0.010306 0.003140 0.000308
2.700000 0.000001 0.000003 0.000288 0.000188 -0.001329 -0.000022 -0.002194 -0.003507 -0.000231 0.001066 0.000559 0.011023 0.001902 0.000092 0.008643 -0.000233 0.017865 0.084404 -0.137125 0.055863 0.055540 -0.027649 0.099337 0.012250 0.009900 0.003013 0.000296
2.750000 0.000001 0.000003 0.000281 0.000182 -0.001347 -0.000007 -0.002224 -0.004528 0.000254 -0.002565 0.000838 0.010011 0.002458 -0.000164 0.008710 -0.000399 0.013449 0.082427 -0.133913 0.054554 0.054239 -0.027001 0.097011 0.011963 0.009668 0.002940 0.000289
2.800000 0.000002 0.000004 0.000279 0.000180 -0.001354 -0.000003 -0.002236 -0.005491 0.000656 -0.005769 0.001089 0.009035 0.002982 -0.000377 0.008703 -0.000549 0.009428 0.081868 -0.133005 0.054184 0.053871 -0.026818 0.096353 0.011882 0.009602 0.002920 0.000287
2.850000 0.000002 0.000004 0.000282 0.000182 -0.001351 -0.000007 -0.002230 -0.006395 0.000984 -0.008568 0.001312 0.008104 0.003474 -0.000549 0.008637 -0.000683 0.005797 0.082601 -0.134196 0.054669 0.054354 -0.027058 0.097215 0.011988 0.009688 0.002946 0.000289
2.900000 0.000002 0.000005 0.000288 0.000188 -0.001339 -0.000019 -0.002211 -0.007241 0.001242 -0.010986 0.001510 0.007222 0.003935 -0.000685 0.008519 -0.000802 0.002544 0.084472 -0.137235 0.055908 0.055585 -0.027671 0.099417 0.012259 0.009908 0.003015 0.000296
3.000000 0.000002 0.000006 0.000310 0.000206 -0.001295 -0.000061 -0.002137 -0.008764 0.001569 -0.014764 0.001832 0.005609 0.004764 -0.000854 0.008151 -0.000996 -0.002892 0.090969 -0.147791 0.060208 0.059860 -0.029800 0.107064 0.013202 0.010670 0.003252 0.000319
3.100000 0.000002 0.000006 0.000342 0.000233 -0.001228 -0.000122 -0.002026 -0.010068 0.001672 -0.017265 0.002067 0.004187 0.005474 -0.000903 0.007631 -0.001138 -0.007020 0.100036 -0.162522 0.066209 0.065827 -0.032770 0.117736 0.014518 0.011733 0.003584 0.000350
3.200000 0.000003 0.000007 0.000377 0.000263 -0.001146 -0.000193 -0.001889 -0.011158 0.001585 -0.018642 0.002222 0.002942 0.006067 -0.000850 0.006984 -0.001233 -0.009988 0.110368 -0.179307 0.073047 0.072625 -0.036154 0.129896 0.016018 0.012945 0.003963 0.000386
3.300000 0.000003 0.000008 0.000412 0.000293 -0.001053 -0.000266 -0.001734 -0.012025 0.001346 -0.019051 0.002304 0.001862 0.006538 -0.000717 0.006236 -0.001285 -0.011937 0.120646 -0.196005 0.079850 0.079388 -0.039521 0.141992 0.017509 0.014151 0.004339 0.000422
3.400000 0.000003 0.000008 0.000443 0.000320 -0.000954 -0.000335 -0.001569 -0.012649 0.000997 -0.018652 0.002321 0.000940 0.006878 -0.000525 0.005419 -0.001299 -0.013009 0.129540 -0.210454 0.085736 0.085241 -0.042434 0.152459 0.018800 0.015194 0.004666 0.000454
3.500000 0.000003 0.000009 0.000465 0.000339 -0.000852 -0.000392 -0.001399 -0.013005 0.000586 -0.017617 0.002280 0.000174 0.007071 -0.000301 0.004573 -0.001279 -0.013342 0.135815 -0.220650 0.089889 0.089370 -0.044490 0.159845 0.019711 0.015930 0.004898 0.000476
3.600000 0.000003 0.000009 0.000474 0.000350 -0.000751 -0.000433 -0.001231 -0.013069 0.000162 -0.016119 0.002188 -0.000432 0.007106 -0.000070 0.003742 -0.001229 -0.013071 0.138550 -0.225092 0.091699 0.091170 -0.045386 0.163064 0.020108 0.016251 0.005001 0.000485
3.700000 0.000004 0.000009 0.000470 0.000349 -0.000653 -0.000455 -0.001068 -0.012828 -0.000234 -0.014326 0.002053 -0.000872 0.006975 0.000144 0.002968 -0.001154 -0.012322 0.137352 -0.223146 0.090906 0.090381 -0.044994 0.161653 0.019934 0.016110 0.004961 0.000481
3.800000 0.000004 0.000010 0.000454 0.000339 -0.000559 -0.000458 -0.000914 -0.012288 -0.000566 -0.012386 0.001885 -0.001146 0.006681 0.000324 0.002287 -0.001060 -0.011213 0.132452 -0.215186 0.087664 0.087157 -0.043389 0.155887 0.019223 0.015535 0.004787 0.000464
3.900000 0.000004 0.000010 0.000427 0.000320 -0.000472 -0.000446 -0.000770 -0.011473 -0.000816 -0.010417 0.001691 -0.001260 0.006238 0.000457 0.001722 -0.000951 -0.009846 0.124599 -0.202427 0.082466 0.081989 -0.040816 0.146644 0.018083 0.014614 0.004505 0.000436
