R E0 E1 E2 E3 E4 E5 E6 E7
8.40 -1.02 93619.58 95103.73 105365.84 105935.93 106775.45 106918.70 108451.15
8.60 -1.00 93619.66 95103.79 105365.70 105936.20 106774.78 106918.02 108450.15
8.80 -0.99 93619.71 95103.87 105365.59 105936.42 106774.22 106917.49 108449.36
9.00 -0.99 93619.78 95103.92 105365.54 105936.60 106773.82 106917.09 108448.74
9.20 -0.98 93619.85 95103.99 105365.51 105936.77 106773.54 106916.80 108448.24
9.40 -0.97 93619.92 95104.10 105365.57 105936.96 106773.29 106916.64 108447.82
9.60 -0.96 93619.98 95104.16 105365.58 105937.05 106773.11 106916.46 108447.52
9.80 -0.97 93620.03 95104.21 105365.58 105937.13 106772.96 106916.32 108447.29
10.00 -0.96 93620.08 95104.25 105365.56 105937.20 106772.84 106916.23 108447.10
10.50 -0.95 93620.18 95104.35 105365.59 105937.29 106772.71 106916.05 108446.98
11.00 -0.94 93620.30 95104.42 105365.51 105937.27 106772.65 106915.91 108446.83
