State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	
9.310419e+04	2.072828e-14	1.052550e+05	4.234340e-14	1.054117e+05	4.273422e-14	1.059647e+05	4.626491e-14	1.069468e+05	3.165456e-14
9.310551e+04	2.077165e-14	1.052563e+05	4.251308e-14	1.054130e+05	4.292725e-14	1.059660e+05	4.704382e-14	1.069481e+05	3.157079e-14
9.310689e+04	2.060100e-14	1.052577e+05	4.215804e-14	1.054144e+05	4.255616e-14	1.059674e+05	4.620456e-14	1.069495e+05	3.147852e-14
9.310833e+04	2.062699e-14	1.052592e+05	4.227743e-14	1.054158e+05	4.269589e-14	1.059689e+05	4.685846e-14	1.069509e+05	3.138479e-14
9.310984e+04	2.046847e-14	1.052607e+05	4.193554e-14	1.054173e+05	4.233716e-14	1.059704e+05	4.604529e-14	1.069524e+05	3.128919e-14
9.311143e+04	2.048185e-14	1.052623e+05	4.202458e-14	1.054189e+05	4.244624e-14	1.059720e+05	4.661016e-14	1.069540e+05	3.118829e-14
9.311308e+04	2.033678e-14	1.052639e+05	4.168801e-14	1.054206e+05	4.209149e-14	1.059736e+05	4.580240e-14	1.069557e+05	3.109328e-14
9.311482e+04	2.033998e-14	1.052657e+05	4.175744e-14	1.054223e+05	4.218037e-14	1.059753e+05	4.630432e-14	1.069574e+05	3.099883e-14
9.311664e+04	2.020567e-14	1.052675e+05	4.142004e-14	1.054241e+05	4.182405e-14	1.059772e+05	4.548440e-14	1.069592e+05	3.090705e-14
9.311854e+04	2.020249e-14	1.052694e+05	4.147819e-14	1.054260e+05	4.190108e-14	1.059791e+05	4.594454e-14	1.069611e+05	3.081828e-14
9.312053e+04	2.007437e-14	1.052714e+05	4.113330e-14	1.054280e+05	4.153537e-14	1.059811e+05	4.509652e-14	1.069631e+05	3.072864e-14
9.312262e+04	2.006746e-14	1.052735e+05	4.118660e-14	1.054301e+05	4.160739e-14	1.059832e+05	4.553146e-14	1.069652e+05	3.063791e-14
9.312481e+04	2.004976e-14	1.052756e+05	4.117504e-14	1.054323e+05	4.160995e-14	1.059853e+05	4.579570e-14	1.069674e+05	3.054553e-14
