State0	Sigma0	State1	Sigma1	State2	Sigma2	State3	Sigma3	State4	Sigma4	
1.047239e+05	1.305451e-14	1.168747e+05	2.151209e-14	1.170314e+05	2.365621e-14	1.175844e+05	2.704437e-14	1.185665e+05	1.547859e-14
1.052728e+05	1.297349e-14	1.174236e+05	2.180529e-14	1.175803e+05	2.331020e-14	1.181333e+05	2.686618e-14	1.191154e+05	1.532343e-14
1.058476e+05	1.289257e-14	1.179984e+05	2.213326e-14	1.181551e+05	2.295327e-14	1.187081e+05	2.670685e-14	1.196902e+05	1.518795e-14
1.064495e+05	1.281135e-14	1.186003e+05	2.248311e-14	1.187570e+05	2.259475e-14	1.193100e+05	2.656492e-14	1.202921e+05	1.507095e-14
1.070798e+05	1.273032e-14	1.192306e+05	2.284577e-14	1.193873e+05	2.224265e-14	1.199403e+05	2.643757e-14	1.209224e+05	1.497222e-14
1.077397e+05	1.264801e-14	1.198906e+05	2.320998e-14	1.200472e+05	2.190356e-14	1.206003e+05	2.631511e-14	1.215823e+05	1.489308e-14
1.084308e+05	1.256514e-14	1.205816e+05	2.356756e-14	1.207383e+05	2.158484e-14	1.212913e+05	2.618855e-14	1.222734e+05	1.483005e-14
1.091544e+05	1.248266e-14	1.213053e+05	2.390799e-14	1.214619e+05	2.129384e-14	1.220150e+05	2.604991e-14	1.229970e+05	1.478354e-14
1.099122e+05	1.239873e-14	1.220630e+05	2.422443e-14	1.222197e+05	2.103238e-14	1.227727e+05	2.589045e-14	1.237548e+05	1.475275e-14
1.107056e+05	1.231499e-14	1.228565e+05	2.451186e-14	1.230131e+05	2.080577e-14	1.235662e+05	2.570921e-14	1.245482e+05	1.473372e-14
1.115365e+05	1.223109e-14	0.000000e+00	0.000000e+00	1.238440e+05	2.061565e-14	1.243970e+05	2.550536e-14	1.253791e+05	1.472526e-14
1.124065e+05	1.214765e-14	0.000000e+00	0.000000e+00	1.247140e+05	2.046169e-14	1.252670e+05	2.528315e-14	1.262491e+05	1.472481e-14
1.133175e+05	1.206248e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.261780e+05	2.504920e-14	0.000000e+00	0.000000e+00
1.142714e+05	1.197759e-14	0.000000e+00	0.000000e+00	0.000000e+00	0.000000e+00	1.271320e+05	2.481224e-14	0.000000e+00	0.000000e+00
