R Re<0|V|1> Re<0|V|2> Re<0|V|3> Re<0|V|4> Re<1|V|2> Re<1|V|3> Re<1|V|4> Re<2|V|3> Re<2|V|4> Re<3|V|4>
5.200000 0.008457 -0.004555 -0.005060 -0.000356 0.009503 0.061723 -0.053096 -0.027556 0.028996 0.034367
5.300000 0.009890 -0.005291 -0.005690 -0.000612 0.008424 0.054716 -0.047067 -0.024428 0.025704 0.030466
5.400000 0.011201 -0.005963 -0.006250 -0.000860 0.007479 0.048574 -0.041784 -0.021686 0.022819 0.027046
5.500000 0.012395 -0.006573 -0.006748 -0.001097 0.006648 0.043181 -0.037145 -0.019278 0.020285 0.024043
5.600000 0.013478 -0.007124 -0.007189 -0.001321 0.005918 0.038435 -0.033062 -0.017159 0.018055 0.021400
5.700000 0.014458 -0.007622 -0.007579 -0.001530 0.005273 0.034249 -0.029461 -0.015290 0.016089 0.019070
5.800000 0.015340 -0.008069 -0.007924 -0.001725 0.004703 0.030549 -0.026279 -0.013639 0.014351 0.017010
5.900000 0.016133 -0.008470 -0.008229 -0.001904 0.004199 0.027273 -0.023461 -0.012176 0.012812 0.015186
6.000000 0.016844 -0.008828 -0.008498 -0.002069 0.003752 0.024367 -0.020961 -0.010878 0.011447 0.013567
6.200000 0.018045 -0.009433 -0.008942 -0.002355 0.003000 0.019484 -0.016761 -0.008699 0.009153 0.010849
6.400000 0.018997 -0.009911 -0.009285 -0.002590 0.002403 0.015605 -0.013424 -0.006967 0.007331 0.008689
6.600000 0.019745 -0.010285 -0.009548 -0.002781 0.001926 0.012508 -0.010760 -0.005584 0.005876 0.006965
6.800000 0.020330 -0.010577 -0.009749 -0.002933 0.001544 0.010027 -0.008625 -0.004476 0.004710 0.005583
7.000000 0.020783 -0.010803 -0.009901 -0.003055 0.001237 0.008034 -0.006911 -0.003587 0.003774 0.004473
7.200000 0.021133 -0.010977 -0.010016 -0.003151 0.000990 0.006430 -0.005531 -0.002871 0.003021 0.003580
7.400000 0.021402 -0.011110 -0.010102 -0.003226 0.000791 0.005139 -0.004421 -0.002295 0.002414 0.002862
7.600000 0.021607 -0.011211 -0.010166 -0.003285 0.000631 0.004101 -0.003528 -0.001831 0.001927 0.002284
7.800000 0.021763 -0.011288 -0.010214 -0.003331 0.000503 0.003267 -0.002810 -0.001458 0.001535 0.001819
8.000000 0.021881 -0.011347 -0.010249 -0.003367 0.000400 0.002597 -0.002234 -0.001160 0.001220 0.001446
8.200000 0.021970 -0.011391 -0.010275 -0.003394 0.000317 0.002061 -0.001773 -0.000920 0.000968 0.001148
8.400000 0.022038 -0.011424 -0.010294 -0.003415 0.000251 0.001632 -0.001404 -0.000729 0.000767 0.000909
8.600000 0.022089 -0.011449 -0.010308 -0.003432 0.000199 0.001290 -0.001110 -0.000576 0.000606 0.000719
8.800000 0.022127 -0.011467 -0.010318 -0.003444 0.000157 0.001018 -0.000876 -0.000455 0.000478 0.000567
9.000000 0.022156 -0.011481 -0.010326 -0.003454 0.000123 0.000802 -0.000690 -0.000358 0.000377 0.000446
9.200000 0.022177 -0.011492 -0.010331 -0.003461 0.000097 0.000630 -0.000542 -0.000281 0.000296 0.000351
9.400000 0.022194 -0.011500 -0.010335 -0.003467 0.000076 0.000494 -0.000425 -0.000221 0.000232 0.000275
9.600000 0.022206 -0.011505 -0.010338 -0.003471 0.000059 0.000386 -0.000332 -0.000173 0.000182 0.000215
9.800000 0.022214 -0.011510 -0.010340 -0.003475 0.000046 0.000302 -0.000259 -0.000135 0.000142 0.000168
10.000000 0.022221 -0.011513 -0.010341 -0.003477 0.000036 0.000235 -0.000202 -0.000105 0.000110 0.000131
10.500000 0.022236 -0.011520 -0.010344 -0.003483 0.000020 0.000129 -0.000111 -0.000058 0.000061 0.000072
11.000000 0.022234 -0.011519 -0.010343 -0.003483 0.000010 0.000065 -0.000056 -0.000029 0.000031 0.000036
