R	Re<0|V|1>	Re<0|V|2>	Re<0|V|3>	Re<0|V|4>	Re<1|V|2>	Re<1|V|3>	Re<1|V|4>	Re<2|V|3>	Re<2|V|4>	Re<3|V|4>
5.2	0.010896	-0.008762	0.009171	0.000545	-0.02566	-0.023628	-0.051919	0.040599	0.043033	-0.042522
5.3	0.009659	-0.007767	0.00813	0.000483	-0.022747	-0.020945	-0.046025	0.03599	0.038148	-0.037694
5.4	0.008575	-0.006895	0.007218	0.000429	-0.020194	-0.018594	-0.040859	0.03195	0.033866	-0.033463
5.5	0.007622	-0.00613	0.006416	0.000381	-0.017951	-0.01653	-0.036322	0.028403	0.030106	-0.029748
5.6	0.006785	-0.005456	0.005711	0.000339	-0.015978	-0.014713	-0.03233	0.025281	0.026797	-0.026478
5.7	0.006046	-0.004862	0.005089	0.000302	-0.014238	-0.01311	-0.028809	0.022527	0.023878	-0.023594
5.8	0.005393	-0.004336	0.004539	0.00027	-0.0127	-0.011694	-0.025697	0.020094	0.021299	-0.021045
5.9	0.004814	-0.003871	0.004052	0.000241	-0.011338	-0.01044	-0.022941	0.017939	0.019015	-0.018789
6	0.004301	-0.003459	0.003621	0.000215	-0.01013	-0.009327	-0.020496	0.016027	0.016988	-0.016786
6.2	0.003439	-0.002766	0.002895	0.000172	-0.0081	-0.007458	-0.016389	0.012816	0.013584	-0.013423
6.4	0.002755	-0.002215	0.002319	0.000138	-0.006487	-0.005974	-0.013126	0.010264	0.01088	-0.01075
6.6	0.002208	-0.001776	0.001859	0.00011	-0.0052	-0.004788	-0.010521	0.008227	0.008721	-0.008617
6.8	0.00177	-0.001423	0.00149	8.9E-05	-0.004168	-0.003838	-0.008434	0.006595	0.006991	-0.006908
7	0.001418	-0.00114	0.001194	7.1E-05	-0.00334	-0.003075	-0.006757	0.005284	0.005601	-0.005534
7.2	0.001135	-0.000913	0.000955	5.7E-05	-0.002673	-0.002461	-0.005409	0.004229	0.004483	-0.00443
7.4	0.000907	-0.00073	0.000764	4.5E-05	-0.002137	-0.001967	-0.004323	0.003381	0.003583	-0.003541
7.6	0.000724	-0.000582	0.000609	3.6E-05	-0.001705	-0.00157	-0.00345	0.002698	0.002859	-0.002825
7.8	0.000577	-0.000464	0.000485	2.9E-05	-0.001358	-0.001251	-0.002748	0.002149	0.002278	-0.002251
8	0.000458	-0.000369	0.000386	2.3E-05	-0.00108	-0.000994	-0.002185	0.001708	0.001811	-0.001789
8.2	0.000364	-0.000293	0.000306	1.8E-05	-0.000857	-0.000789	-0.001734	0.001356	0.001437	-0.00142
8.4	0.000288	-0.000232	0.000243	1.4E-05	-0.000679	-0.000625	-0.001373	0.001074	0.001138	-0.001125
8.6	0.000228	-0.000183	0.000192	1.1E-05	-0.000536	-0.000494	-0.001085	0.000849	0.0009	-0.000889
8.8	0.00018	-0.000145	0.000151	9E-06	-0.000423	-0.00039	-0.000856	0.00067	0.00071	-0.000701
9	0.000142	-0.000114	0.000119	7E-06	-0.000333	-0.000307	-0.000674	0.000527	0.000559	-0.000552
9.2	0.000111	-8.9E-05	9.4E-05	6E-06	-0.000262	-0.000241	-0.00053	0.000414	0.000439	-0.000434
9.4	8.7E-05	-7E-05	7.3E-05	4E-06	-0.000205	-0.000189	-0.000415	0.000325	0.000344	-0.00034
9.6	6.8E-05	-5.5E-05	5.7E-05	3E-06	-0.000161	-0.000148	-0.000325	0.000254	0.000269	-0.000266
9.8	5.3E-05	-4.3E-05	4.5E-05	3E-06	-0.000125	-0.000115	-0.000254	0.000198	0.00021	-0.000208
10	4.1E-05	-3.3E-05	3.5E-05	2E-06	-9.8E-05	-9E-05	-0.000198	0.000154	0.000164	-0.000162
10.5	2.3E-05	-1.8E-05	1.9E-05	1E-06	-5.4E-05	-5E-05	-0.000109	8.5E-05	9E-05	-8.9E-05
11	1.2E-05	-9E-06	1E-05	1E-06	-2.7E-05	-2.5E-05	-5.5E-05	4.3E-05	4.6E-05	-4.5E-05
