R	Im<0|V|1>	Im<0|V|2>	Im<0|V|3>	Im<0|V|4>	Im<1|V|2>	Im<1|V|3>	Im<1|V|4>	Im<2|V|3>	Im<2|V|4>	Im<3|V|4>
5.4	0.011914	0.030983	0.018096	-0.01078	0.020873	0.010456	-0.00735	-0.03041	5.7E-05	0.011982
5.5	0.010591	0.027543	0.016087	-0.009583	0.018556	0.009295	-0.006534	-0.027034	5.1E-05	0.010652
5.6	0.009427	0.024515	0.014318	-0.00853	0.016516	0.008273	-0.005816	-0.024062	4.5E-05	0.009481
5.7	0.0084	0.021845	0.012759	-0.007601	0.014717	0.007372	-0.005182	-0.021441	4E-05	0.008448
5.8	0.007493	0.019486	0.011381	-0.00678	0.013128	0.006576	-0.004623	-0.019125	3.6E-05	0.007536
5.9	0.006689	0.017396	0.01016	-0.006053	0.01172	0.005871	-0.004127	-0.017074	3.2E-05	0.006728
6	0.005976	0.015542	0.009078	-0.005407	0.010471	0.005245	-0.003687	-0.015255	2.9E-05	0.006011
6.2	0.004779	0.012428	0.007259	-0.004324	0.008373	0.004194	-0.002948	-0.012198	2.3E-05	0.004806
6.4	0.003827	0.009954	0.005814	-0.003463	0.006706	0.003359	-0.002361	-0.00977	1.9E-05	0.003849
6.6	0.003068	0.007978	0.00466	-0.002776	0.005375	0.002693	-0.001893	-0.007831	1.5E-05	0.003085
6.8	0.002459	0.006396	0.003735	-0.002225	0.004309	0.002158	-0.001517	-0.006277	1.2E-05	0.002473
7	0.00197	0.005124	0.002993	-0.001783	0.003452	0.001729	-0.001216	-0.005029	1E-05	0.001982
7.2	0.001577	0.004101	0.002395	-0.001427	0.002763	0.001384	-0.000973	-0.004026	8E-06	0.001586
7.4	0.001261	0.003278	0.001915	-0.001141	0.002209	0.001106	-0.000778	-0.003218	6E-06	0.001268
7.6	0.001006	0.002616	0.001528	-0.00091	0.001762	0.000883	-0.000621	-0.002568	5E-06	0.001012
7.8	0.000801	0.002084	0.001217	-0.000725	0.001404	0.000703	-0.000494	-0.002045	4E-06	0.000806
8	0.000637	0.001657	0.000968	-0.000576	0.001116	0.000559	-0.000393	-0.001626	3E-06	0.000641
8.2	0.000506	0.001315	0.000768	-0.000457	0.000886	0.000444	-0.000312	-0.00129	2E-06	0.000508
8.4	0.0004	0.001041	0.000608	-0.000362	0.000701	0.000351	-0.000247	-0.001022	2E-06	0.000403
8.6	0.000317	0.000823	0.000481	-0.000286	0.000555	0.000278	-0.000195	-0.000808	2E-06	0.000318
8.8	0.00025	0.000649	0.000379	-0.000226	0.000438	0.000219	-0.000154	-0.000637	1E-06	0.000251
9	0.000197	0.000511	0.000299	-0.000178	0.000345	0.000173	-0.000121	-0.000502	1E-06	0.000198
9.2	0.000155	0.000402	0.000235	-0.00014	0.000271	0.000136	-9.5E-05	-0.000394	1E-06	0.000155
9.4	0.000121	0.000315	0.000184	-0.00011	0.000212	0.000106	-7.5E-05	-0.000309	1E-06	0.000122
9.6	9.5E-05	0.000246	0.000144	-8.6E-05	0.000166	8.3E-05	-5.8E-05	-0.000242	0	9.5E-05
9.8	7.4E-05	0.000192	0.000112	-6.7E-05	0.00013	6.5E-05	-4.6E-05	-0.000189	0	7.4E-05
10	5.8E-05	0.00015	8.7E-05	-5.2E-05	0.000101	5.1E-05	-3.6E-05	-0.000147	0	5.8E-05
10.5	3.2E-05	8.3E-05	4.8E-05	-2.9E-05	5.6E-05	2.8E-05	-2E-05	-8.1E-05	0	3.2E-05
11	1.6E-05	4.2E-05	2.4E-05	-1.4E-05	2.8E-05	1.4E-05	-1E-05	-4.1E-05	0	1.6E-05
