R	Re<0|V|1>	Re<0|V|2>	Re<0|V|3>	Re<0|V|4>	Re<1|V|2>	Re<1|V|3>	Re<1|V|4>	Re<2|V|3>	Re<2|V|4>	Re<3|V|4>
5.5	0.018695	-0.030372	0.012373	0.012302	-0.006124	0.022002	0.002713	0.002193	0.000681	6.5E-05
5.6	0.01664	-0.027034	0.011013	0.01095	-0.005451	0.019584	0.002415	0.001952	0.000606	5.8E-05
5.7	0.014828	-0.024089	0.009814	0.009757	-0.004857	0.017451	0.002152	0.001739	0.00054	5.2E-05
5.8	0.013226	-0.021487	0.008754	0.008703	-0.004333	0.015566	0.001919	0.001551	0.000482	4.6E-05
5.9	0.011808	-0.019183	0.007815	0.00777	-0.003868	0.013897	0.001714	0.001385	0.000431	4.1E-05
6	0.010549	-0.017139	0.006982	0.006942	-0.003456	0.012416	0.001531	0.001237	0.000385	3.7E-05
6.2	0.008435	-0.013705	0.005583	0.005551	-0.002763	0.009928	0.001224	0.000989	0.000308	3E-05
6.4	0.006756	-0.010976	0.004472	0.004446	-0.002213	0.007951	0.00098	0.000792	0.000247	2.4E-05
6.6	0.005415	-0.008798	0.003584	0.003563	-0.001774	0.006373	0.000786	0.000635	0.000198	1.9E-05
6.8	0.004341	-0.007053	0.002873	0.002857	-0.001422	0.005109	0.00063	0.000509	0.000159	1.5E-05
7	0.003478	-0.005651	0.002302	0.002289	-0.001139	0.004093	0.000505	0.000408	0.000127	1.2E-05
7.2	0.002784	-0.004523	0.001842	0.001832	-0.000912	0.003276	0.000404	0.000327	0.000102	1E-05
7.4	0.002225	-0.003615	0.001473	0.001464	-0.000729	0.002619	0.000323	0.000261	8.2E-05	8E-06
7.6	0.001776	-0.002885	0.001175	0.001168	-0.000582	0.00209	0.000258	0.000208	6.5E-05	6E-06
7.8	0.001414	-0.002298	0.000936	0.000931	-0.000463	0.001665	0.000205	0.000166	5.2E-05	5E-06
8	0.001124	-0.001827	0.000744	0.00074	-0.000368	0.001323	0.000163	0.000132	4.1E-05	4E-06
8.2	0.000892	-0.00145	0.000591	0.000587	-0.000292	0.00105	0.000129	0.000105	3.3E-05	3E-06
8.4	0.000707	-0.001148	0.000468	0.000465	-0.000232	0.000832	0.000103	8.3E-05	2.6E-05	2E-06
8.6	0.000559	-0.000908	0.00037	0.000368	-0.000183	0.000658	8.1E-05	6.6E-05	2.1E-05	2E-06
8.8	0.000441	-0.000716	0.000292	0.00029	-0.000144	0.000519	6.4E-05	5.2E-05	1.6E-05	2E-06
9	0.000347	-0.000564	0.00023	0.000228	-0.000114	0.000409	5E-05	4.1E-05	1.3E-05	1E-06
9.2	0.000273	-0.000443	0.000181	0.000179	-8.9E-05	0.000321	4E-05	3.2E-05	1E-05	1E-06
9.4	0.000214	-0.000347	0.000142	0.000141	-7E-05	0.000252	3.1E-05	2.5E-05	8E-06	1E-06
9.6	0.000167	-0.000272	0.000111	0.00011	-5.5E-05	0.000197	2.4E-05	2E-05	6E-06	1E-06
9.8	0.000131	-0.000212	8.6E-05	8.6E-05	-4.3E-05	0.000154	1.9E-05	1.5E-05	5E-06	0
10	0.000102	-0.000165	6.7E-05	6.7E-05	-3.3E-05	0.00012	1.5E-05	1.2E-05	4E-06	0
10.5	5.6E-05	-9.1E-05	3.7E-05	3.7E-05	-1.8E-05	6.6E-05	8E-06	7E-06	2E-06	0
11	2.8E-05	-4.6E-05	1.9E-05	1.9E-05	-9E-06	3.3E-05	4E-06	3E-06	1E-06	0
