r   <12|H_so|21>  <13|H_so|22> <13|H_so|23>    <14|H_so|22>   <14|H_so|23>  <18|H_so|27> <19|H_so|28>    <19|H_so|29>   <20|H_so|28>  <20|H_so|29>
8.00    441.25 211.34  225.32   225.32    220.84 441.25  211.34   225.32    225.32 220.84
8.20    441.25 212.40  225.34   225.34    219.77 441.25  212.40   225.34    225.34 219.77
8.40    441.25 213.24  225.35   225.35    218.93 441.25  213.24   225.35    225.35 218.93
8.60    441.25 213.91  225.36   225.36    218.27 441.25  213.91   225.36    225.36 218.27
8.80    441.25 214.43  225.37   225.37    217.74 441.25  214.43   225.37    225.37 217.74
9.00    441.25 214.85  225.37   225.37    217.33 441.25  214.85   225.37    225.37 217.33
9.20    441.25 215.17  225.37   225.37    217.01 441.25  215.17   225.37    225.37 217.01
9.40    441.25 215.42  225.37   225.37    216.76 441.25  215.42   225.37    225.37 216.76
9.60    441.25 215.62  225.37   225.37    216.56 441.25  215.62   225.37    225.37 216.56
9.80    441.25 215.77  225.37   225.37    216.40 441.25  215.77   225.37    225.37 216.40
10.00   441.25    215.89 225.37  225.37   216.29    441.25 215.89  225.37   225.37    216.29
10.50   441.25    216.08 225.37  225.37   216.09    441.25 216.08  225.37   225.37    216.09
11.00   441.25    216.18 225.37  225.37   215.99    441.25 216.18  225.37   225.37    215.99
