r   <22|H_so|32>  <22|H_so|33> <23|H_so|32>    <23|H_so|33>   <25|H_so|30>  <25|H_so|31> <25|H_so|34>    <25|H_so|35>   <26|H_so|30>  <26|H_so|31> <26|H_so|34>    <26|H_so|35>   <28|H_so|32>  <28|H_so|33> <29|H_so|32>    <29|H_so|33>
4.00    207.71 210.49  75.04    66.20  -207.71  -210.49  207.71   210.49    -75.04 -66.20  75.04    66.20  -207.71  -210.49  -75.04   -66.20
4.10    206.27 209.24  78.92    70.07  -206.27  -209.24  206.27   209.24    -78.92 -70.07  78.92    70.07  -206.27  -209.24  -78.92   -70.07
4.20    204.70 207.86  82.92    74.08  -204.70  -207.86  204.70   207.86    -82.92 -74.08  82.92    74.08  -204.70  -207.86  -82.92   -74.08
4.30    203.00 206.35  87.01    78.19  -203.00  -206.35  203.00   206.35    -87.01 -78.19  87.01    78.19  -203.00  -206.35  -87.01   -78.19
4.40    201.17 204.71  91.16    82.38  -201.17  -204.71  201.17   204.71    -91.16 -82.38  91.16    82.38  -201.17  -204.71  -91.16   -82.38
4.50    199.22 202.96  95.34    86.61  -199.22  -202.96  199.22   202.96    -95.34 -86.61  95.34    86.61  -199.22  -202.96  -95.34   -86.61
4.60    197.18 201.11  99.51    90.83  -197.18  -201.11  197.18   201.11    -99.51 -90.83  99.51    90.83  -197.18  -201.11  -99.51   -90.83
4.70    195.05 199.16  103.63   95.03 -195.05 -199.16 195.05  199.16   -103.63   -95.03    103.63 95.03   -195.05   -199.16   -103.63   -95.03
4.80    192.85 197.14  107.67   99.15 -192.85 -197.14 192.85  197.14   -107.67   -99.15    107.67 99.15   -192.85   -197.14   -107.67   -99.15
4.90    190.60 195.08  111.60   103.16    -190.60    -195.08    190.60 195.08  -111.60  -103.16  111.60   103.16    -190.60    -195.08    -111.60    -103.16
5.00    188.34 192.98  115.38   107.04    -188.34    -192.98    188.34 192.98  -115.38  -107.04  115.38   107.04    -188.34    -192.98    -115.38    -107.04
5.10    186.07 190.87  119.00   110.75    -186.07    -190.87    186.07 190.87  -119.00  -110.75  119.00   110.75    -186.07    -190.87    -119.00    -110.75
5.20    183.83 188.78  122.44   114.29    -183.83    -188.78    183.83 188.78  -122.44  -114.29  122.44   114.29    -183.83    -188.78    -122.44    -114.29
5.30    181.63 186.72  125.68   117.62    -181.63    -186.72    181.63 186.72  -125.68  -117.62  125.68   117.62    -181.63    -186.72    -125.68    -117.62
5.40    179.49 184.71  128.72   120.75    -179.49    -184.71    179.49 184.71  -128.72  -120.75  128.72   120.75    -179.49    -184.71    -128.72    -120.75
5.50    177.43 182.77  131.54   123.67    -177.43    -182.77    177.43 182.77  -131.54  -123.67  131.54   123.67    -177.43    -182.77    -131.54    -123.67
5.60    175.46 180.91  134.16   126.38    -175.46    -180.91    175.46 180.91  -134.16  -126.38  134.16   126.38    -175.46    -180.91    -134.16    -126.38
5.70    173.58 179.13  136.58   128.88    -173.58    -179.13    173.58 179.13  -136.58  -128.88  136.58   128.88    -173.58    -179.13    -136.58    -128.88
5.80    171.81 177.45  138.80   131.18    -171.81    -177.45    171.81 177.45  -138.80  -131.18  138.80   131.18    -171.81    -177.45    -138.80    -131.18
5.90    170.15 175.87  140.84   133.29    -170.15    -175.87    170.15 175.87  -140.84  -133.29  140.84   133.29    -170.15    -175.87    -140.84    -133.29
6.00    168.60 174.40  142.69   135.22    -168.60    -174.40    168.60 174.40  -142.69  -135.22  142.69   135.22    -168.60    -174.40    -142.69    -135.22
6.20    165.82 171.75  145.91   138.57    -165.82    -171.75    165.82 171.75  -145.91  -138.57  145.91   138.57    -165.82    -171.75    -145.91    -138.57
6.40    163.46 169.49  148.56   141.33    -163.46    -169.49    163.46 169.49  -148.56  -141.33  148.56   141.33    -163.46    -169.49    -148.56    -141.33
6.60    161.47 167.58  150.71   143.58    -161.47    -167.58    161.47 167.58  -150.71  -143.58  150.71   143.58    -161.47    -167.58    -150.71    -143.58
6.80    159.82 166.00  152.46   145.41    -159.82    -166.00    159.82 166.00  -152.46  -145.41  152.46   145.41    -159.82    -166.00    -152.46    -145.41
7.00    158.46 164.69  153.87   146.89    -158.46    -164.69    158.46 164.69  -153.87  -146.89  153.87   146.89    -158.46    -164.69    -153.87    -146.89
7.20    157.35 163.63  155.01   148.08    -157.35    -163.63    157.35 163.63  -155.01  -148.08  155.01   148.08    -157.35    -163.63    -155.01    -148.08
7.40    156.45 162.76  155.92   149.03    -156.45    -162.76    156.45 162.76  -155.92  -149.03  155.92   149.03    -156.45    -162.76    -155.92    -149.03
7.60    155.72 162.06  156.65   149.79    -155.72    -162.06    155.72 162.06  -156.65  -149.79  156.65   149.79    -155.72    -162.06    -156.65    -149.79
7.80    155.14 161.49  157.22   150.40    -155.14    -161.49    155.14 161.49  -157.22  -150.40  157.22   150.40    -155.14    -161.49    -157.22    -150.40
8.00    154.67 161.04  157.68   150.88    -154.67    -161.04    154.67 161.04  -157.68  -150.88  157.68   150.88    -154.67    -161.04    -157.68    -150.88
8.20    154.30 160.68  158.05   151.27    -154.30    -160.68    154.30 160.68  -158.05  -151.27  158.05   151.27    -154.30    -160.68    -158.05    -151.27
8.40    154.01 160.40  158.33   151.57    -154.01    -160.40    154.01 160.40  -158.33  -151.57  158.33   151.57    -154.01    -160.40    -158.33    -151.57
8.60    153.77 160.17  158.56   151.81    -153.77    -160.17    153.77 160.17  -158.56  -151.81  158.56   151.81    -153.77    -160.17    -158.56    -151.81
8.80    153.59 159.99  158.74   151.99    -153.59    -159.99    153.59 159.99  -158.74  -151.99  158.74   151.99    -153.59    -159.99    -158.74    -151.99
9.00    153.45 159.85  158.88   152.14    -153.45    -159.85    153.45 159.85  -158.88  -152.14  158.88   152.14    -153.45    -159.85    -158.88    -152.14
9.20    153.33 159.74  158.98   152.26    -153.33    -159.74    153.33 159.74  -158.98  -152.26  158.98   152.26    -153.33    -159.74    -158.98    -152.26
9.40    153.24 159.66  159.07   152.35    -153.24    -159.66    153.24 159.66  -159.07  -152.35  159.07   152.35    -153.24    -159.66    -159.07    -152.35
9.60    153.18 159.59  159.14   152.42    -153.18    -159.59    153.18 159.59  -159.14  -152.42  159.14   152.42    -153.18    -159.59    -159.14    -152.42
9.80    153.12 159.54  159.19   152.47    -153.12    -159.54    153.12 159.54  -159.19  -152.47  159.19   152.47    -153.12    -159.54    -159.19    -152.47
10.00   153.08    159.50 159.23  152.51   -153.08   -159.50   153.08    159.50 -159.23 -152.51 159.23  152.51   -153.08   -159.50   -159.23   -152.51
10.50   153.01    159.43 159.29  152.58   -153.01   -159.43   153.01    159.43 -159.29 -152.58 159.29  152.58   -153.01   -159.43   -159.29   -152.58
11.00   152.98    159.40 159.33  152.62   -152.98   -159.40   152.98    159.40 -159.33 -152.62 159.33  152.62   -152.98   -159.40   -159.33   -152.62
