r   <12|H_so|12>  <13|H_so|13> <14|H_so|14>    <15|H_so|15>   <16|H_so|16>  <17|H_so|17> <18|H_so|18>    <19|H_so|19>   <20|H_so|20>
6.60    93516.63   105680.12 106590.52   93516.63  105680.12    106590.52  93516.63 105680.12   106590.52
6.80    93516.31   105674.06 106582.32   93516.31  105674.06    106582.32  93516.31 105674.06   106582.32
7.00    93516.17   105669.20 106575.87   93516.17  105669.20    106575.87  93516.17 105669.20   106575.87
7.20    93516.15   105665.35 106570.80   93516.15  105665.35    106570.80  93516.15 105665.35   106570.80
7.40    93516.19   105662.32 106566.81   93516.19  105662.32    106566.81  93516.19 105662.32   106566.81
7.60    93516.27   105659.97 106563.70   93516.27  105659.97    106563.70  93516.27 105659.97   106563.70
7.80    93516.37   105658.13 106561.26   93516.37  105658.13    106561.26  93516.37 105658.13   106561.26
8.00    93516.49   105656.73 106559.36   93516.49  105656.73    106559.36  93516.49 105656.73   106559.36
8.20    93516.60   105655.65 106557.89   93516.60  105655.65    106557.89  93516.60 105655.65   106557.89
8.40    93516.74   105654.84 106556.75   93516.74  105654.84    106556.75  93516.74 105654.84   106556.75
8.60    93516.83   105654.23 106555.88   93516.83  105654.23    106555.88  93516.83 105654.23   106555.88
8.80    93516.90   105653.76 106555.20   93516.90  105653.76    106555.20  93516.90 105653.76   106555.20
9.00    93516.97   105653.42 106554.69   93516.97  105653.42    106554.69  93516.97 105653.42   106554.69
9.20    93517.04   105653.17 106554.30   93517.04  105653.17    106554.30  93517.04 105653.17   106554.30
9.40    93517.10   105652.99 106554.01   93517.10  105652.99    106554.01  93517.10 105652.99   106554.01
9.60    93517.16   105652.87 106553.79   93517.16  105652.87    106553.79  93517.16 105652.87   106553.79
9.80    93517.21   105652.77 106553.61   93517.21  105652.77    106553.61  93517.21 105652.77   106553.61
10.00   93517.26  105652.70    106553.46  93517.26 105652.70   106553.46 93517.26    105652.70  106553.46
10.50   93517.37  105652.63    106553.28  93517.37 105652.63   106553.28 93517.37    105652.63  106553.28
11.00   93517.50  105652.61    106553.20  93517.50 105652.61   106553.20 93517.50    105652.61  106553.20
