r	<0|H_so|15>	<1|H_so|16>	<1|H_so|17>	<2|H_so|16>	<2|H_so|17>	<3|H_so|16>	<3|H_so|17>	<4|H_so|12>	<4|H_so|18>	<5|H_so|13>	<5|H_so|14>	<5|H_so|19>	<5|H_so|20>	<6|H_so|13>	<6|H_so|14>	<6|H_so|19>	<6|H_so|20>	<7|H_so|13>	<7|H_so|14>	<7|H_so|19>	<7|H_so|20>	<8|H_so|15>	<9|H_so|16>	<9|H_so|17>	<10|H_so|16>	<10|H_so|17>	<11|H_so|16>	<11|H_so|17>
2.55	-311.9	202.82	103.14	-217.8	-37.55	-90.29	293.58	311.9	-311.9	-202.82	-103.14	202.82	103.14	217.8	37.55	-217.8	-37.55	90.29	-293.58	-90.29	293.58	311.9	-202.82	-103.14	217.8	37.55	90.29	-293.58
2.6	-311.87	202.83	102.54	-217.59	-38.6	-90.45	293.7	311.87	-311.87	-202.83	-102.54	202.83	102.54	217.59	38.6	-217.59	-38.6	90.45	-293.7	-90.45	293.7	311.87	-202.83	-102.54	217.59	38.6	90.45	-293.7
2.65	-311.85	202.71	102.4	-217.39	-39.59	-90.89	293.66	311.85	-311.85	-202.71	-102.4	202.71	102.4	217.39	39.59	-217.39	-39.59	90.89	-293.66	-90.89	293.66	311.85	-202.71	-102.4	217.39	39.59	90.89	-293.66
2.7	-311.83	202.48	102.65	-217.2	-40.54	-91.57	293.49	311.83	-311.83	-202.48	-102.65	202.48	102.65	217.2	40.54	-217.2	-40.54	91.57	-293.49	-91.57	293.49	311.83	-202.48	-102.65	217.2	40.54	91.57	-293.49
2.75	-311.82	202.16	103.2	-217.01	-41.46	-92.43	293.22	311.82	-311.82	-202.16	-103.2	202.16	103.2	217.01	41.46	-217.01	-41.46	92.43	-293.22	-92.43	293.22	311.82	-202.16	-103.2	217.01	41.46	92.43	-293.22
2.8	-311.81	201.77	104.01	-216.82	-42.38	-93.47	292.86	311.81	-311.81	-201.77	-104.01	201.77	104.01	216.82	42.38	-216.82	-42.38	93.47	-292.86	-93.47	292.86	311.81	-201.77	-104.01	216.82	42.38	93.47	-292.86
2.85	-311.8	201.29	105.06	-216.62	-43.29	-94.67	292.42	311.8	-311.8	-201.29	-105.06	201.29	105.06	216.62	43.29	-216.62	-43.29	94.67	-292.42	-94.67	292.42	311.8	-201.29	-105.06	216.62	43.29	94.67	-292.42
2.9	-311.79	200.74	106.32	-216.42	-44.22	-96.03	291.89	311.79	-311.79	-200.74	-106.32	200.74	106.32	216.42	44.22	-216.42	-44.22	96.03	-291.89	-96.03	291.89	311.79	-200.74	-106.32	216.42	44.22	96.03	-291.89
3	-311.79	199.42	109.39	-216	-46.14	-99.16	290.6	311.79	-311.79	-199.42	-109.39	199.42	109.39	216	46.14	-216	-46.14	99.16	-290.6	-99.16	290.6	311.79	-199.42	-109.39	216	46.14	99.16	-290.6
3.1	-311.79	197.79	113.12	-215.54	-48.19	-102.85	289.01	311.79	-311.79	-197.79	-113.12	197.79	113.12	215.54	48.19	-215.54	-48.19	102.85	-289.01	-102.85	289.01	311.79	-197.79	-113.12	215.54	48.19	102.85	-289.01
3.2	-311.8	195.84	117.43	-215.03	-50.4	-107.06	287.09	311.8	-311.8	-195.84	-117.43	195.84	117.43	215.03	50.4	-215.03	-50.4	107.06	-287.09	-107.06	287.09	311.8	-195.84	-117.43	215.03	50.4	107.06	-287.09
3.3	-311.82	193.56	122.28	-214.45	-52.79	-111.78	284.82	311.82	-311.82	-193.56	-122.28	193.56	122.28	214.45	52.79	-214.45	-52.79	111.78	-284.82	-111.78	284.82	311.82	-193.56	-122.28	214.45	52.79	111.78	-284.82
3.4	-311.83	190.91	127.6	-213.79	-55.37	-116.97	282.2	311.83	-311.83	-190.91	-127.6	190.91	127.6	213.79	55.37	-213.79	-55.37	116.97	-282.2	-116.97	282.2	311.83	-190.91	-127.6	213.79	55.37	116.97	-282.2
3.5	-311.85	187.89	133.34	-213.05	-58.16	-122.59	279.2	311.85	-311.85	-187.89	-133.34	187.89	133.34	213.05	58.16	-213.05	-58.16	122.59	-279.2	-122.59	279.2	311.85	-187.89	-133.34	213.05	58.16	122.59	-279.2
3.6	-311.86	184.46	139.45	-212.21	-61.15	-128.62	275.79	311.86	-311.86	-184.46	-139.45	184.46	139.45	212.21	61.15	-212.21	-61.15	128.62	-275.79	-128.62	275.79	311.86	-184.46	-139.45	212.21	61.15	128.62	-275.79
