r	<0|H_so|0>	<1|H_so|1>	<2|H_so|2>	<3|H_so|3>	<4|H_so|4>	<5|H_so|5>	<6|H_so|6>	<7|H_so|7>	<8|H_so|8>	<9|H_so|9>	<10|H_so|10>	<11|H_so|11>
4.8	93595.45	104254.74	105668.61	106054.2	93595.45	104254.74	105668.61	106054.2	93595.45	104254.74	105668.61	106054.2
4.9	93584.44	104245.5	105671.53	106012.77	93584.44	104245.5	105671.53	106012.77	93584.44	104245.5	105671.53	106012.77
5	93575.08	104236.66	105674.12	105975.5	93575.08	104236.66	105674.12	105975.5	93575.08	104236.66	105674.12	105975.5
5.1	93567.16	104228.29	105676.42	105942.04	93567.16	104228.29	105676.42	105942.04	93567.16	104228.29	105676.42	105942.04
5.2	93560.47	104220.42	105678.47	105912.05	93560.47	104220.42	105678.47	105912.05	93560.47	104220.42	105678.47	105912.05
5.3	93554.86	104213.09	105680.29	105885.21	93554.86	104213.09	105680.29	105885.21	93554.86	104213.09	105680.29	105885.21
5.4	93550.14	104206.29	105681.89	105861.21	93550.14	104206.29	105681.89	105861.21	93550.14	104206.29	105681.89	105861.21
5.5	93546.21	104200.05	105683.33	105839.79	93546.21	104200.05	105683.33	105839.79	93546.21	104200.05	105683.33	105839.79
5.6	93542.95	104194.34	105684.61	105820.69	93542.95	104194.34	105684.61	105820.69	93542.95	104194.34	105684.61	105820.69
5.7	93540.24	104189.16	105685.75	105803.67	93540.24	104189.16	105685.75	105803.67	93540.24	104189.16	105685.75	105803.67
5.8	93538.02	104184.47	105686.74	105788.52	93538.02	104184.47	105686.74	105788.52	93538.02	104184.47	105686.74	105788.52
5.9	93536.18	104180.25	105687.64	105775.02	93536.18	104180.25	105687.64	105775.02	93536.18	104180.25	105687.64	105775.02
6	93534.69	104176.48	105688.45	105763.04	93534.69	104176.48	105688.45	105763.04	93534.69	104176.48	105688.45	105763.04
6.2	93532.5	104170.11	105689.81	105742.94	93532.5	104170.11	105689.81	105742.94	93532.5	104170.11	105689.81	105742.94
6.4	93531.11	104165.12	105690.89	105727.11	93531.11	104165.12	105690.89	105727.11	93531.11	104165.12	105690.89	105727.11
6.6	93530.3	104161.24	105691.79	105714.82	93530.3	104161.24	105691.79	105714.82	93530.3	104161.24	105691.79	105714.82
6.8	93529.8	104158.31	105692.47	105705.11	93529.8	104158.31	105692.47	105705.11	93529.8	104158.31	105692.47	105705.11
7	93529.53	104156.11	105692.99	105697.53	93529.53	104156.11	105692.99	105697.53	93529.53	104156.11	105692.99	105697.53
7.2	93529.42	104154.49	105693.43	105691.65	93529.42	104154.49	105693.43	105691.65	93529.42	104154.49	105693.43	105691.65
7.4	93529.41	104153.3	105693.77	105687.1	93529.41	104153.3	105693.77	105687.1	93529.41	104153.3	105693.77	105687.1
