E, cm-1	Sigma_00, cm2	Sigma_01, cm2	Sigma_10, cm2	Sigma_11, cm2	
9.3085806754e+04	5.1991741138e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085817717e+04	5.1007957231e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085828807e+04	5.0034574184e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085840025e+04	4.9071815570e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085851373e+04	4.8119889258e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085862853e+04	4.7178988964e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085874465e+04	4.6249295665e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085886212e+04	4.5330978889e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085898095e+04	4.4424197884e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085910116e+04	4.3529102662e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085922275e+04	4.2645834948e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085934576e+04	4.1774529021e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085947019e+04	4.0915312463e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085959606e+04	4.0068306817e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085972339e+04	3.9233628166e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085985219e+04	3.8411387636e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3085998249e+04	3.7601691818e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086011429e+04	3.6804643138e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086024762e+04	3.6020340153e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086038249e+04	3.5248877791e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086051893e+04	3.4490347548e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086065694e+04	3.3744837619e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086079655e+04	3.3012432996e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086093778e+04	3.2293215517e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086108065e+04	3.1587263878e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086122517e+04	3.0894653609e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086137136e+04	3.0215457015e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086151924e+04	2.9549743087e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086166884e+04	2.8897577387e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086182017e+04	2.8259021905e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086197325e+04	2.7634134895e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086212811e+04	2.7022970687e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086228476e+04	2.6425579485e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086244322e+04	2.5842007147e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086260352e+04	2.5272294946e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086276567e+04	2.4716479327e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086292970e+04	2.4174591647e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086309563e+04	2.3646657905e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086326348e+04	2.3132698475e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086343328e+04	2.2632727823e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086360504e+04	2.2146754227e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086377879e+04	2.1674779493e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086395455e+04	2.1216798672e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086413235e+04	2.0772799781e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086431220e+04	2.0342763522e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086449414e+04	1.9926663010e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086467819e+04	1.9524463510e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086486436e+04	4.2242606927e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086505270e+04	4.1421931759e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086524321e+04	4.0611180631e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086543593e+04	3.9810664711e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086563088e+04	3.9020674945e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086582809e+04	3.8241483650e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086602758e+04	3.7473345947e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086622938e+04	3.6716501038e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086643352e+04	3.5971173341e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086664002e+04	3.5237573493e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086684892e+04	3.4515899220e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086706023e+04	3.3806336100e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086727399e+04	3.3109058210e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086749022e+04	3.2424228676e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086770896e+04	3.1752000133e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086793023e+04	3.1092515106e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086815407e+04	3.0445906303e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086838049e+04	2.9812296851e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086860954e+04	2.9191800469e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086884124e+04	2.8584521581e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3086907562e+04	2.7990555386e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
