E, cm-1	Sigma_00, cm2	Sigma_01, cm2	Sigma_10, cm2	Sigma_11, cm2	
9.3639630233e+04	3.2718491854e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3640080492e+04	3.4707267023e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3640541239e+04	3.4140559924e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3641012718e+04	3.3575990753e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3641495179e+04	3.5280018513e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3641988879e+04	3.4733977886e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3642494077e+04	3.4190264894e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3643011044e+04	3.3646566619e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3643540052e+04	3.5131153292e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3644081382e+04	3.4601092830e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3644635322e+04	3.4072244246e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3645202164e+04	3.3542514064e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3645782210e+04	3.3008180986e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3646375767e+04	3.2464469374e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3646983150e+04	3.1906354736e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3647604680e+04	3.3299234951e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3648240688e+04	3.2781122102e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3648891510e+04	3.2253895389e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3649557492e+04	3.3465860656e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3650238987e+04	3.2974849258e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3650936355e+04	3.2479238982e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3651649968e+04	3.3550964047e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3652380202e+04	3.3088075933e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3653127446e+04	3.2623057805e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3653892095e+04	3.3582766312e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3654674556e+04	3.3145259680e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3655475242e+04	3.2705443705e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3656294579e+04	3.2256196200e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3657133000e+04	3.1790180138e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3657990951e+04	3.1301465473e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3658868886e+04	3.2290099239e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3659767271e+04	3.1835463946e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3660686582e+04	3.1356138323e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3661627306e+04	3.2244004297e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3662589943e+04	3.1793824763e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3663575002e+04	3.2550955466e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3664583006e+04	3.2124764162e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3665614490e+04	3.1679804558e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3666670000e+04	3.2374895059e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3667750096e+04	3.1958038808e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3668855351e+04	3.1523704309e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3669986350e+04	3.1068218715e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3671143694e+04	3.0591859274e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3672327996e+04	3.1351635680e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3673539883e+04	3.0907145822e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3674780000e+04	3.1580591751e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3676049002e+04	3.1162231433e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3677347563e+04	3.1757225855e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3678676371e+04	3.1357334056e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3680036132e+04	3.0929365659e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3681427565e+04	3.1493525784e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3682851409e+04	3.1078298644e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3684308418e+04	3.0636060234e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3685799366e+04	3.0173569541e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3687325042e+04	3.0748771439e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3688886256e+04	3.0302398751e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3690483835e+04	3.0830406277e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3692118627e+04	3.0403781438e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3693791497e+04	3.0893079979e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3695503334e+04	3.0484661309e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3697255045e+04	3.0937782030e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3699047558e+04	3.0540856651e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3700881824e+04	3.0124398517e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3702758816e+04	2.9697684319e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3704679529e+04	3.0148564882e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3706644981e+04	2.9723106226e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3708656213e+04	3.0137069298e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3710714294e+04	3.0508025374e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3712820314e+04	3.0104223608e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3714975388e+04	3.0455130796e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3717180662e+04	3.0063441725e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
