E, cm-1	Sigma_00, cm2	Sigma_01, cm2	Sigma_10, cm2	Sigma_11, cm2	
9.3621246754e+04	5.5553912802e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621257717e+04	5.4472339692e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621268807e+04	5.3403730650e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621280025e+04	5.2348170731e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621291373e+04	5.1305739275e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621302853e+04	5.0276510878e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621314465e+04	4.9260556248e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621326212e+04	4.8257942958e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621338095e+04	4.7268736096e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621350116e+04	4.6292998819e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621362275e+04	4.5330792835e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621374576e+04	4.4382178796e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621387019e+04	4.3447216625e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621399606e+04	4.2525965774e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621412339e+04	4.1618485430e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621425219e+04	4.0724834649e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621438249e+04	3.9845072457e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621451429e+04	3.8979257887e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621464762e+04	3.8127449988e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621478249e+04	3.7289707778e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621491893e+04	3.6466090172e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621505694e+04	3.5656655871e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621519655e+04	3.4861463219e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621533778e+04	3.4080570033e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621548065e+04	3.3314033406e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621562517e+04	3.2561909486e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621577136e+04	3.1824253235e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621591924e+04	3.1101118161e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621606884e+04	3.0392556043e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621622017e+04	2.9698616631e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621637325e+04	2.9019347337e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621652811e+04	2.8354792910e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621668476e+04	2.7704995102e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621684322e+04	2.7069992327e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621700352e+04	2.6449819304e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621716567e+04	2.5844506710e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621732970e+04	2.5254080807e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621749563e+04	2.4678563091e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621766348e+04	2.4117969914e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621783328e+04	2.3572312129e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
9.3621800504e+04	2.3041594723e-14	0.0000000000e+00	0.0000000000e+00	0.0000000000e+00
